income,age,degree,region
21214.372929564834,59,Университет,Юг
21666.00425889808,23,Университет,Восток
11653.12603172611,21,Школа,Восток
20433.8418528035,25,Университет,Север
21542.422950559947,61,Университет,Восток
11941.934139570325,23,Школа,Восток
12469.92963150397,48,Школа,Восток
24466.882678768525,37,Университет,Юг
21468.38830299641,45,Университет,Запад
21128.097690035404,63,Университет,Север
19186.542069299812,53,Университет,Запад
21871.892647798675,29,Университет,Восток
22334.766206281136,55,Университет,Восток
10615.393631436746,33,Школа,Восток
12089.225008368074,50,Школа,Запад
10414.967612901317,67,Школа,Юг
22341.985304177848,34,Университет,Юг
22825.204628059488,27,Университет,Север
22797.25573346097,33,Университет,Запад
11235.6886522826,42,Школа,Юг
18920.063696765897,59,Университет,Север
9776.17389471636,40,Школа,Восток
12190.314647769457,35,Школа,Восток
25897.624611480453,64,Университет,Север
20318.558456935836,37,Университет,Юг
21911.67535677628,66,Университет,Запад
9887.894885041193,43,Школа,Север
9052.065911501799,45,Школа,Юг
9647.368272845275,44,Школа,Север
6835.056046594656,64,Школа,Юг
23706.8701258155,60,Университет,Восток
16539.73949417077,48,Университет,Север
20472.343539198733,34,Университет,Запад
8643.744209299892,64,Школа,Север
19231.239569275593,20,Университет,Восток
13753.045319477336,44,Школа,Восток
21402.133980062783,26,Университет,Юг
9069.207681636599,28,Школа,Восток
9820.96573500698,43,Школа,Юг
19469.03755911583,20,Университет,Восток
20912.90865584224,63,Университет,Юг
11345.783369575385,27,Школа,Запад
14791.14954645712,43,Школа,Юг
17167.398468004587,30,Университет,Юг
10930.375370484095,70,Школа,Запад
10368.864614930955,36,Школа,Юг
12893.097055433565,27,Школа,Юг
11709.636236356786,54,Школа,Запад
22180.724416229892,54,Университет,Восток
21690.172372030167,52,Университет,Север
19136.017749432922,24,Университет,Юг
23422.530992986027,61,Университет,Восток
12597.009809231338,58,Школа,Север
12831.059583449485,60,Школа,Запад
13528.10034101433,47,Школа,Юг
11835.35020130392,26,Школа,Юг
13961.984808234985,28,Школа,Запад
21755.279143573283,27,Университет,Юг
20561.882823950782,31,Университет,Север
10986.792179033271,53,Школа,Север
20952.31246372777,52,Университет,Запад
19961.217355818913,67,Университет,Юг
24263.777696740442,42,Университет,Восток
21592.590731007334,43,Университет,Юг
21189.476951665813,56,Университет,Запад
21776.548509852866,54,Университет,Восток
26959.709033474293,63,Университет,Север
18736.55162280068,59,Университет,Север
9309.922976567448,41,Школа,Восток
8238.857965106008,46,Школа,Восток
20534.801523129026,54,Университет,Запад
11491.036886654721,20,Школа,Юг
10069.354963317845,54,Школа,Север
19920.54640369646,56,Университет,Юг
11284.809733256265,66,Школа,Север
19995.784350340604,33,Университет,Юг
21620.351654365677,22,Университет,Север
23228.468693485207,20,Университет,Юг
12354.060939601613,24,Школа,Запад
12762.026694330405,45,Школа,Север
23171.83682301344,33,Университет,Запад
21565.656320237405,58,Университет,Север
20682.7179479138,46,Университет,Север
9455.493858233609,28,Школа,Север
10217.643672728558,34,Школа,Юг
19952.62893464621,34,Университет,Север
12463.344653241824,45,Школа,Запад
21693.565109188392,61,Университет,Юг
12393.515725428602,32,Школа,Юг
8679.326287799697,70,Школа,Север
13863.498968482158,51,Школа,Восток
10146.039256986474,58,Школа,Юг
18799.966715850675,68,Университет,Север
20121.564470356374,51,Университет,Запад
15967.531985175017,23,Школа,Восток
20224.566267016864,49,Университет,Юг
10349.80705705815,56,Школа,Восток
20615.790638740647,42,Университет,Юг
10702.759233137089,58,Школа,Восток
19437.04786839749,64,Университет,Восток
21286.42616641226,34,Университет,Запад
23151.18981639666,62,Университет,Восток
21628.578630957414,48,Университет,Запад
18777.66940220003,55,Университет,Север
20311.308190132582,32,Университет,Юг
19896.94519979674,51,Университет,Запад
21105.878936469602,26,Университет,Юг
23660.903343124635,70,Университет,Запад
10702.234407958234,41,Школа,Юг
20823.690262259217,47,Университет,Запад
14555.28963763886,21,Школа,Юг
22752.41198334332,61,Университет,Север
12148.162564213071,64,Школа,Юг
24916.263230603552,25,Университет,Север
11979.622509588025,47,Школа,Север
7026.945716044955,47,Школа,Север
12665.331515760721,63,Школа,Восток
17815.9830857627,63,Университет,Юг
11904.010737164896,39,Школа,Восток
7572.51285174152,49,Школа,Восток
20066.28917920016,30,Университет,Юг
20272.430940780258,47,Университет,Север
9459.761785536493,44,Школа,Восток
10302.2960056176,58,Школа,Восток
13065.123440721105,52,Школа,Запад
19572.094175680893,20,Университет,Юг
12090.281759021082,46,Школа,Восток
9068.7007207854,32,Школа,Юг
10621.000847215742,60,Школа,Юг
11647.6785326549,22,Школа,Восток
19006.94316676288,58,Университет,Юг
8376.55913417862,25,Школа,Север
11983.756301157777,27,Школа,Восток
13246.160798681278,46,Школа,Восток
10841.869961025255,28,Школа,Восток
10085.37418688659,56,Школа,Запад
21311.350775376774,52,Университет,Запад
21110.95983753076,70,Университет,Запад
21485.805081422503,61,Университет,Запад
15943.509799372572,63,Университет,Восток
18861.791417668075,43,Университет,Север
9309.539789126293,34,Школа,Юг
21301.735257023123,51,Университет,Юг
21371.755767244533,51,Университет,Восток
22272.360977368073,43,Университет,Север
21515.163498420872,60,Университет,Юг
8398.52985922533,68,Школа,Север
23894.00923517012,68,Университет,Восток
23543.836606844732,31,Университет,Запад
18483.605419946147,58,Университет,Север
11665.410588748366,21,Школа,Юг
9809.15122951397,22,Школа,Юг
11277.727978401097,68,Школа,Юг
23106.62055928374,56,Университет,Запад
15260.208532641918,68,Школа,Север
12502.55541028522,36,Школа,Север
21589.86947022027,68,Университет,Юг
10320.357663383405,21,Школа,Север
21364.269742022352,21,Университет,Юг
13719.543786656628,47,Школа,Север
20910.58248648083,42,Университет,Запад
19227.7746973047,56,Университет,Запад
17760.620268966748,51,Университет,Восток
22026.0957348205,52,Университет,Восток
11494.57625125548,20,Школа,Восток
9708.183653475407,38,Школа,Север
13052.028251414595,21,Школа,Запад
20156.44627122474,63,Университет,Запад
20730.71181635041,45,Университет,Запад
10966.671733404113,51,Школа,Юг
20298.094515723824,25,Университет,Север
11471.730131499142,51,Школа,Север
23303.030291866,23,Университет,Восток
18715.036203763153,30,Университет,Юг
11977.040276948017,36,Школа,Юг
11344.317339212881,57,Школа,Запад
11307.527659089412,43,Школа,Восток
22743.68913974818,24,Университет,Север
21098.594850434318,53,Университет,Юг
11960.458523811405,25,Школа,Запад
12431.729259142294,41,Школа,Север
9991.269599238787,30,Школа,Запад
21598.366921627596,67,Университет,Север
20498.424785578736,35,Университет,Запад
10734.636440560209,52,Школа,Север
20355.877207043337,28,Университет,Восток
21942.160808193774,25,Университет,Север
11163.289418036507,35,Школа,Север
11789.08806863335,48,Школа,Север
20964.9652742085,22,Университет,Запад
17791.75797505935,39,Университет,Юг
11062.736832199416,55,Школа,Север
11127.075910313633,38,Школа,Север
11485.19187430692,45,Школа,Восток
19812.541612628516,22,Университет,Север
8609.060566668977,38,Школа,Восток
12249.213289788557,39,Школа,Север
20452.786886931663,51,Университет,Запад
21342.48809536999,26,Университет,Юг
10437.079840223409,60,Школа,Юг
10987.87634845281,52,Школа,Юг
20101.42930412838,59,Университет,Запад
9063.832821692344,58,Школа,Восток
11947.463321537314,37,Школа,Юг
19793.75982354776,59,Университет,Запад
11327.902961789621,20,Школа,Запад
21820.920443804156,30,Университет,Север
19826.374568793835,47,Университет,Восток
8592.22873125403,44,Школа,Запад
15852.171227706105,69,Школа,Восток
19944.45624810915,42,Университет,Юг
22246.834317202316,50,Университет,Юг
24878.927099140248,49,Университет,Юг
22579.815493707785,61,Университет,Север
10399.114382344897,54,Школа,Север
20865.767224929776,26,Университет,Восток
9334.785560522303,35,Школа,Восток
12763.392853915484,45,Школа,Север
12132.541416117376,67,Школа,Запад
9971.148363476514,68,Школа,Восток
18915.65038580311,21,Университет,Восток
8357.532524672617,20,Школа,Юг
12973.028007608402,67,Школа,Восток
11240.746257911122,31,Школа,Восток
21429.969072665503,24,Университет,Запад
19354.102748275287,56,Университет,Восток
8072.993793391188,51,Школа,Запад
12925.227149423265,28,Школа,Юг
11084.078073994462,60,Школа,Север
22814.46932011524,54,Университет,Юг
20228.133746968873,38,Университет,Запад
20526.364313926282,67,Университет,Запад
22426.596353241264,35,Университет,Восток
12464.69615930105,22,Школа,Восток
22595.131245371907,39,Университет,Север
20409.59749379461,43,Университет,Запад
12229.094475301736,52,Школа,Запад
13218.198930953437,43,Школа,Юг
20790.45597663693,30,Университет,Север
19973.023272451894,68,Университет,Юг
13685.495206633532,27,Школа,Восток
19691.108532897386,55,Университет,Восток
22258.952994228956,57,Университет,Юг
10883.155378960277,59,Школа,Восток
7316.868767030879,39,Школа,Юг
13257.18813495716,54,Школа,Запад
15484.292740905265,67,Университет,Запад
7031.743866484782,44,Школа,Восток
12054.660158961344,54,Школа,Север
22054.14239735623,44,Университет,Запад
19724.84028424493,48,Университет,Восток
11295.64418060649,37,Школа,Север
5937.139908443991,65,Школа,Восток
12413.950928941198,37,Школа,Юг
21499.450974107192,21,Университет,Восток
20908.71429333241,54,Университет,Юг
11041.682964275544,35,Школа,Запад
21986.508352386063,60,Университет,Запад
20942.196953004277,55,Университет,Восток
17251.88899453756,52,Университет,Север
25392.664469045045,23,Университет,Восток
13401.601638856902,52,Школа,Восток
8430.110676090344,33,Школа,Запад
20309.72553904682,40,Университет,Запад
20527.93161968792,67,Университет,Восток
23157.699133017926,39,Университет,Запад
6681.462129360464,27,Школа,Юг
20001.983471140422,26,Университет,Восток
17478.727113324992,22,Университет,Запад
10429.808968343323,36,Школа,Восток
10054.998213830191,52,Школа,Запад
21159.388134765424,67,Университет,Юг
19790.251201981635,31,Университет,Юг
9497.953217218952,70,Школа,Восток
22239.313383526296,41,Университет,Юг
11909.34548188516,41,Школа,Юг
12102.796685556485,65,Школа,Запад
20646.199819018315,49,Университет,Восток
19856.522835549622,57,Университет,Запад
20762.295035958457,57,Университет,Запад
22002.324140136905,64,Университет,Север
6646.440598056303,70,Школа,Юг
21788.223860741717,27,Университет,Запад
11618.276374669596,46,Школа,Запад
11124.301812171454,46,Школа,Запад
10701.37315625665,53,Школа,Юг
5867.761228135173,40,Школа,Юг
10120.293473799189,49,Школа,Юг
14578.877422154746,52,Школа,Восток
11025.802591136611,47,Школа,Запад
10385.420322650563,66,Школа,Юг
21033.812391180225,52,Университет,Запад
11709.545737256018,24,Школа,Восток
12317.64048937893,67,Школа,Север
20542.239673684115,38,Университет,Восток
21849.839204787368,23,Университет,Юг
24353.30160552272,54,Университет,Юг
13012.50159886543,68,Школа,Восток
25680.60043171396,36,Университет,Запад
9686.459283296568,63,Школа,Юг
14352.379015004031,47,Школа,Юг
9418.65272015481,49,Школа,Восток
21707.13229348093,48,Университет,Запад
12464.953058476198,65,Школа,Восток
9978.445616191055,25,Школа,Восток
11175.928554948552,54,Школа,Запад
22820.922204903683,60,Университет,Запад
19579.458203376184,56,Университет,Север
14338.766919095295,43,Школа,Восток
18230.806750545304,48,Университет,Запад
24879.38288545677,68,Университет,Юг
23002.652269599184,65,Университет,Север
10820.548847344442,50,Школа,Восток
20194.66357752654,54,Университет,Запад
9985.943474417953,52,Школа,Север
20728.40871948597,40,Университет,Север
10903.008276902348,51,Школа,Юг
13510.452493269164,42,Школа,Север
14937.308200769168,52,Школа,Восток
21398.759841308016,22,Университет,Запад
9308.74302402119,37,Школа,Север
19908.54791872761,44,Университет,Север
10633.818430777432,61,Школа,Восток
18939.75578940645,50,Университет,Юг
18642.117195785242,22,Университет,Юг
25194.254424746054,59,Университет,Запад
21605.227051892507,65,Университет,Восток
19333.733732639306,43,Университет,Юг
12633.207140715425,69,Школа,Запад
18643.30775038631,51,Университет,Запад
8807.975904257893,66,Школа,Юг
19393.91519787151,41,Университет,Восток
24309.02656173007,42,Университет,Север
10494.239868443252,21,Школа,Юг
6116.5860261950265,46,Школа,Север
13420.131866351187,61,Школа,Север
20387.237271675283,21,Университет,Восток
17301.18398824319,45,Университет,Восток
20366.63302407318,36,Университет,Запад
22042.007793209807,59,Университет,Восток
21808.09833306594,52,Университет,Запад
14596.82995832964,28,Школа,Юг
9294.464274860138,62,Школа,Север
21093.440240529944,67,Университет,Восток
19600.861442843157,58,Университет,Юг
17915.614211625554,48,Университет,Запад
12771.054744611909,61,Школа,Восток
11926.53913829504,45,Школа,Север
11567.356899397706,54,Школа,Юг
11853.58038651729,69,Школа,Восток
9629.05429462316,44,Школа,Восток
18988.609825363612,43,Университет,Юг
11075.29474433872,32,Школа,Запад
23322.42280482323,26,Университет,Запад
14216.154270907093,55,Школа,Восток
22590.865413614865,64,Университет,Запад
11058.348853536192,39,Школа,Запад
11539.567858799872,20,Школа,Юг
11023.187718650743,27,Школа,Запад
18948.113320601144,65,Университет,Запад
21049.294756421084,35,Университет,Юг
8330.346364823014,33,Школа,Восток
10751.84554779392,31,Школа,Восток
24272.21022119264,70,Университет,Юг
12645.718445566703,42,Школа,Север
9153.76163152694,34,Школа,Юг
20855.141860715434,47,Университет,Север
19331.247376490523,53,Университет,Запад
10874.97246364558,21,Школа,Восток
13082.215633049127,51,Школа,Север
22306.015876619807,42,Университет,Север
15968.288161490673,41,Школа,Запад
13384.954805015142,70,Школа,Восток
21408.00076215538,44,Университет,Запад
22354.299948266587,41,Университет,Восток
10595.113651633328,41,Школа,Восток
18744.99150582701,68,Университет,Запад
23611.553156575043,61,Университет,Север
13017.982953863295,25,Школа,Юг
20517.891570812073,34,Университет,Восток
11547.871473862677,62,Школа,Восток
13481.878374769612,56,Школа,Юг
22692.70285241204,52,Университет,Юг
8073.797497500602,27,Школа,Запад
11487.240042979649,63,Школа,Восток
10664.736949023272,63,Школа,Запад
13226.001398277362,24,Школа,Юг
23062.08547756532,58,Университет,Запад
23637.21565635609,23,Университет,Восток
18764.211322559586,25,Университет,Север
9431.776931887522,64,Школа,Север
13228.164872270878,51,Школа,Восток
9816.708369315109,49,Школа,Запад
7957.134038171385,66,Школа,Юг
12065.19297522813,54,Школа,Юг
19905.563119468054,59,Университет,Север
24579.5815406168,35,Университет,Запад
21592.369107976927,32,Университет,Юг
11320.51857328333,69,Школа,Юг
20261.512216768486,61,Университет,Восток
14181.670667853943,49,Школа,Запад
11717.108919779643,38,Школа,Запад
20183.000963687588,36,Университет,Юг
19411.832586789107,38,Университет,Запад
10853.053890871564,47,Школа,Запад
9044.70632569039,45,Школа,Запад
13057.754883357888,56,Школа,Восток
17383.315891951534,45,Университет,Юг
10720.971943333858,42,Школа,Север
22220.26709017587,28,Университет,Запад
11684.238840219314,31,Школа,Юг
9565.434053968662,20,Школа,Север
12320.517413413098,20,Школа,Восток
19227.921223228186,66,Университет,Юг
10955.23068700638,53,Школа,Восток
22303.683143960712,51,Университет,Юг
21925.825558986227,67,Университет,Восток
19649.921977161062,44,Университет,Юг
23394.989033128728,59,Университет,Восток
21173.389142971067,64,Университет,Север
22485.990821878302,20,Университет,Юг
24058.202013346494,35,Университет,Север
13235.041097549214,58,Школа,Запад
13240.258812662087,24,Школа,Север
11385.359859698945,41,Школа,Юг
12587.87024182102,48,Школа,Север
11427.193149128632,22,Школа,Юг
18581.351064443174,31,Университет,Восток
11605.487585010085,45,Школа,Запад
11512.721967476931,35,Школа,Север
22167.458723043637,70,Университет,Запад
10744.00604957321,56,Школа,Север
9477.088886472298,41,Школа,Юг
12313.012166350454,48,Школа,Север
8373.455425495504,33,Школа,Запад
13917.638271712938,47,Школа,Север
20537.163877590014,24,Университет,Запад
21491.056344112338,66,Университет,Запад
12117.116306563144,68,Школа,Юг
12181.376089688381,49,Школа,Восток
8182.03140009653,65,Школа,Восток
22648.173161088525,24,Университет,Север
11606.307656752546,31,Школа,Запад
9729.477230882781,35,Школа,Юг
19500.666098108173,45,Университет,Восток
10331.893835886309,45,Школа,Юг
8402.516626779015,67,Школа,Юг
14444.534781974051,40,Школа,Запад
23972.30265028669,58,Университет,Север
21903.40040195188,55,Университет,Запад
20553.20316731582,52,Университет,Восток
10605.784024125209,49,Школа,Восток
22516.131412347935,56,Университет,Юг
24515.6537990039,42,Университет,Запад
19859.206520806514,29,Университет,Запад
8764.827914753352,24,Школа,Юг
24095.28154719054,55,Университет,Север
7425.722824831097,53,Школа,Юг
8982.938383494708,50,Школа,Юг
20506.284214978295,29,Университет,Восток
7879.133064389938,38,Школа,Запад
23224.298125613197,51,Университет,Восток
12713.8105410102,20,Школа,Юг
19850.413545569365,24,Университет,Запад
23559.228238355496,64,Университет,Юг
23898.584856807654,23,Университет,Юг
10773.658703419873,35,Школа,Север
10098.663644863986,43,Школа,Восток
25519.204055484955,35,Университет,Восток
12442.32364416831,21,Школа,Юг
21512.649305937706,68,Университет,Север
23727.091893279226,47,Университет,Юг
11603.861270006042,51,Школа,Юг
9988.758828161623,46,Школа,Юг
11160.319520975107,39,Школа,Север
23077.30857463947,43,Университет,Запад
7015.628867301573,31,Школа,Север
10423.938521121558,69,Школа,Юг
13766.114797163209,54,Школа,Запад
19976.263197812965,52,Университет,Юг
14092.21712086282,52,Школа,Север
13829.487638719625,70,Школа,Север
20868.941769022098,62,Университет,Запад
19862.921390222,56,Университет,Север
20425.28225170073,31,Университет,Юг
16329.228984002868,22,Школа,Запад
14748.848893866487,20,Школа,Восток
21250.781943613478,52,Университет,Юг
9783.692896759181,59,Школа,Восток
21234.082071162527,29,Университет,Запад
21487.65385323353,62,Университет,Запад
8513.282524781293,63,Школа,Юг
21160.08253843052,48,Университет,Север
23644.80864962346,32,Университет,Юг
7401.286637567053,31,Школа,Север
22653.167930274496,50,Университет,Север
13749.595940109559,65,Школа,Юг
9878.885309811263,21,Школа,Запад
14388.351516382112,70,Школа,Юг
19619.32587510331,69,Университет,Восток
21882.16532372081,54,Университет,Запад
20386.45463067274,42,Университет,Север
10386.007285674794,36,Школа,Запад
19765.401860483908,45,Университет,Юг
12397.15096172404,27,Школа,Запад
22697.610915462898,48,Университет,Север
10871.155600845623,45,Школа,Север
8280.063572655452,29,Школа,Запад
11806.34033326878,45,Школа,Восток
21844.028718821388,53,Университет,Север
10566.569977227146,70,Школа,Восток
24734.462574361616,60,Университет,Север
7872.141470198692,26,Школа,Запад
6565.432579492864,23,Школа,Север
9538.330200604658,69,Школа,Восток
22420.8490681829,64,Университет,Восток
18888.31072513232,30,Университет,Запад
9038.05816294785,48,Школа,Восток
12902.042672356309,55,Школа,Восток
11925.095845595499,44,Школа,Запад
21754.1218192568,40,Университет,Север
12562.857838931057,55,Школа,Запад
20149.61409345423,29,Университет,Север
20242.031851883617,56,Университет,Север
12619.55854512285,28,Школа,Север
8310.226438437601,43,Школа,Юг
16714.560307202908,54,Университет,Север
20133.43165274429,68,Университет,Запад
12861.746578131384,54,Школа,Запад
11511.119397973605,67,Школа,Запад
12714.58300824603,55,Школа,Юг
6967.411379153669,37,Школа,Восток
11630.993616646983,68,Школа,Юг
12307.729009284756,58,Школа,Запад
18298.40515477863,51,Университет,Запад
12724.11518109309,43,Школа,Восток
10776.962206988414,42,Школа,Юг
17142.673403212004,51,Школа,Запад
16645.52786220653,56,Университет,Север
23738.2287353495,31,Университет,Север
10211.683806947853,68,Школа,Запад
7765.696571119913,32,Школа,Север
19946.089712870016,42,Университет,Восток
11554.958482674932,44,Школа,Запад
13074.933339130086,54,Школа,Юг
14443.928576264352,60,Школа,Запад
13843.786177408685,49,Школа,Восток
9069.23595859101,36,Школа,Юг
23260.329384532233,68,Университет,Восток
21782.569914241747,39,Университет,Север
9690.793958142025,67,Школа,Север
20576.178813045037,44,Университет,Север
9580.314681110553,41,Школа,Восток
11074.18468387291,32,Школа,Восток
19540.684235411758,38,Университет,Запад
18944.01185356512,68,Университет,Юг
11958.238255565544,55,Школа,Юг
12257.461096519275,31,Школа,Восток
20624.805999816777,60,Университет,Восток
23735.302607871945,38,Университет,Север
20479.138827009774,31,Университет,Восток
10394.450909748923,28,Школа,Север
12320.977964691394,26,Школа,Восток
10735.148830113327,47,Школа,Юг
11169.595458052287,33,Школа,Запад
15959.12305876187,50,Университет,Восток
11033.41476947595,38,Школа,Север
7345.60812505748,66,Школа,Запад
18558.09885800226,35,Университет,Север
8329.35492248899,24,Школа,Север
8914.833692932349,54,Школа,Запад
19902.292280735495,31,Университет,Запад
20027.01476890903,44,Университет,Запад
22328.55040851425,40,Университет,Восток
11444.775628269394,55,Школа,Запад
17197.85114236403,42,Университет,Восток
21166.589275093615,35,Университет,Юг
11636.510493166854,58,Школа,Юг
10342.866967494083,64,Школа,Север
20878.228046186596,61,Университет,Север
11380.620250794113,58,Школа,Восток
22529.19919527116,33,Университет,Север
7850.24002507453,50,Школа,Юг
10511.365922720703,24,Школа,Восток
14016.672196115458,54,Школа,Восток
23833.322616595913,42,Университет,Запад
12701.87385555156,48,Школа,Восток
22073.649367911352,62,Университет,Север
24309.269496804176,30,Университет,Юг
24835.696003213332,37,Университет,Север
20741.840023906294,66,Университет,Юг
19061.13511342336,31,Университет,Запад
10459.41536475101,28,Школа,Юг
27193.39102754411,29,Университет,Запад
17861.287314549612,63,Университет,Север
10058.921720941165,36,Школа,Запад
8174.617695014737,57,Школа,Восток
21249.52772575477,26,Университет,Восток
8594.617942210265,65,Школа,Юг
20782.497954332764,32,Университет,Север
7099.809679962482,59,Школа,Север
12235.241330169301,61,Школа,Юг
23444.69051293595,28,Университет,Восток
10232.112755873082,69,Школа,Запад
10729.739985848595,46,Школа,Юг
20673.185538537375,21,Университет,Запад
11361.82135045005,24,Школа,Запад
20923.660826067142,48,Университет,Север
22536.233904861387,56,Университет,Восток
23466.07826690189,57,Университет,Запад
9371.857555015635,38,Школа,Восток
10381.343014451406,27,Школа,Север
22803.23889784949,67,Университет,Юг
18156.661903881934,64,Университет,Юг
17058.55743630886,20,Университет,Север
21452.631905796956,41,Университет,Север
11992.692822140985,36,Школа,Запад
9555.399624092815,26,Школа,Север
9842.69789175909,44,Школа,Юг
9479.615356518203,64,Школа,Восток
9266.14952131113,23,Школа,Восток
22386.9916412092,55,Университет,Восток
8639.003026004722,25,Школа,Восток
10468.954277133302,50,Школа,Север
9189.327664970295,38,Школа,Север
18089.422048197568,63,Университет,Восток
22740.35634949354,58,Университет,Север
19960.349555652923,46,Университет,Запад
21376.880160841512,29,Университет,Север
7983.84824039798,45,Школа,Запад
19516.121092487047,38,Университет,Запад
12512.175761390012,58,Школа,Север
16174.54291169062,22,Школа,Восток
17047.567871219377,64,Университет,Запад
20597.784409421147,32,Университет,Север
11824.561196287,69,Школа,Юг
9767.799693521432,47,Школа,Восток
22699.04397398825,39,Университет,Юг
9266.534658679373,47,Школа,Запад
11307.695320433282,27,Школа,Юг
9955.85619100328,60,Школа,Север
13438.862165909544,58,Школа,Восток
19647.27099392879,20,Университет,Запад
10296.252407426968,22,Школа,Север
12891.37807499431,32,Школа,Восток
18943.922681814274,47,Университет,Запад
21137.500113527145,68,Университет,Запад
7354.931312626797,44,Школа,Запад
8824.13308274185,52,Школа,Запад
11764.262551781607,57,Школа,Юг
19018.604980927536,25,Университет,Юг
19910.854136352416,63,Университет,Юг
21986.172804095877,64,Университет,Запад
19841.62771770614,51,Университет,Юг
22645.684146432715,64,Университет,Восток
21431.32557497213,66,Университет,Запад
11871.366223849007,40,Школа,Восток
13481.931197477064,35,Школа,Восток
21639.64612522813,40,Университет,Юг
14077.694580938689,30,Школа,Запад
12822.524566075648,56,Школа,Юг
19953.095140331086,55,Университет,Юг
13586.296150042543,54,Школа,Юг
21527.73204180589,38,Университет,Запад
20210.640582678992,39,Университет,Запад
11556.771390641765,37,Школа,Юг
23224.653648780524,66,Университет,Восток
11910.090188484444,60,Школа,Восток
14644.785665102794,68,Школа,Запад
23173.061115797645,33,Университет,Север
22046.320066804325,34,Университет,Юг
18947.863834517684,50,Университет,Юг
10640.534971979758,20,Школа,Север
21143.328279501704,22,Университет,Запад
12393.263002435495,35,Школа,Восток
22274.666082544387,42,Университет,Запад
11339.080820436573,30,Школа,Восток
21240.699830754344,31,Университет,Восток
12440.913790152139,29,Школа,Запад
9282.827548740028,51,Школа,Юг
14391.031638499713,35,Школа,Юг
16905.666229673057,27,Университет,Юг
23910.818964344056,57,Университет,Восток
20909.628943149677,31,Университет,Юг
13005.159628543188,43,Школа,Восток
11727.680868585225,47,Школа,Юг
11692.068821821604,27,Школа,Запад
22108.508952053042,47,Университет,Север
12618.108578175557,55,Школа,Восток
20342.33834682552,45,Университет,Запад
23069.598261052473,27,Университет,Восток
18831.058752842433,69,Университет,Восток
20989.338853347752,47,Университет,Запад
22671.939848544553,47,Университет,Юг
22990.03515923178,56,Университет,Восток
11921.577696522801,60,Школа,Север
20213.21512408853,55,Университет,Север
12793.415556737407,46,Школа,Запад
9661.267521762493,36,Школа,Север
14502.818147497823,28,Школа,Запад
10830.658205000671,52,Школа,Запад
7920.748611588078,39,Школа,Восток
8610.633063966896,32,Школа,Запад
21087.287273759175,47,Университет,Запад
11279.650542652107,67,Школа,Юг
24939.313369902193,48,Университет,Восток
8923.001324771547,32,Школа,Север
21078.92439860786,65,Университет,Юг
18881.157185835888,54,Университет,Юг
20014.690293573192,25,Университет,Восток
24367.944060138674,37,Университет,Восток
8727.327553688017,70,Школа,Юг
22174.084848135666,24,Университет,Восток
11785.814718028783,66,Школа,Восток
10951.657147283582,44,Школа,Запад
22038.873246383475,21,Университет,Восток
8679.959236113424,29,Школа,Запад
24312.645015607115,49,Университет,Юг
24849.690990247043,69,Университет,Юг
11094.209395518626,64,Школа,Север
15846.212261227109,24,Школа,Восток
