BirthdayYear,Age,Gender,FarmerSince,New_Equipment,Yield
1989,35,0,1997,0.0,22.14874499730173
1953,71,1,2005,0.0,16.911135861686475
1951,73,1,1982,0.0,21.635049052318745
1955,69,0,1990,0.0,19.043530575325093
1991,33,1,1995,0.0,18.81229819216419
1953,71,0,2000,0.0,19.896483434052197
1978,46,0,1985,0.0,22.784494883207223
1967,57,1,2000,0.0,18.186126076367646
1975,49,1,1982,0.0,19.25868798211881
1993,31,1,1999,0.0,17.220555264498735
1983,41,0,2001,0.0,16.367876405686975
1959,65,0,1974,0.0,19.274782743877953
1985,39,1,1981,0.0,22.201466657600438
1963,61,0,2008,0.0,22.388792268419007
1980,44,1,2010,0.0,20.414300021635718
1997,27,1,2006,0.0,20.093829620831226
1964,60,1,1973,0.0,18.715272812271277
1957,67,1,2011,0.0,16.71678288920269
1963,61,0,2017,0.0,17.202485017074025
1972,52,1,2012,0.0,22.57941727984925
1989,35,0,1998,0.0,17.247119015670098
1970,54,0,2010,0.0,16.490933487731418
1965,59,0,1974,0.0,18.36863094673147
1994,30,0,1980,0.0,16.035305704232464
1967,57,0,1999,0.0,22.071899027759535
1996,28,0,1978,0.0,19.834293998890338
1973,51,1,2018,0.0,19.063924022219677
1975,49,0,1997,0.0,20.769316523439624
1974,50,1,1991,0.0,21.494316329932662
1994,30,0,1980,0.0,20.098594407721002
1990,34,1,1990,0.0,19.975799776558116
1978,46,1,1975,0.0,17.363740761966362
1964,60,0,1995,0.0,18.629940992822625
1994,30,1,1985,0.0,21.345250948178396
1950,74,1,1983,0.0,19.920013397934923
1974,50,0,2004,0.0,22.459595039137305
1956,68,0,2011,0.0,21.74912641314843
1958,66,0,2005,0.0,15.981966254474328
1973,51,0,1991,0.0,20.879258456742544
1950,74,0,1971,0.0,19.94777591893546
1993,31,0,1982,0.0,16.18030101768435
1957,67,0,1980,0.0,15.840976096428133
1973,51,0,1981,0.0,18.538511750752956
1960,64,1,2002,0.0,19.16755094381811
1966,58,0,1991,0.0,21.496071774145896
1957,67,1,1978,0.0,17.78484853330441
1984,40,0,2013,0.0,23.338056010402767
1984,40,0,1976,0.0,21.298073967000803
1982,42,0,1986,0.0,19.66611507249233
1954,70,0,1979,0.0,20.725207820623623
1991,33,1,2007,0.0,23.747824421769753
1988,36,1,2008,0.0,19.517713826521703
1990,34,0,2015,0.0,19.566990748775034
1977,47,1,1994,0.0,20.981197977570286
1956,68,0,1996,0.0,17.6319487740505
1958,66,1,1999,0.0,19.890402800638327
1957,67,0,1999,0.0,18.644617877291132
1961,63,1,2012,0.0,21.665487245272438
1983,41,1,2003,0.0,19.83955074182062
1982,42,1,2002,0.0,21.615255140690874
1997,27,0,2001,0.0,19.4702204168676
1972,52,1,2011,0.0,17.044055882079636
1973,51,0,1981,0.0,23.09525800060866
1986,38,1,2010,0.0,18.185469525792616
1984,40,0,1992,0.0,20.118870107035352
1993,31,0,1998,0.0,20.565568038206067
1989,35,0,2012,0.0,21.675750031092615
1971,53,1,1970,0.0,22.93723091527318
1976,48,1,1989,0.0,19.314114067143002
1984,40,0,1979,0.0,18.09973620942873
1950,74,0,1988,0.0,15.348043815953698
1984,40,0,1992,1.0,24.611812579903194
1986,38,1,1990,0.0,15.247852195697206
1996,28,1,2012,0.0,17.83713461512582
1963,61,1,2004,0.0,19.74438370256756
1952,72,1,2017,0.0,22.85382762326601
1950,74,1,2001,0.0,19.53764313372417
1954,70,0,1979,0.0,21.470101041188002
1975,49,0,1971,1.0,25.002677452618816
1963,61,0,2005,0.0,19.872874676088546
1988,36,0,2017,0.0,21.89309517781764
1976,48,1,1975,0.0,20.478107892772183
1958,66,1,2012,0.0,19.024729517661523
1964,60,0,1986,0.0,22.389274305173547
1964,60,1,1984,0.0,18.799033548279432
1975,49,0,2005,0.0,17.825497233559602
1991,33,1,1993,0.0,17.546209985421996
1962,62,1,2009,0.0,19.13507926453228
1981,43,0,1998,0.0,20.07704433831974
1988,36,0,2019,0.0,20.553209508377655
1998,26,0,1983,0.0,19.47996119508794
1981,43,1,1971,0.0,19.246815826047047
1953,71,1,2017,1.0,25.52872443099598
1979,45,1,1991,0.0,22.00400712136605
1986,38,0,2016,0.0,13.537210466977307
1972,52,0,1975,0.0,16.040107378106487
1988,36,0,1978,0.0,21.821247783683834
1994,30,1,1981,0.0,19.121913510459276
1964,60,1,2011,0.0,21.59101449721199
1992,32,0,2008,0.0,17.205184335891065
1978,46,0,1974,0.0,19.86515849685902
1985,39,0,2009,0.0,17.324426013271097
1962,62,1,2013,0.0,20.643654613542864
1981,43,1,1970,0.0,19.25158957990515
1956,68,0,1979,0.0,16.911456944850237
1971,53,0,1980,0.0,21.08344615602941
1977,47,0,1996,0.0,21.00321020000537
1951,73,1,1992,0.0,19.330273182907153
1991,33,1,1989,0.0,18.851320238543156
1994,30,1,1974,0.0,21.80113570050305
1955,69,0,1982,0.0,20.625081036075603
1977,47,0,2019,0.0,19.878225652695868
1977,47,0,1979,0.0,17.50080546130633
1993,31,0,2018,0.0,23.88788124852458
1993,31,0,2005,0.0,19.821514893359343
1969,55,0,2010,0.0,23.305601543806297
1979,45,0,2019,0.0,18.810599478402946
1960,64,0,1985,0.0,19.15897805232044
1977,47,0,1976,0.0,18.900047292742492
1974,50,0,2001,0.0,20.304724887011744
1988,36,0,1994,0.0,19.928773301318333
1982,42,1,2013,0.0,21.317404569833258
1950,74,0,1995,0.0,19.52056554522911
1976,48,0,2005,1.0,25.701730416190333
1962,62,1,1997,0.0,21.028364183692645
1990,34,0,2013,0.0,17.068404919943973
1952,72,1,1981,0.0,17.758313365465007
1988,36,1,1995,0.0,17.480216264117573
1955,69,0,1973,0.0,21.316193149682526
1957,67,0,2013,0.0,22.231381005544794
1976,48,1,1992,0.0,19.01236032326581
1958,66,0,2009,0.0,21.097018169089683
1986,38,0,1993,0.0,19.032824539834795
1982,42,0,2000,0.0,21.299260437092812
1991,33,1,1999,0.0,25.842607385168442
1993,31,1,1972,0.0,23.11113437594569
1973,51,0,1985,0.0,22.689824624223377
1964,60,0,2003,0.0,23.58143236183745
1981,43,1,2007,0.0,21.03719064130551
1981,43,1,1997,0.0,22.245331928706662
1973,51,0,2018,0.0,18.9740082858257
1990,34,0,2013,0.0,21.446310288550674
1998,26,0,2010,0.0,18.1187659903704
1998,26,1,2017,0.0,23.072128013850655
1961,63,1,1976,0.0,18.193511846501572
1988,36,0,1977,0.0,19.81668833012016
1951,73,1,1976,0.0,19.21871544661223
1952,72,0,2006,0.0,20.157761151985746
1998,26,0,1976,0.0,21.002680890098155
1986,38,0,2019,0.0,16.694352102639765
1998,26,0,1987,1.0,24.99102678731659
1966,58,0,2017,0.0,22.63831845809304
1998,26,1,2008,0.0,19.930582114536964
1951,73,1,1990,0.0,21.531040496157495
1951,73,0,2003,0.0,16.187524344189807
1977,47,1,2018,1.0,23.100344114133588
1972,52,0,1996,0.0,23.326028610170578
1986,38,1,1977,0.0,18.465240808055015
1981,43,1,2003,0.0,19.033229977717784
1982,42,1,1987,0.0,19.5115635919729
1950,74,1,2010,0.0,19.24761664236746
1968,56,0,1981,0.0,13.958521078429719
1951,73,1,1991,0.0,21.50298844991929
1993,31,1,2009,1.0,25.84012627676824
1975,49,1,1991,0.0,21.734788283321787
1981,43,1,1977,0.0,20.561883221282063
1955,69,1,2011,0.0,18.7424877157956
1981,43,1,1997,0.0,20.787793668672425
1953,71,1,2019,0.0,18.7501540302748
1960,64,1,2016,0.0,20.848704785754347
1966,58,0,2001,0.0,22.27847045788398
1987,37,0,1980,0.0,21.97884032885447
1973,51,0,1990,0.0,19.491312852993733
1954,70,1,1995,0.0,17.371148952401658
1983,41,0,1983,0.0,20.620471252881618
1955,69,0,1984,0.0,20.161934616736918
1971,53,0,1983,0.0,18.69156639777931
1960,64,1,1981,0.0,22.194495992861935
1997,27,0,2005,0.0,20.40749316417142
1965,59,0,1972,0.0,21.466181380887758
1982,42,0,2013,0.0,15.117546766243152
1958,66,0,1976,0.0,15.433949224882117
1955,69,0,2008,0.0,21.29564495451255
1965,59,0,2015,0.0,21.336100539161396
1978,46,0,1970,0.0,18.172864547248512
1952,72,1,2008,1.0,27.2896364003399
1969,55,0,1994,0.0,22.378914219421205
1985,39,0,2000,0.0,19.81249990845936
1968,56,1,1991,0.0,21.7724124791951
1975,49,1,1979,0.0,21.51116207752948
1952,72,1,1987,0.0,22.327953856013103
1968,56,1,1982,0.0,20.36731132736057
1969,55,1,1977,0.0,20.945396466726418
1981,43,0,1978,0.0,21.13155444014583
1956,68,0,1984,0.0,18.51853529422005
1990,34,0,1977,0.0,17.390810650017652
1982,42,1,2002,0.0,18.487535782731307
1989,35,0,2004,0.0,21.616466879067673
1988,36,0,1988,0.0,18.896864857451245
1967,57,1,1999,0.0,16.76078257071844
1989,35,1,1978,0.0,15.057370322160867
1950,74,0,1988,0.0,19.98961619045778
1960,64,1,2016,0.0,22.061333056665784
1977,47,0,2015,0.0,18.52498870381388
1974,50,1,1995,0.0,19.71049547798192
1999,25,0,1970,0.0,18.570029651802543
1972,52,0,1972,0.0,19.198962333426362
1980,44,0,2003,0.0,19.05953022892523
1979,45,1,1994,0.0,18.041862721475546
1991,33,1,1999,0.0,22.44451301959277
1984,40,1,1970,0.0,20.99380304850445
1956,68,1,1987,0.0,17.629780150336263
1965,59,0,2002,0.0,18.70196054188747
1975,49,0,1978,0.0,19.348483326233104
1997,27,0,1976,0.0,20.12265180369545
1998,26,0,1999,0.0,20.443018285185833
1951,73,1,1982,0.0,19.245965134336476
1950,74,1,1986,0.0,19.601517927509644
1997,27,1,1982,0.0,20.524127002060357
1961,63,1,1982,0.0,18.98505522832332
1954,70,0,2011,0.0,22.53860944645093
1986,38,1,2007,0.0,21.916277923889375
1981,43,1,2006,0.0,19.58047801091786
1958,66,1,1979,0.0,22.363522352463775
1990,34,0,1983,0.0,20.917147359869134
1984,40,0,2012,0.0,20.776832726772955
1968,56,0,1974,0.0,22.891329644509607
1997,27,1,2005,0.0,21.69646069128616
1965,59,0,2004,0.0,22.01952397813232
1952,72,0,2015,0.0,17.60271117784437
1969,55,0,2014,0.0,19.864241015143577
1973,51,0,1992,0.0,18.506275608042333
1982,42,0,1974,0.0,17.177200888127263
1973,51,0,2013,0.0,16.669048198075203
1960,64,1,1997,0.0,21.427912190594267
1998,26,1,1992,0.0,20.397511354793156
1957,67,0,2011,0.0,17.07578405299477
1985,39,1,2003,0.0,19.936271516400126
1987,37,0,2000,0.0,18.92995238084257
1989,35,1,1976,0.0,17.9054320285114
1969,55,0,1976,0.0,21.42425146309075
1984,40,1,1973,0.0,19.467705429370003
1997,27,0,2013,0.0,21.86468622191998
1974,50,0,2001,0.0,18.88639621775166
1984,40,1,1997,0.0,15.34508235884523
1974,50,0,1973,0.0,20.160029315962564
1978,46,1,2008,0.0,20.588968119578386
1967,57,0,2014,0.0,19.659860251050883
1995,29,0,1977,0.0,20.471192680785034
1967,57,0,1983,0.0,19.008767933015303
1951,73,0,1999,0.0,19.56983459295435
1984,40,1,1972,0.0,20.107745386701176
1965,59,1,1971,0.0,21.71323960236462
1990,34,1,1979,0.0,19.60173607258593
1985,39,1,1975,0.0,18.408213467333674
1982,42,1,1976,0.0,18.952525808535096
1953,71,0,1985,0.0,19.722885009120418
1982,42,0,1975,0.0,17.372468617856747
1963,61,1,1985,0.0,18.066803794386423
1970,54,0,1996,0.0,19.872320548483547
1997,27,1,1981,0.0,23.392109348337932
1969,55,0,1991,0.0,21.509198127518243
1957,67,1,1984,0.0,19.76190856866751
1956,68,0,1991,0.0,18.067038998998513
1952,72,0,2004,0.0,17.094989023400686
1966,58,1,2017,0.0,22.134696991734614
1982,42,0,2019,0.0,21.573859068384476
1997,27,1,1984,0.0,21.123076255377043
1961,63,0,1992,0.0,19.540046987287923
1971,53,1,2007,0.0,18.423171989290772
1971,53,0,2018,0.0,17.47818323378593
1995,29,1,1971,0.0,20.34042022628627
1979,45,0,1971,1.0,22.21486727528432
1987,37,0,2018,0.0,20.72516810813614
1987,37,1,1988,0.0,19.956929910858726
1994,30,1,1974,0.0,19.926403975350606
1957,67,1,1973,0.0,19.84502936462292
1976,48,1,1997,0.0,20.179194147916604
1976,48,0,1987,0.0,22.487148656004095
1983,41,0,2009,0.0,19.973870087824892
1970,54,0,2010,0.0,19.700738317090313
1979,45,0,2019,0.0,20.110277778799396
1982,42,0,2000,0.0,19.282409019381326
1977,47,1,1991,0.0,17.616170909367256
1996,28,1,1980,0.0,21.05975402094755
1982,42,1,2017,0.0,16.174741813976325
1954,70,1,1985,0.0,19.27355561049576
1997,27,1,1973,0.0,18.684650884651955
1968,56,0,1990,0.0,17.039312647223024
1953,71,0,2010,0.0,22.238362951431064
1984,40,1,2014,0.0,19.548437438858937
1998,26,1,1994,0.0,20.827685339087104
1966,58,1,1989,0.0,21.052982707241696
1993,31,0,1977,0.0,19.937552498577553
1977,47,1,2012,0.0,23.169036325602388
1979,45,1,1978,0.0,20.878171932025257
1978,46,1,1987,0.0,20.713829732996842
1995,29,0,2000,0.0,21.885333303084234
1955,69,1,2004,0.0,19.99265032567912
1984,40,0,1999,0.0,19.841996587522274
1990,34,1,1987,0.0,21.686934996265297
1986,38,1,1988,0.0,19.156500377700336
1973,51,0,2010,0.0,18.938891021238256
1978,46,0,1993,0.0,17.874648983919045
1998,26,1,2019,0.0,18.34149266801614
1995,29,1,1991,0.0,20.247748812345137
1980,44,0,2017,0.0,23.96826290537304
1984,40,0,1983,0.0,18.500144067446886
1982,42,1,1988,0.0,20.304587408697852
1970,54,0,1998,0.0,20.843476742943434
1981,43,0,1991,0.0,18.67787180639028
1972,52,1,1999,1.0,26.164753665351114
1982,42,1,1984,0.0,17.699578586045455
1952,72,1,1990,0.0,18.060686316463038
1967,57,0,1995,0.0,19.65266405703699
1974,50,1,2005,0.0,17.661579621523106
1991,33,1,1981,0.0,17.10956776270609
1980,44,0,1976,0.0,16.386508979494074
1952,72,1,1980,0.0,19.18720842630445
1989,35,0,2008,0.0,24.298443195192906
1995,29,0,1989,0.0,22.126521828602115
1973,51,1,2004,0.0,16.422501965144438
1999,25,1,1973,0.0,17.535913055775477
1981,43,0,1971,0.0,19.095694884627576
1996,28,1,1989,0.0,20.315451892277796
1971,53,0,2016,0.0,20.22383122460955
1972,52,0,1989,0.0,19.52416204977061
1951,73,1,1981,0.0,19.114175086570224
1976,48,1,1986,0.0,16.863843181080604
1991,33,0,1987,0.0,18.260803818734026
1951,73,0,2009,0.0,18.604050994172056
1975,49,1,1993,0.0,15.914401085806894
1966,58,0,1977,0.0,18.122022008394083
1989,35,0,2006,0.0,22.626111342157866
1982,42,0,2010,0.0,19.367441406503982
1958,66,1,1999,0.0,20.65865020266291
1992,32,0,1989,1.0,28.27437519525995
1997,27,0,1992,0.0,22.96487975439726
1988,36,1,2006,0.0,17.65536127221891
1978,46,0,1979,0.0,20.631313769543866
1991,33,0,2002,0.0,21.70210807521056
1975,49,1,1993,0.0,18.424413953628335
1984,40,1,2005,0.0,20.91211332494128
1999,25,1,1985,0.0,19.802172266580925
1974,50,1,2019,0.0,21.00127362322131
1973,51,1,1997,0.0,20.456233161094065
1962,62,0,1981,0.0,21.908802796107413
1956,68,0,1989,0.0,18.287908194811067
1985,39,1,2016,0.0,20.491691919547495
1994,30,0,1987,0.0,23.32349286911186
1969,55,1,2006,0.0,21.08434009534332
1950,74,0,1995,0.0,21.524798797038034
1957,67,0,2015,0.0,17.804103225522393
1995,29,0,1976,0.0,16.029481966568678
1965,59,1,2012,0.0,19.804588472617986
1963,61,1,2016,0.0,22.218949651958475
1961,63,1,1990,0.0,19.262143031648396
1972,52,0,2012,0.0,19.326633521279767
1964,60,1,2001,0.0,18.314618469144165
1977,47,0,1976,0.0,18.851789468551384
1983,41,0,1992,0.0,19.443534358595148
1951,73,1,1989,0.0,22.099354132413392
1981,43,0,1989,0.0,22.76082276864329
1972,52,0,2001,0.0,18.566972857625053
1971,53,0,1995,0.0,17.39074194203466
1974,50,1,2005,0.0,18.770147440350687
1971,53,1,1993,0.0,19.967448054190964
1971,53,1,1970,0.0,20.839192876518755
1998,26,0,1997,0.0,18.02686861779814
1991,33,0,1995,0.0,25.000435925593596
1955,69,1,2003,0.0,19.286116193460117
1964,60,0,1995,0.0,20.165573534787637
1992,32,1,2005,0.0,20.852402248553712
1986,38,1,1974,0.0,17.83859911048625
1982,42,1,1971,0.0,22.18412184123452
1957,67,1,2001,0.0,23.478965541673478
1993,31,0,2003,0.0,18.289904654434718
1993,31,0,2019,0.0,21.63651893674816
1954,70,0,1999,0.0,19.27048694714749
1988,36,1,1993,0.0,19.023733259213447
1953,71,0,1997,0.0,19.75881533418635
1955,69,1,2015,0.0,19.984847706069814
1994,30,1,1972,0.0,20.71389472855056
1981,43,1,2019,0.0,21.496719761059115
1979,45,0,1979,0.0,19.43958405087272
1996,28,1,1975,0.0,19.90968185225244
1984,40,0,2003,0.0,22.777176346360744
1989,35,0,2000,0.0,18.248969362376133
1965,59,0,2012,0.0,20.857839937260024
1962,62,0,2019,0.0,17.710616481966948
1999,25,0,2015,0.0,21.420511193997548
1991,33,0,1982,0.0,19.69014026724082
1979,45,0,2008,0.0,19.1831984180382
1968,56,0,1989,0.0,17.09729679604159
1966,58,1,2001,0.0,20.248140125418054
1968,56,1,1979,0.0,19.905978292163788
1977,47,0,1995,0.0,21.100606385803857
1975,49,0,1988,0.0,17.975399000146147
1986,38,0,1998,0.0,22.786313071414394
1975,49,0,1982,0.0,18.7791558265381
1972,52,0,2003,0.0,18.09900128494263
1958,66,1,1989,0.0,21.49106184219711
1961,63,0,2013,0.0,19.05477210658601
1950,74,0,2009,0.0,23.16033205145171
1950,74,0,1987,0.0,17.10269977429269
1996,28,1,2003,0.0,19.647446406354412
1983,41,1,2017,0.0,22.761430491906637
1981,43,0,1977,0.0,20.181976823796614
1997,27,1,1985,0.0,18.222095359391943
1974,50,1,2009,0.0,20.137249139263943
1989,35,1,1992,0.0,19.840030954076923
1994,30,1,2001,0.0,22.171744758338992
1950,74,1,1982,0.0,23.485632479019994
1965,59,1,1995,0.0,19.572388968799817
1988,36,1,2007,0.0,19.50061524807663
1954,70,1,1970,0.0,19.1699912136714
1971,53,0,1971,0.0,20.495183257012062
1978,46,0,2008,0.0,21.07047549208505
1952,72,1,1982,0.0,20.640036876165972
1961,63,1,1996,0.0,17.328556179536402
1975,49,0,1973,0.0,17.85999332763449
1965,59,0,2010,0.0,22.595733478097422
1986,38,1,1989,0.0,17.41232294470217
1971,53,0,1972,0.0,19.05212387737511
1978,46,1,1992,0.0,23.782656298752983
1963,61,0,1971,0.0,20.223843340704597
1977,47,1,1985,0.0,20.22684399033001
1954,70,0,1979,0.0,19.136872130356277
1996,28,1,1997,0.0,20.831248445160508
1998,26,0,2013,0.0,21.929691581525958
1979,45,0,1987,0.0,20.80645951089451
1995,29,1,1971,0.0,19.56319800722384
1954,70,1,1983,0.0,19.30613425848129
1961,63,0,2013,0.0,19.93492401076925
1965,59,0,1989,0.0,20.815877587325563
1975,49,1,2009,0.0,15.730099957306987
1975,49,0,1992,0.0,20.861128933932388
1997,27,0,1976,0.0,21.729566652712393
1970,54,0,2014,0.0,19.52736972697489
1988,36,0,2016,0.0,18.64347395862313
1985,39,0,1983,0.0,18.214054529515167
1982,42,1,2006,0.0,16.05928080825135
1979,45,0,1977,0.0,20.013652561233933
1986,38,0,2019,0.0,20.555542164069568
1972,52,1,1974,0.0,21.64019985725831
1959,65,1,1992,0.0,25.007004038156378
1954,70,1,2010,0.0,20.180039991072068
1985,39,1,1979,0.0,22.120997177445293
1983,41,1,2018,0.0,16.773878762339614
1980,44,0,1996,0.0,19.05919948159908
1959,65,0,2004,0.0,22.02259412603272
1968,56,0,1970,0.0,20.290466784162547
1981,43,1,1976,0.0,22.246451721929763
1950,74,1,2016,0.0,22.194061808334034
1954,70,1,1977,0.0,23.41039973723888
1994,30,0,1980,0.0,21.490156799308682
1953,71,0,2003,0.0,19.711807115281825
1965,59,0,1997,0.0,21.771564334467765
1973,51,0,2003,0.0,18.028151557328346
1965,59,0,2012,0.0,24.243795183285464
1951,73,0,1989,0.0,19.028870525162993
1998,26,1,1997,0.0,19.965093669732425
1977,47,0,2018,0.0,20.604142855600575
1981,43,0,2011,0.0,21.358578893344248
1976,48,0,2006,0.0,22.473944573572687
1969,55,0,1972,0.0,18.432792734727364
1973,51,0,1978,0.0,17.639671665183887
1961,63,1,1991,0.0,18.3025547271435
1999,25,0,1994,0.0,20.383171438140863
1984,40,0,1971,0.0,21.341594751012188
1982,42,1,1992,0.0,21.230247464788423
1982,42,1,1986,0.0,20.68537163206445
1992,32,0,1994,0.0,20.630417043238964
1986,38,0,1981,0.0,22.195792622904918
1961,63,0,1996,0.0,21.702071032299003
1952,72,0,1989,0.0,17.168402824139505
1950,74,0,1978,0.0,20.918794135809705
1982,42,1,1992,0.0,21.209718828780343
1989,35,1,2005,0.0,18.56041727156871
1959,65,0,1997,0.0,21.60537236241381
1992,32,0,2019,0.0,19.894741096761205
1993,31,1,2017,0.0,21.470570469159913
1978,46,1,1998,0.0,17.41687623396755
1962,62,0,2011,0.0,17.853436846964097
1961,63,0,2001,1.0,27.00848961753061
1980,44,0,1981,0.0,21.62025191371532
1995,29,0,1999,0.0,15.819787518142855
1951,73,0,1980,0.0,19.64931847928597
1999,25,0,2006,0.0,15.187337284739055
1984,40,1,1989,0.0,23.99715738355083
1972,52,1,1980,0.0,18.94059114224688
1966,58,1,2017,0.0,19.40857368783825
1975,49,1,2016,0.0,18.54912940303135
1957,67,0,2007,0.0,19.3310784160022
1978,46,1,2014,0.0,18.829842990480323
1975,49,1,1985,0.0,22.39089540329344
1959,65,0,2004,0.0,19.664708668724852
1975,49,1,2019,0.0,18.867514030720788
1983,41,0,1970,0.0,20.86454455935068
1990,34,0,1994,0.0,16.10122474597224
1956,68,1,2018,0.0,18.756858999627575
1953,71,1,1996,0.0,19.54108077800199
1999,25,1,2001,0.0,17.720120177632417
1994,30,0,1975,0.0,21.082134244232755
1960,64,1,2010,0.0,19.870129948910392
1978,46,0,2005,0.0,21.145430370296598
1985,39,1,2008,0.0,21.094328956933776
1974,50,0,1992,0.0,22.87452460804066
1970,54,1,1998,0.0,18.061066012177683
1985,39,1,1999,0.0,21.91146601285801
1959,65,0,1991,0.0,18.941236819021128
1986,38,1,1980,0.0,20.2190439060657
1958,66,1,1995,0.0,20.91512557887
1973,51,0,1992,0.0,22.152946232795593
1984,40,1,1972,0.0,20.166061938190758
1998,26,1,2017,1.0,26.8940069889006
1984,40,0,1975,0.0,22.909077096298308
1997,27,1,1976,0.0,19.269374013907235
1985,39,0,2013,0.0,19.435525615980723
1967,57,1,2008,0.0,18.367011778951312
1998,26,1,1991,0.0,18.940610549255833
1988,36,0,2017,0.0,20.46975621366102
1981,43,1,2019,0.0,19.710439020482042
1973,51,0,2011,0.0,19.62912836788993
1972,52,0,2002,0.0,20.626322506705904
1981,43,1,2009,0.0,19.57060241039739
1986,38,0,1972,0.0,17.186100516852193
1961,63,1,1999,0.0,18.254459966985998
1998,26,0,2017,0.0,20.790502332162827
1962,62,1,1993,0.0,20.592813352694986
1972,52,1,1972,0.0,18.319554487303808
1974,50,0,1971,0.0,18.73173739919598
1984,40,1,2013,0.0,18.615444530117625
1990,34,1,2009,0.0,19.359034284283133
1979,45,1,1988,0.0,21.776103741881787
1966,58,0,1993,0.0,23.18411572882286
1998,26,1,2019,0.0,20.490000582248108
1969,55,1,1989,0.0,23.027825748321625
1997,27,0,2016,0.0,19.283918342844345
1974,50,1,2018,0.0,20.71436618943844
1971,53,0,2019,0.0,19.544684767920142
1962,62,0,2000,0.0,21.37427184421694
1968,56,1,2019,0.0,21.704554153992017
1998,26,0,2010,0.0,18.882153433206604
1985,39,1,2000,0.0,22.196395924403184
1961,63,1,2006,0.0,18.95626345852485
1990,34,1,2012,0.0,17.770821018231533
1968,56,0,1998,0.0,22.16429268288908
1961,63,0,1973,0.0,20.670140371968557
1958,66,1,1979,0.0,20.327825377696993
1956,68,1,2005,0.0,20.634959391318677
1977,47,0,2004,0.0,19.351687676281905
1963,61,1,2017,0.0,21.21764496529228
1980,44,0,1990,0.0,17.48307241560412
1968,56,0,2012,0.0,23.866548001459975
1996,28,1,2010,0.0,18.246975583242396
1965,59,1,1970,0.0,17.754048832190243
1954,70,1,2011,0.0,21.290963187669412
1984,40,0,1981,0.0,18.106799959830084
1961,63,0,1993,0.0,21.8025770849421
1974,50,0,1971,0.0,21.444372217996897
1970,54,0,2016,0.0,17.7476013371447
1985,39,1,1989,0.0,19.797285263057404
1972,52,0,1985,0.0,23.081132321513447
1965,59,1,2003,0.0,19.032200131654687
1988,36,0,1982,0.0,18.52193931303703
1994,30,0,1987,0.0,19.765791675330455
1991,33,1,1998,0.0,21.044563586236475
1988,36,0,2012,0.0,19.055191603994682
1963,61,1,1983,0.0,18.483476649489038
