Gender,Age,AgeGroup,TotalSpendings,ServiceCost,Profit
male,49,45-49,38518.11,31517.82,7000.29
Male,45,45-49,58054.58,35508.02,22546.56
female,37,35-39,56451.28,36217.54,20233.74
male,33,30-34,51071.02,31556.32,19514.7
female,39,35-39,59482.46,46562.22,12920.24
female,41,40-44,61156.07,40151.06,21005.01
male,43,40-44,46225.6,20217.71,26007.89
male,45,45-49,40998.39,18260.23,22738.16
male,51,50-54,49881.24,20957.38,28923.86
male,47,45-49,55366.12,39346.89,16019.23
male,50,50-54,48946.45,16325.93,32620.52
female,51,50-54,40115.76,33660.48,6455.28
male,50,50-54,51626.72,28639.98,22986.74
Male,41,40-44,29664.99,20041.66,9623.33
Female,47,45-49,46755.39,31990.75,14764.64
male,36,35-39,58511.66,28588.45,29923.21
male,49,45-49,59054.38,36455.49,22598.89
female,53,50-54,12402.21,16984.12,-4581.91
male,52,50-54,48074.16,22851.51,25222.65
male,36,35-39,55992.76,23011.7,32981.06
male,38,35-39,38239.18,35293.17,2946.01
female,30,30-34,46280.45,28098.93,18181.52
male,35,35-39,62077.17,39446.38,22630.79
Female,35,35-39,45158.37,26809.65,18348.72
female,51,50-54,65986.42,31765.2,34221.22
Female,41,40-44,42588.14,41873.92,714.22
female,51,50-54,64098.8,15816.55,48282.25
male,41,40-44,50335.64,30231.99,20103.65
Female,39,35-39,41216.73,29747.41,11469.32
female,52,50-54,64132.14,23697.25,40434.89
Male,35,35-39,37935.25,28689.1,9246.15
male,46,45-49,42040.28,32497.44,9542.84
female,48,45-49,54899.19,24030.06,30869.13
Male,47,45-49,50808.17,30443.26,20364.91
female,35,35-39,52739.64,21842.12,30897.52
Male,53,50-54,46316.82,28365.52,17951.3
male,48,45-49,38006.06,37429.61,576.45
Female,39,35-39,43477.44,37803.94,5673.5
Male,53,50-54,63203.99,39382.14,23821.85
female,37,35-39,36630.19,29186.88,7443.31
male,50,50-54,66444.67,27386.21,39058.46
Male,53,50-54,53158.59,35903.66,17254.93
female,35,35-39,44031.95,39335.04,4696.91
female,50,50-54,29979.47,30667.52,-688.05
female,54,50-54,31293.14,42097.32,-10804.18
Male,36,35-39,46441.16,35684.67,10756.49
Male,53,50-54,45229.56,25431.91,935981.4297301968
Male,30,30-34,51177.49,26400.24,24777.25
Female,47,45-49,67191.44,29676.17,37515.27
Male,53,50-54,55375.94,17436.38,37939.56
Male,54,50-54,48713.11,25572.48,23140.63
Male,49,45-49,62168.44,39126.52,23041.92
Female,41,40-44,51506.54,40761.07,10745.47
Male,45,45-49,65997.09,32288.25,33708.84
female,39,35-39,43279.14,33634.94,9644.2
Male,39,35-39,38522.09,27520.64,11001.45
female,43,40-44,29996.68,24878.8,5117.88
female,54,50-54,48945.89,34562.45,14383.44
female,49,45-49,37653.58,26481.53,11172.05
Female,39,35-39,37511.97,43522.68,-6010.71
Female,39,35-39,60343.19,33268.73,27074.46
Female,54,50-54,32778.98,33562.17,-783.19
Male,40,40-44,51035.58,21523.85,29511.73
female,52,50-54,49167.67,11451.27,37716.4
Female,31,30-34,50921.31,33561.02,17360.29
Female,54,50-54,63841.02,26024.78,37816.24
Male,49,45-49,41743.09,37871.77,3871.32
Female,37,35-39,63849.48,22698.05,41151.43
Male,52,50-54,32397.95,25750.31,6647.64
male,36,35-39,56507.41,38955.66,17551.75
Female,37,35-39,64763.73,33494.35,31269.38
male,30,30-34,9459.5,21989.43,-12529.93
Male,50,50-54,49646.07,30272.06,19374.01
female,31,30-34,48832.69,45229.84,3602.85
Female,47,45-49,50718.49,31149.05,19569.44
Male,44,40-44,67115.58,28815.68,38299.9
female,30,30-34,42363.69,37161.86,5201.83
female,34,30-34,38154.91,32818.19,5336.72
male,31,30-34,50791.23,41549.33,9241.9
Male,49,45-49,61243.13,36040.78,25202.35
female,32,30-34,55586.35,37252.35,18334.0
Female,48,45-49,50343.22,41938.47,8404.75
Female,47,45-49,47707.69,27607.58,20100.11
male,51,50-54,29930.7,25209.89,4720.81
female,47,45-49,55858.63,19234.16,36624.47
Male,43,40-44,57053.41,28313.22,28740.19
Female,53,50-54,43076.66,19531.13,23545.53
female,37,35-39,45352.8,32923.88,12428.92
female,41,40-44,39517.71,25092.09,14425.62
male,50,50-54,58681.23,37698.67,20982.56
Female,39,35-39,46341.34,36229.43,10111.91
Female,52,50-54,48506.95,26883.2,21623.75
Male,49,45-49,56292.64,37810.34,18482.3
Female,46,45-49,53269.74,31193.89,22075.85
Male,40,40-44,55632.81,15829.91,39802.9
Female,31,30-34,51748.37,22090.94,29657.43
male,33,30-34,51971.18,24206.7,27764.48
Female,30,30-34,51876.38,30081.95,21794.43
Male,44,40-44,54529.16,26567.54,27961.62
Male,42,40-44,55015.07,25768.15,29246.92
male,37,35-39,37752.92,34647.76,3105.16
Female,54,50-54,44028.06,36295.33,7732.73
Female,33,30-34,47966.42,25051.58,22914.84
male,39,35-39,54518.18,23202.12,31316.06
Female,48,45-49,65974.23,40113.61,25860.62
Female,47,45-49,41867.77,51808.63,-9940.86
Male,34,30-34,58786.52,22464.79,36321.73
Female,48,45-49,44310.53,37129.12,7181.41
Female,52,50-54,63705.17,28887.79,34817.38
male,51,50-54,69123.44,35407.88,33715.56
male,45,45-49,32519.86,22376.4,10143.46
female,30,30-34,46736.66,19986.02,26750.64
Male,41,40-44,26497.55,21018.05,5479.5
Female,53,50-54,33101.64,25486.89,7614.75
Female,31,30-34,33724.75,28122.33,5602.42
female,50,50-54,56240.66,37561.02,18679.64
Female,54,50-54,54369.84,23332.29,31037.55
Male,37,35-39,58012.44,24897.37,33115.07
female,47,45-49,56079.17,46644.15,9435.02
Male,54,50-54,54850.65,30427.01,24423.64
female,45,45-49,51118.57,32282.54,18836.03
female,34,30-34,48691.2,35962.45,12728.75
male,51,50-54,60195.98,25809.29,34386.69
Male,42,40-44,50122.78,29853.24,20269.54
Female,48,45-49,55251.79,27420.35,27831.44
Female,32,30-34,26697.15,29335.69,-2638.54
Male,37,35-39,38249.31,36745.94,1503.37
Female,41,40-44,59802.24,35397.33,24404.91
Female,31,30-34,43315.65,11741.75,31573.9
Male,40,40-44,36046.42,37983.03,-1936.61
female,41,40-44,56412.92,27234.19,29178.73
Male,47,45-49,50013.34,33158.43,16854.91
female,42,40-44,45930.61,26739.48,19191.13
Female,34,30-34,65091.11,29585.56,35505.55
Female,51,50-54,63374.34,40522.32,22852.02
Female,41,40-44,48121.63,32688.6,15433.03
male,31,30-34,57223.75,40113.37,17110.38
female,34,30-34,27612.96,29592.25,-1979.29
male,36,35-39,60933.59,28760.73,32172.86
male,53,50-54,39134.13,30097.42,9036.71
Male,41,40-44,35478.58,19844.19,15634.39
male,45,45-49,32147.35,8471.93,23675.42
Male,52,50-54,31374.48,23754.11,7620.37
Male,37,35-39,60803.26,38217.87,22585.39
male,38,35-39,56311.45,41364.3,14947.15
female,44,40-44,42341.4,13981.09,28360.31
female,34,30-34,58548.99,40293.42,18255.57
female,42,40-44,44050.19,25261.41,18788.78
female,34,30-34,53236.49,18588.8,34647.69
female,40,40-44,45176.91,38473.81,6703.1
male,39,35-39,48800.37,25956.45,22843.92
male,49,45-49,40918.03,50924.28,-10006.25
Female,42,40-44,42401.82,24614.06,17787.76
female,38,35-39,55440.96,27789.16,27651.8
male,50,50-54,57047.79,22188.06,34859.73
Female,43,40-44,45858.76,31199.2,14659.56
female,47,45-49,34744.6,36376.52,-1631.92
Male,44,40-44,74712.47,16157.8,58554.67
Female,39,35-39,50366.97,35246.39,15120.58
male,53,50-54,53121.41,26730.7,26390.71
Male,36,35-39,37386.7,23112.73,14273.97
Male,37,35-39,62152.34,18790.17,43362.17
Male,32,30-34,63678.95,37828.99,25849.96
Female,44,40-44,32919.65,32293.5,626.15
male,45,45-49,48976.14,25343.37,23632.77
Male,33,30-34,48195.63,36235.67,11959.96
female,50,50-54,73884.47,34238.61,39645.86
Male,35,35-39,64436.14,36942.78,27493.36
Male,30,30-34,35492.22,43124.79,-7632.57
Female,33,30-34,42719.48,31740.15,10979.33
Female,40,40-44,41070.06,45459.01,-4388.95
male,41,40-44,53716.76,41420.64,12296.12
female,34,30-34,65722.09,36267.53,29454.56
Female,52,50-54,51091.74,16470.16,34621.58
Male,50,50-54,55011.66,30878.34,24133.32
male,45,45-49,43356.91,31970.6,11386.31
Male,42,40-44,54958.08,31724.57,23233.51
Male,42,40-44,45280.82,29121.54,16159.28
Female,46,45-49,33592.4,35168.4,-1576.0
male,36,35-39,54308.71,36233.25,18075.46
female,37,35-39,49901.48,16622.63,33278.85
female,42,40-44,39028.02,40838.72,-1810.7
Female,52,50-54,66453.85,18188.38,48265.47
Female,45,45-49,42335.46,26752.81,15582.65
male,33,30-34,56091.01,22899.38,33191.63
female,37,35-39,46374.52,24225.89,22148.63
female,45,45-49,65435.77,38692.26,26743.51
female,50,50-54,47624.12,30972.96,16651.16
Male,39,35-39,33253.72,35460.79,-2207.07
female,54,50-54,58100.02,35056.13,23043.89
Male,41,40-44,65395.44,14679.64,50715.8
male,41,40-44,45723.89,25538.07,20185.82
Male,34,30-34,56788.85,35988.58,20800.27
male,45,45-49,51294.32,35254.7,16039.62
female,30,30-34,46172.84,15946.59,30226.25
female,38,35-39,58407.6,38240.22,20167.38
male,41,40-44,41999.64,34928.45,7071.19
Female,34,30-34,50324.95,22297.66,28027.29
male,51,50-54,52573.57,33269.03,19304.54
Female,49,45-49,52210.89,28167.11,24043.78
Male,51,50-54,42245.93,33935.72,8310.21
Male,53,50-54,70596.05,15598.11,54997.94
Male,32,30-34,62622.45,27179.16,35443.29
female,34,30-34,59904.13,39445.74,20458.39
Male,31,30-34,64332.13,34310.55,30021.58
Female,43,40-44,50687.62,36333.13,14354.49
Male,31,30-34,46287.1,28131.67,18155.43
male,42,40-44,39109.64,34514.77,4594.87
male,36,35-39,42965.68,28695.29,14270.39
female,39,35-39,39859.77,22601.28,17258.49
male,42,40-44,44718.95,27982.76,16736.19
Female,45,45-49,52764.76,41632.32,11132.44
Male,43,40-44,59140.25,39058.57,20081.68
female,40,40-44,58863.54,22062.38,36801.16
Male,39,35-39,38284.92,26661.27,11623.65
Male,35,35-39,56891.29,22606.09,34285.2
Female,33,30-34,61438.57,31436.19,30002.38
male,50,50-54,47457.65,37978.18,9479.47
male,30,30-34,61977.5,46254.35,15723.15
Male,36,35-39,58758.0,18580.38,40177.62
female,53,50-54,37354.09,36866.78,487.31
male,38,35-39,71917.36,29938.51,41978.85
female,37,35-39,42843.52,27062.9,15780.62
male,34,30-34,59574.2,22517.67,37056.53
female,48,45-49,59212.22,44238.89,14973.33
Female,39,35-39,37759.88,16969.09,20790.79
female,40,40-44,51789.79,26081.96,25707.83
Female,54,50-54,59089.16,32938.38,26150.78
Female,44,40-44,37653.87,33626.31,4027.56
female,35,35-39,50996.16,39974.38,11021.78
Female,44,40-44,59926.73,22954.56,36972.17
Male,34,30-34,60572.41,34995.1,25577.31
Female,48,45-49,46029.27,29496.52,16532.75
male,51,50-54,65443.69,30321.74,35121.95
female,48,45-49,63055.22,26323.38,36731.84
Male,39,35-39,52412.28,31294.93,21117.35
female,41,40-44,43410.49,28860.91,14549.58
male,51,50-54,38341.48,27149.96,11191.52
male,33,30-34,53775.46,25798.38,27977.08
male,47,45-49,64645.13,32979.96,31665.17
Female,45,45-49,48528.47,19352.87,29175.6
Female,37,35-39,41409.18,28461.21,12947.97
female,33,30-34,58249.24,23858.26,34390.98
female,54,50-54,51745.12,29016.72,22728.4
Male,52,50-54,55159.05,29118.37,26040.68
Male,41,40-44,44747.21,36934.82,7812.39
female,31,30-34,46301.49,35272.12,11029.37
Female,33,30-34,44700.04,32334.37,12365.67
male,34,30-34,54991.69,31381.85,23609.84
female,32,30-34,46606.04,28473.1,18132.94
Male,38,35-39,55924.24,28325.23,27599.01
Female,50,50-54,43786.28,16017.09,27769.19
female,47,45-49,54975.02,35869.99,19105.03
female,40,40-44,57037.81,32132.21,24905.6
Female,32,30-34,53315.43,39602.99,13712.44
female,54,50-54,59170.43,25563.5,33606.93
Female,52,50-54,45185.44,40082.96,5102.48
male,31,30-34,56926.42,28465.43,28460.99
Female,38,35-39,52333.45,25414.72,26918.73
Female,43,40-44,41902.66,42363.56,-460.9
Female,33,30-34,30929.68,32911.14,-1981.46
female,38,35-39,33068.4,43368.06,-10299.66
female,42,40-44,27916.38,31363.91,-3447.53
Female,47,45-49,54261.29,36459.38,17801.91
female,44,40-44,46752.31,38229.64,8522.67
Male,39,35-39,50872.12,27749.03,23123.09
Male,45,45-49,48195.98,32768.54,15427.44
female,41,40-44,55816.7,31233.74,24582.96
female,49,45-49,56109.12,36658.58,19450.54
Female,34,30-34,50429.01,21477.16,28951.85
male,31,30-34,51034.2,34809.06,16225.14
female,39,35-39,51433.65,37363.73,14069.92
Male,30,30-34,63917.83,24537.0,39380.83
Female,36,35-39,29954.01,22948.42,7005.59
female,46,45-49,43294.79,16733.8,26560.99
Male,45,45-49,58652.61,46627.74,12024.87
Male,53,50-54,61079.02,24146.55,36932.47
male,32,30-34,54272.0,41343.62,12928.38
Female,43,40-44,48158.73,28336.14,19822.59
Female,39,35-39,68615.6,38785.66,29829.94
male,51,50-54,51778.12,34647.52,17130.6
male,36,35-39,50307.86,46817.19,3490.67
Female,46,45-49,63317.85,41566.54,21751.31
Female,35,35-39,54755.51,31704.8,23050.71
female,52,50-54,59398.3,32478.68,26919.62
female,51,50-54,60569.72,35432.96,25136.76
male,33,30-34,46275.28,51450.44,-5175.16
female,46,45-49,67677.32,30541.87,37135.45
Male,38,35-39,25378.8,19658.56,5720.24
female,33,30-34,30203.43,31957.7,-1754.27
female,36,35-39,43197.85,24874.67,18323.18
Male,52,50-54,45766.39,31690.22,14076.17
male,31,30-34,53626.25,39209.22,14417.03
Male,46,45-49,43105.55,34032.65,9072.9
female,53,50-54,49880.82,25254.37,24626.45
male,37,35-39,47948.57,28376.84,19571.73
female,52,50-54,70044.65,21470.15,48574.5
Male,44,40-44,41950.24,40205.07,1745.17
Male,44,40-44,33169.55,36564.91,-3395.36
female,37,35-39,61190.0,21293.26,39896.74
Female,45,45-49,42860.43,50168.17,-7307.74
Female,48,45-49,49083.37,28264.33,20819.04
Male,40,40-44,43538.25,32364.23,11174.02
Male,31,30-34,57371.76,27299.81,30071.95
Female,52,50-54,36257.25,33360.74,2896.51
Female,53,50-54,22008.08,30752.44,-8744.36
female,46,45-49,62957.16,18819.09,44138.07
female,45,45-49,52474.71,39388.07,13086.64
Female,54,50-54,60726.44,23374.89,37351.55
female,44,40-44,62622.12,37336.88,25285.24
female,42,40-44,40835.34,28145.11,12690.23
male,44,40-44,50606.65,30506.6,20100.05
female,33,30-34,55053.88,33856.9,21196.98
Male,45,45-49,48917.08,31098.15,17818.93
female,41,40-44,46878.49,35950.58,10927.91
female,33,30-34,47863.49,24334.41,23529.08
Female,32,30-34,60835.43,38295.08,22540.35
Male,51,50-54,47409.88,21755.74,25654.14
female,46,45-49,56002.29,22697.33,33304.96
female,51,50-54,53468.93,34632.12,18836.81
male,47,45-49,40358.17,38396.37,1961.8
female,54,50-54,53019.69,32270.58,20749.11
female,47,45-49,34613.29,41937.59,-7324.3
male,52,50-54,54014.33,23331.31,30683.02
Female,46,45-49,58911.17,20677.58,38233.59
female,41,40-44,61214.14,36706.0,24508.14
male,52,50-54,40473.1,30978.41,9494.69
Male,50,50-54,44638.46,36449.24,8189.22
Female,53,50-54,52840.65,21775.77,31064.88
Male,33,30-34,45240.75,26454.23,18786.52
Male,41,40-44,30711.23,43942.29,-13231.06
male,52,50-54,44583.04,28391.87,16191.17
female,51,50-54,52802.02,41412.03,11389.99
male,50,50-54,60675.28,36214.36,-6664.702268391361
male,49,45-49,66892.08,27716.29,39175.79
male,44,40-44,51249.48,41294.07,9955.41
male,52,50-54,55664.94,32610.84,23054.1
Female,45,45-49,59607.84,30108.24,29499.6
female,34,30-34,29494.41,29361.08,133.33
Male,50,50-54,39807.84,33510.63,6297.21
Male,44,40-44,51025.62,20973.52,30052.1
female,46,45-49,65559.45,37192.12,28367.33
Male,47,45-49,56297.61,33531.31,22766.3
female,34,30-34,53297.0,25430.6,27866.4
Male,42,40-44,47718.88,19852.22,27866.66
male,48,45-49,54267.94,27994.62,26273.32
Male,42,40-44,44035.59,32001.35,12034.24
female,47,45-49,42201.71,31247.79,10953.92
female,43,40-44,43070.63,31198.5,11872.13
female,33,30-34,63404.82,35390.41,28014.41
female,33,30-34,41597.48,20794.51,20802.97
female,49,45-49,46012.23,29476.69,16535.54
Female,49,45-49,54710.11,32382.72,22327.39
Female,48,45-49,41198.15,33685.61,7512.54
Male,42,40-44,52261.64,37190.69,15070.95
female,41,40-44,52258.04,28372.01,23886.03
Male,36,35-39,43755.46,30426.44,13329.02
female,54,50-54,47412.2,24067.65,23344.55
female,41,40-44,40564.24,33105.96,7458.28
Female,50,50-54,63827.66,23036.39,40791.27
Female,33,30-34,52575.94,34589.79,17986.15
male,31,30-34,39513.57,39449.13,64.44
Female,31,30-34,51263.18,33746.28,17516.9
male,34,30-34,51715.94,40266.38,11449.56
male,52,50-54,27567.6,26372.15,1195.45
male,39,35-39,63404.44,20410.33,42994.11
male,39,35-39,40103.92,28705.78,11398.14
male,38,35-39,70902.15,25087.66,45814.49
Male,42,40-44,57952.91,26052.54,31900.37
Female,36,35-39,38731.7,12225.43,26506.27
male,34,30-34,46857.49,31404.99,15452.5
female,39,35-39,59226.18,30172.06,29054.12
Female,39,35-39,47622.47,36744.58,10877.89
Female,35,35-39,61782.37,34424.78,27357.59
male,48,45-49,46239.31,28597.25,17642.06
Male,50,50-54,49213.35,37302.82,11910.53
male,37,35-39,59501.5,37093.15,22408.35
Male,30,30-34,56033.91,26104.08,29929.83
female,46,45-49,40747.73,31568.85,9178.88
Female,36,35-39,54340.52,42083.97,12256.55
female,43,40-44,51674.48,32612.27,19062.21
Male,50,50-54,40882.67,23422.62,17460.05
Male,50,50-54,36095.23,21020.15,15075.08
female,46,45-49,30686.16,18229.45,12456.71
Male,38,35-39,47055.76,13618.0,33437.76
female,46,45-49,49459.93,26127.36,23332.57
Female,34,30-34,55045.78,28603.49,26442.29
female,54,50-54,58204.79,22189.38,36015.41
Female,49,45-49,45861.41,24526.13,21335.28
female,37,35-39,49169.29,22367.48,26801.81
Male,35,35-39,42412.78,17360.62,25052.16
female,40,40-44,50872.38,28641.01,22231.37
Male,48,45-49,59685.09,35349.53,24335.56
female,33,30-34,51011.43,25920.21,25091.22
female,47,45-49,61633.25,39088.81,22544.44
male,30,30-34,59517.82,31225.06,28292.76
Male,42,40-44,64576.98,37144.08,27432.9
male,43,40-44,51292.32,30253.56,21038.76
Male,53,50-54,44675.7,35369.46,9306.24
male,30,30-34,56212.34,18712.59,37499.75
Female,40,40-44,46270.97,36739.68,9531.29
female,46,45-49,55898.52,30052.02,25846.5
Male,33,30-34,43371.97,38783.41,4588.56
Male,41,40-44,41715.94,27982.02,13733.92
female,39,35-39,62164.46,43933.57,18230.89
Male,35,35-39,39874.26,34269.68,5604.58
Male,54,50-54,60222.48,22757.88,37464.6
male,30,30-34,55860.31,39025.0,16835.31
Male,36,35-39,50942.98,21537.21,29405.77
Female,50,50-54,31073.55,21089.82,9983.73
Female,45,45-49,64856.59,40310.13,24546.46
female,53,50-54,40651.6,32683.62,7967.98
Male,43,40-44,59531.54,30579.14,28952.4
female,52,50-54,43090.59,25968.42,17122.17
Female,49,45-49,42288.37,36653.6,5634.77
Male,49,45-49,56686.16,27826.03,28860.13
Male,35,35-39,55384.65,31613.1,23771.55
female,51,50-54,38549.02,20982.06,17566.96
Female,54,50-54,64367.59,29538.63,34828.96
Male,34,30-34,47939.54,31402.02,16537.52
female,53,50-54,50689.29,34274.51,16414.78
Female,50,50-54,47029.22,32702.25,14326.97
female,47,45-49,38972.36,27331.65,11640.71
male,44,40-44,57352.24,32277.79,25074.45
Male,35,35-39,52895.51,37845.7,15049.81
male,54,50-54,41949.15,18127.22,23821.93
Female,48,45-49,59441.33,28676.19,30765.14
male,30,30-34,50548.37,31669.78,18878.59
male,30,30-34,50763.77,22621.89,28141.88
Female,42,40-44,67765.19,37437.73,30327.46
female,32,30-34,33920.0,34796.01,-876.01
male,39,35-39,33787.96,37984.97,-4197.01
female,50,50-54,36039.95,47277.55,-11237.6
male,32,30-34,53636.33,32641.11,20995.22
female,38,35-39,46409.56,27734.64,18674.92
Female,37,35-39,47204.54,37508.6,9695.94
male,32,30-34,40575.84,25296.29,15279.55
Female,54,50-54,66652.51,33712.97,32939.54
male,42,40-44,70010.18,38294.63,31715.55
Female,35,35-39,58989.05,36657.53,22331.52
Female,42,40-44,34927.14,41258.76,-6331.62
male,52,50-54,45131.03,27814.28,17316.75
male,49,45-49,58274.61,35672.45,22602.16
male,49,45-49,49541.71,30742.46,18799.25
Male,41,40-44,59022.2,32025.92,26996.28
female,42,40-44,62478.15,32026.31,30451.84
Male,31,30-34,69071.96,34311.28,34760.68
Male,50,50-54,43451.35,29732.61,13718.74
Female,53,50-54,50812.85,18636.47,32176.38
male,52,50-54,45592.37,31233.72,14358.65
female,45,45-49,29992.18,32894.09,-2901.91
Female,52,50-54,57015.88,29665.07,27350.81
Male,35,35-39,55634.42,33483.87,22150.55
male,48,45-49,44531.74,29012.16,15519.58
Female,50,50-54,34019.45,27830.86,6188.59
male,42,40-44,46158.77,41128.7,5030.07
Female,46,45-49,57311.27,48056.32,9254.95
male,52,50-54,63373.33,37036.89,26336.44
Male,38,35-39,42874.21,25403.47,17470.74
female,46,45-49,61076.96,31800.02,29276.94
Male,31,30-34,56224.71,31200.4,25024.31
female,48,45-49,54132.34,35365.77,946965.7892221127
male,48,45-49,37064.48,31505.26,5559.22
Female,53,50-54,37499.05,34920.37,2578.68
Male,36,35-39,41692.14,44307.09,-2614.95
female,51,50-54,46736.12,15253.29,31482.83
Male,39,35-39,68007.46,25949.84,42057.62
female,39,35-39,43377.65,37675.32,5702.33
Male,49,45-49,57712.51,29646.31,28066.2
female,38,35-39,45352.37,34742.17,10610.2
female,46,45-49,54727.07,28481.59,26245.48
male,44,40-44,49370.19,42481.35,6888.84
female,31,30-34,51770.23,39290.2,12480.03
male,33,30-34,53696.15,32389.55,21306.6
female,48,45-49,47505.43,43393.72,4111.71
Female,46,45-49,53744.64,32477.32,21267.32
Female,34,30-34,62339.16,30529.89,31809.27
Female,36,35-39,42458.85,41761.32,697.53
female,47,45-49,61858.66,18806.32,43052.34
male,50,50-54,47347.97,31342.78,16005.19
male,51,50-54,46290.08,32825.28,13464.8
female,36,35-39,56995.59,28219.05,28776.54
Female,46,45-49,46588.41,24035.88,22552.53
Female,36,35-39,53191.69,29424.78,23766.91
male,33,30-34,52257.48,17917.46,34340.02
Female,37,35-39,29165.13,42427.3,-13262.17
Male,42,40-44,54175.85,42827.31,11348.54
male,33,30-34,35588.98,30586.49,5002.49
Female,35,35-39,36351.18,27512.22,8838.96
male,54,50-54,53664.64,18183.52,35481.12
Male,34,30-34,55365.9,24769.74,30596.16
male,41,40-44,62050.49,41863.16,20187.33
male,33,30-34,39106.32,30064.94,9041.38
male,53,50-54,42587.21,25889.8,16697.41
male,38,35-39,54643.66,30372.09,24271.57
Male,33,30-34,62242.77,25684.87,36557.9
female,48,45-49,51921.75,17387.67,34534.08
male,53,50-54,41220.01,27548.49,13671.52
male,43,40-44,65064.17,21639.4,43424.77
Female,34,30-34,47376.33,33424.07,13952.26
male,47,45-49,47687.99,37426.19,10261.8
Female,39,35-39,35641.53,24303.39,11338.14
female,54,50-54,57240.88,31557.31,25683.57
Male,48,45-49,58526.06,29875.12,28650.94
Male,41,40-44,42941.69,24104.09,18837.6
