Id,OS,Spendings,Subscribed
id00175,iOS,11899,0
id00176,iOS,11342,0
id00177,Android,4087,0
id00178,Android,2860,1
id00179,Android,1163,1
id00180,Other,5208,0
id00181,iOS,13504,1
id00182,iOS,9985,1
id00183,Other,7926,0
id00184,Other,919,1
id00185,Other,1183,0
id00186,Other,3276,1
id00187,Other,3626,1
id00188,Android,3716,1
id00189,Android,1437,1
id00190,Android,6103,1
id00191,Other,4651,0
id00192,Other,3339,0
id00193,Android,1610,1
id00194,iOS,7137,0
id00195,iOS,10212,0
id00196,iOS,6784,0
id00197,Other,3911,0
id00198,iOS,8054,0
id00199,Other,3421,0
id00200,Android,2527,0
id00201,Android,2220,0
id00202,iOS,12396,0
id00203,Android,1505,0
id00204,iOS,9018,1
id00205,Other,6578,0
id00206,Android,1093,1
id00207,iOS,11757,1
id00208,Android,2724,1
id00209,Android,1717,0
id00210,Other,1399,0
id00211,Android,5135,0
id00212,iOS,7112,0
id00213,Other,2029,0
id00214,Android,5096,1
id00215,Other,5563,0
id00216,Other,5876,0
id00217,Other,1218,1
id00218,iOS,10671,0
id00219,Android,563,1
id00220,iOS,10428,0
id00221,Other,3295,1
id00222,Other,5685,0
id00223,Other,512,1
id00224,Android,664,0
id00225,Android,271,1
id00226,Android,2738,0
id00227,Android,2917,1
id00228,Other,3089,1
id00229,Android,3851,0
id00230,iOS,10759,0
id00231,iOS,10829,0
id00232,Android,3574,1
id00233,Other,4313,1
id00234,Android,166,1
id00235,iOS,16315,0
id00236,iOS,8226,1
id00237,iOS,6870,0
id00238,Android,3352,1
id00239,Android,6970,1
id00240,Android,5945,0
id00241,iOS,11273,0
id00242,Android,0,0
id00243,Other,2805,1
id00244,Android,4591,1
id00245,iOS,15985,0
id00246,Other,3986,1
id00247,iOS,11147,0
id00248,iOS,9047,1
id00249,iOS,7797,1
id00250,Other,1628,0
id00251,Other,3905,0
id00252,Other,2909,0
id00253,Android,4345,1
id00254,Android,4541,0
id00255,Other,3499,1
id00256,iOS,10193,0
id00257,iOS,9621,0
id00258,iOS,10089,1
id00259,iOS,7267,0
id00260,iOS,10991,0
id00261,iOS,10590,0
id00262,iOS,9726,0
id00263,iOS,7664,0
id00264,Android,2618,1
id00265,Android,4941,1
id00266,iOS,9575,1
id00267,Android,3306,1
id00268,Android,2246,1
id00269,Android,752,1
id00270,Android,0,1
id00271,iOS,10004,0
id00272,Android,647,1
id00273,iOS,10820,0
id00274,Other,2805,0
id00275,Android,3131,1
id00276,Other,2440,1
id00277,Android,1495,1
id00278,Android,0,0
id00279,Android,561,1
id00280,iOS,11514,0
id00281,iOS,13371,0
id00282,Android,704,1
id00283,Android,5365,1
id00284,Android,2869,0
id00285,Other,1402,0
id00286,iOS,13325,0
id00287,iOS,10740,0
id00288,iOS,12447,1
id00289,iOS,7011,1
id00290,Other,3737,0
id00291,iOS,10453,0
id00292,iOS,8228,1
id00293,iOS,12212,0
id00294,Other,947,0
id00295,Other,6407,0
id00296,Android,871,0
id00297,Android,3821,1
id00298,Android,1307,0
id00299,Android,0,1
id00300,Other,1190,0
id00301,Android,0,1
id00302,iOS,10924,0
id00303,Android,2954,1
id00304,Android,2648,1
id00305,Other,1545,0
id00306,Other,6523,1
id00307,Other,4475,0
id00308,Android,1984,1
id00309,Other,0,0
id00310,iOS,13695,1
id00311,Android,2853,1
id00312,iOS,6260,0
id00313,Android,1259,1
id00314,Other,3844,0
id00315,iOS,9006,0
id00316,iOS,7267,0
id00317,iOS,12265,1
id00318,Other,4775,1
id00319,Android,0,1
id00320,iOS,10380,0
id00321,Android,2761,0
id00322,Android,0,1
id00323,Other,2642,0
id00324,iOS,10265,0
id00325,Other,2227,0
id00326,Android,3137,0
id00327,Android,2653,1
id00328,Android,876,1
id00329,Android,3788,1
id00330,iOS,13948,1
id00331,Other,2160,0
id00332,Android,202,1
id00333,Other,4354,0
id00334,Android,0,1
id00335,iOS,6515,1
id00336,Other,72,0
id00337,Android,4733,0
id00338,iOS,13662,0
id00339,iOS,8198,0
id00340,Android,3390,1
id00341,iOS,13563,1
id00342,iOS,9150,0
id00343,Other,1385,0
id00344,Android,2087,1
id00345,Android,0,1
id00346,Android,341,0
id00347,Android,2440,1
id00348,Android,0,0
id00349,Android,3411,0
id00350,Android,1627,1
id00351,Other,3358,0
id00352,iOS,9423,0
id00353,Android,3314,1
id00354,Android,1314,0
id00355,Android,0,1
id00356,Android,4391,0
id00357,Other,3513,1
id00358,Other,4126,0
id00359,iOS,12590,0
id00360,Android,0,1
id00361,Android,1896,1
id00362,iOS,9396,0
id00363,Android,3995,0
id00364,Android,4194,1
id00365,iOS,7947,0
id00366,Android,0,1
id00367,Android,1756,0
id00368,Android,2230,1
id00369,Android,5731,0
id00370,Other,2342,1
id00371,Other,3504,0
id00372,Other,2906,1
id00373,iOS,8697,0
id00374,Android,3297,1
id00375,iOS,9746,1
id00376,Other,3345,0
id00377,Other,207,0
id00378,iOS,9937,0
id00379,iOS,8741,0
id00380,Android,0,0
id00381,Android,5613,1
id00382,Android,2912,1
id00383,Other,3285,1
id00384,Other,740,0
id00385,Android,357,1
id00386,Other,5801,1
id00387,Android,438,1
id00388,Android,2201,0
id00389,iOS,10664,0
id00390,iOS,7983,1
id00391,iOS,10292,0
id00392,iOS,7737,0
id00393,Other,3043,0
id00394,Android,2340,1
id00395,Android,2282,1
id00396,iOS,8473,0
id00397,iOS,12867,0
id00398,iOS,12014,0
id00399,Android,2387,1
id00400,Other,5749,1
id00401,Android,0,0
id00402,Other,4180,0
id00403,Other,1006,0
id00404,Android,3950,1
id00405,Other,5012,0
id00406,Android,2113,1
id00407,iOS,12323,0
id00408,Other,0,0
id00409,iOS,11161,0
id00410,Android,1924,1
id00411,iOS,6695,0
id00412,iOS,8553,0
id00413,Android,1325,1
id00414,Android,739,1
id00415,Other,722,1
id00416,iOS,10664,0
id00417,Android,3225,1
id00418,Other,3166,0
id00419,Other,4440,0
id00420,Android,4304,0
id00421,iOS,8110,0
id00422,Other,4173,0
id00423,iOS,6361,1
id00424,Android,2288,1
id00425,Other,1997,1
id00426,Other,5551,0
id00427,Other,881,1
id00428,iOS,8726,0
id00429,Android,3918,1
id00430,iOS,9716,0
id00431,iOS,7021,0
id00432,iOS,9358,0
id00433,Android,83,0
id00434,Other,2782,1
id00435,Other,4235,0
id00436,Other,3974,1
id00437,Other,4669,0
id00438,Android,1184,1
id00439,Android,2409,1
id00440,iOS,13074,0
id00441,iOS,7873,0
id00442,Other,2255,0
id00443,Android,2770,1
id00444,Other,1655,1
id00445,iOS,6985,0
id00446,Other,5282,0
id00447,Android,5924,0
id00448,Android,1700,1
id00449,iOS,7409,0
id00450,Android,0,1
id00451,Other,3979,0
id00452,Other,3890,0
id00453,Android,0,0
id00454,Other,2211,0
id00455,iOS,10545,0
id00456,Android,380,1
id00457,Android,3580,1
id00458,iOS,7858,0
id00459,Android,0,1
id00460,Other,1966,0
id00461,iOS,12426,0
id00462,Android,1234,1
id00463,iOS,9963,0
id00464,Android,2811,1
id00465,iOS,10262,0
id00466,Other,5870,0
id00467,Android,820,1
id00468,iOS,9102,0
id00469,Android,956,1
id00470,Android,3292,1
id00471,Other,3907,0
id00472,Android,2928,1
id00473,Android,1896,1
id00474,iOS,8212,0
id00475,Android,5330,1
id00476,iOS,8498,0
id00477,Android,3292,1
id00478,iOS,12065,0
id00479,Android,0,0
id00480,Other,5328,0
id00481,iOS,9377,0
id00482,Android,4326,1
id00483,Android,1960,1
id00484,Android,1719,1
id00485,Android,4900,0
id00486,Android,0,1
id00487,Android,796,1
id00488,Other,5439,0
id00489,iOS,10870,0
id00490,iOS,9811,0
id00491,iOS,12485,0
id00492,Other,4645,1
id00493,iOS,9496,0
id00494,Other,1455,0
id00495,Other,4495,1
id00496,Android,2068,0
id00497,Android,461,1
id00498,Android,1254,1
id00499,iOS,11804,0
id00500,iOS,9459,0
id00501,Android,1564,1
id00502,Other,6095,0
id00503,Other,5481,0
id00504,Other,6824,0
id00505,Android,3748,1
id00506,Android,776,1
id00507,Android,0,1
id00508,Android,3866,1
id00509,Android,503,1
id00510,iOS,10812,0
id00511,iOS,9894,0
id00512,Android,1130,1
id00513,Other,0,0
id00514,Other,4562,1
id00515,Android,4334,1
id00516,iOS,11709,0
id00517,iOS,13200,0
id00518,iOS,11002,0
id00519,Android,3213,0
id00520,Other,4589,1
id00521,iOS,11021,0
id00522,Other,2550,1
id00523,iOS,9049,0
id00524,Other,1594,0
id00525,Android,2357,0
id00526,Other,5444,0
id00527,Other,3267,0
id00528,Other,3401,1
id00529,Android,2330,1
id00530,iOS,8942,1
id00531,Android,2035,1
id00532,Android,2613,0
id00533,Android,0,0
id00534,Other,6734,1
id00535,iOS,10724,0
id00536,Other,4862,1
id00537,Other,4609,0
id00538,Android,2400,1
id00539,iOS,5893,0
id00540,Android,5986,0
id00541,iOS,6590,1
id00542,iOS,9873,1
id00543,iOS,12515,0
id00544,iOS,9624,0
id00545,iOS,10867,0
id00546,Other,1878,0
id00547,iOS,9625,0
id00548,iOS,10360,1
id00549,Android,2435,1
id00550,Android,0,1
id00551,Other,5782,0
id00552,Android,3244,1
id00553,iOS,13085,0
id00554,Android,3712,0
id00555,Other,3605,0
id00556,iOS,12503,0
id00557,Android,3655,0
id00558,Android,2501,0
id00559,Other,1505,0
id00560,Android,2446,1
id00561,iOS,14198,1
id00562,Android,4790,1
id00563,Android,1582,0
id00564,Android,2482,1
id00565,iOS,7306,0
id00566,Other,6092,0
id00567,iOS,10694,0
id00568,Android,4252,1
id00569,Other,4042,1
id00570,iOS,11327,0
id00571,Android,2496,0
id00572,Android,1372,1
id00573,Android,2613,1
id00574,iOS,10185,0
id00575,Other,3094,0
id00576,iOS,11271,0
id00577,Android,2317,1
id00578,Android,0,1
id00579,iOS,12760,0
id00580,Android,3593,1
id00581,Android,5701,1
id00582,iOS,7604,0
id00583,Android,3232,0
id00584,Android,4698,1
id00585,Other,4102,0
id00586,Android,2339,1
id00587,Other,3483,0
id00588,iOS,8980,0
id00589,Other,2187,0
id00590,iOS,10585,0
id00591,iOS,9089,0
id00592,Android,2815,1
id00593,Other,5298,0
id00594,Other,5637,1
id00595,iOS,14016,1
id00596,Android,1199,1
id00597,iOS,14508,1
id00598,iOS,10382,1
id00599,Android,4685,1
id00600,Other,2709,0
id00601,iOS,9353,1
id00602,Other,4269,1
id00603,iOS,11174,0
id00604,Other,0,1
id00605,iOS,12504,0
id00606,Other,0,0
id00607,iOS,11237,0
id00608,iOS,12955,0
id00609,Other,883,1
id00610,Android,0,1
id00611,iOS,13871,0
id00612,Other,727,0
id00613,Other,4763,1
id00614,Other,7327,0
id00615,Other,2370,1
id00616,Android,0,0
id00617,iOS,9878,0
id00618,Android,1640,1
id00619,Other,4250,0
id00620,Android,4113,1
id00621,iOS,9652,0
id00622,Android,2865,0
id00623,iOS,11234,0
id00624,Android,0,1
id00625,iOS,6970,0
id00626,iOS,9590,0
id00627,Android,3426,1
id00628,iOS,9360,1
id00629,iOS,13790,0
id00630,Android,4033,1
id00631,Android,3199,0
id00632,Android,1295,1
id00633,Android,4252,0
id00634,iOS,10779,0
id00635,Other,2261,1
id00636,Android,5203,1
id00637,iOS,7035,1
id00638,Android,3527,1
id00639,iOS,7928,0
id00640,Other,748,0
id00641,Android,2193,1
id00642,Other,3080,0
id00643,Android,4077,1
id00644,Android,913,0
id00645,Android,0,1
id00646,iOS,9710,0
id00647,Android,2934,0
id00648,Other,965,0
id00649,Android,0,1
id00650,Android,3738,0
id00651,Other,4074,1
id00652,Android,470,1
id00653,Other,43,0
id00654,Other,6723,0
id00655,iOS,12114,0
id00656,iOS,7509,0
id00657,iOS,12562,1
id00658,iOS,11566,0
id00659,Other,5182,0
id00660,iOS,9985,0
id00661,Other,5194,1
id00662,Other,0,0
id00663,Android,0,0
id00664,iOS,10229,0
id00665,Android,0,0
id00666,Other,2763,1
id00667,Android,1514,0
id00668,Other,4171,1
id00669,Other,3069,0
id00670,Android,2283,0
id00671,iOS,11293,0
id00672,Android,0,1
id00673,iOS,12055,1
id00674,iOS,10385,0
id00675,Other,2425,1
id00676,iOS,9737,0
id00677,Android,1417,1
id00678,iOS,11073,1
id00679,Android,1585,0
id00680,Other,6219,1
id00681,iOS,12241,0
id00682,iOS,10470,0
id00683,iOS,7514,0
id00684,Other,3035,0
id00685,Android,155,1
id00686,Other,1934,0
id00687,Android,2818,0
id00688,Android,5207,1
id00689,Other,4865,1
id00690,Android,0,1
id00691,iOS,10039,0
id00692,Android,872,1
id00693,Android,3119,1
id00694,Other,1580,0
id00695,Android,1730,1
id00696,Other,1123,0
id00697,Other,2574,0
id00698,Android,801,1
id00699,Other,4041,1
id00700,Android,3149,0
id00701,Other,1683,1
id00702,Other,169,1
id00703,Android,1492,1
id00704,iOS,9096,0
id00705,iOS,11289,0
id00706,Android,3886,1
id00707,iOS,11645,0
id00708,iOS,12037,0
id00709,iOS,11167,0
id00710,Android,404,1
id00711,Android,686,1
id00712,Android,0,0
id00713,iOS,6948,0
id00714,Other,3444,1
id00715,Other,0,1
id00716,Android,2789,0
id00717,Android,2054,1
id00718,Android,756,1
id00719,Other,3225,0
id00720,iOS,9376,0
id00721,Android,3044,1
id00722,iOS,11137,0
id00723,Other,1887,0
id00724,Other,0,1
id00725,Android,1777,1
id00726,Android,3676,1
id00727,iOS,9396,0
id00728,Other,6181,1
id00729,iOS,6059,1
id00730,iOS,15145,0
id00731,Android,3147,0
id00732,iOS,8806,0
id00733,Other,1881,0
id00734,Android,922,1
id00735,iOS,8240,0
id00736,Android,1233,0
id00737,iOS,9975,0
id00738,Other,0,0
id00739,iOS,8028,0
id00740,Android,1758,1
id00741,iOS,7324,0
id00742,iOS,12275,1
id00743,Android,21,1
id00744,iOS,9772,0
id00745,iOS,10389,0
id00746,Other,1686,1
id00747,Android,2734,1
id00748,Other,3086,1
id00749,Android,5771,1
id00750,iOS,7157,0
id00751,iOS,13436,0
id00752,Other,0,1
id00753,iOS,9991,0
id00754,Android,2892,0
id00755,iOS,8467,1
id00756,Other,5727,0
id00757,Other,2986,1
id00758,Android,1830,1
id00759,Other,3013,1
id00760,Other,2615,1
id00761,Other,0,1
id00762,iOS,12474,1
id00763,Android,994,1
id00764,Other,2836,0
id00765,Other,1898,1
id00766,Other,4250,0
id00767,iOS,7745,0
id00768,Android,5116,0
id00769,iOS,8852,1
id00770,Other,2700,0
id00771,Other,0,0
id00772,iOS,9842,0
id00773,Android,163,1
id00774,Other,298,1
id00775,Android,4123,1
id00776,Other,0,0
id00777,Other,1500,0
id00778,iOS,10614,0
id00779,iOS,7927,0
id00780,Android,316,1
id00781,Android,228,1
id00782,Other,2106,1
id00783,iOS,9848,0
id00784,Other,5181,0
id00785,Other,1516,0
id00786,Android,4732,1
id00787,iOS,11690,0
id00788,Other,2511,1
id00789,iOS,11270,0
id00790,Android,0,0
id00791,Other,2013,0
id00792,Android,3651,1
id00793,Android,2346,0
id00794,iOS,10300,1
id00795,Android,5092,1
id00796,Other,5017,1
id00797,Other,357,1
id00798,iOS,11831,0
id00799,Other,1082,0
id00800,Other,6602,0
id00801,iOS,8323,0
id00802,Other,3249,1
id00803,Android,1222,1
id00804,iOS,10192,0
id00805,iOS,12241,0
id00806,iOS,11570,0
id00807,Other,6992,0
id00808,iOS,8368,0
id00809,Android,3844,1
id00810,iOS,10673,0
id00811,Android,1317,1
id00812,Other,5764,1
id00813,Other,2308,0
id00814,iOS,10862,1
id00815,Other,0,0
id00816,Android,1772,0
id00817,Android,2030,0
id00818,Android,2490,0
id00819,Other,4390,0
id00820,Android,1915,0
id00821,iOS,9139,0
id00822,iOS,4956,0
id00823,iOS,10065,0
id00824,iOS,7335,0
id00825,Android,1667,0
id00826,Android,2706,1
id00827,Android,806,1
id00828,Other,3112,0
id00829,Android,4541,0
id00830,iOS,13252,0
id00831,iOS,10292,0
id00832,iOS,6950,1
id00833,Other,3424,0
id00834,Android,458,1
id00835,Android,2977,1
id00836,Other,639,0
id00837,Android,4876,1
id00838,Android,3739,1
id00839,Other,0,1
id00840,iOS,11743,0
id00841,iOS,7920,0
id00842,Android,3807,1
id00843,iOS,10837,0
id00844,Other,4023,1
id00845,Android,1700,1
id00846,iOS,8862,0
id00847,Android,1837,1
id00848,Other,507,0
id00849,iOS,12061,0
id00850,Other,4388,0
id00851,iOS,6590,1
id00852,Other,2123,0
id00853,Other,2283,0
id00854,iOS,8425,0
id00855,Android,829,1
id00856,iOS,11133,0
id00857,iOS,9494,0
id00858,Android,4968,0
id00859,Android,2463,1
id00860,iOS,7991,0
id00861,Other,2688,1
id00862,Android,0,0
id00863,iOS,9374,0
id00864,iOS,8458,0
id00865,Other,3623,0
id00866,Other,2058,0
id00867,iOS,10856,0
id00868,iOS,11317,0
id00869,Other,5481,0
id00870,Other,1691,0
id00871,iOS,7294,1
id00872,iOS,9791,0
id00873,Other,1568,0
id00874,iOS,10677,0
id00875,Android,2881,1
id00876,Android,2067,0
id00877,iOS,9795,0
id00878,Other,3526,1
id00879,Other,3427,0
id00880,Other,3226,0
id00881,iOS,12246,0
id00882,Android,3087,1
id00883,Android,5060,1
id00884,Other,0,0
id00885,Other,1301,1
id00886,iOS,9687,0
id00887,Android,5250,1
id00888,iOS,10286,0
id00889,Other,2398,0
id00890,Other,4933,1
id00891,iOS,9231,0
id00892,iOS,8031,0
id00893,Android,2144,0
id00894,Android,463,1
id00895,Android,3557,0
id00896,iOS,6333,0
id00897,iOS,8607,0
id00898,Android,1493,1
id00899,Other,3523,0
id00900,iOS,9809,0
id00901,Android,2694,1
id00902,Android,2154,1
id00903,Other,5206,1
id00904,iOS,9219,1
id00905,iOS,8630,0
id00906,Other,4868,0
id00907,Android,900,1
id00908,iOS,12756,0
id00909,Android,2245,0
id00910,Other,3402,0
id00911,iOS,4982,0
id00912,iOS,9935,1
id00913,iOS,6220,0
id00914,Android,0,0
id00915,Other,3028,1
id00916,Other,5363,0
id00917,Android,2421,1
id00918,iOS,12213,0
id00919,Android,322,0
id00920,Android,2730,1
id00921,Android,1281,0
id00922,iOS,8199,0
id00923,Android,3618,0
id00924,Other,3755,0
id00925,Android,0,1
id00926,Other,3201,0
id00927,Android,1884,1
id00928,Android,721,0
id00929,iOS,9865,0
id00930,Android,4650,1
id00931,Other,236,1
id00932,Android,893,0
id00933,iOS,9097,0
id00934,Other,2366,0
id00935,Android,561,1
id00936,Other,1339,0
id00937,iOS,10765,1
id00938,Android,100,1
id00939,Other,4185,0
id00940,Android,1514,1
id00941,Other,3772,0
id00942,Android,283,0
id00943,Android,2478,1
id00944,Other,4011,1
id00945,Other,0,0
id00946,iOS,13082,0
id00947,Android,0,0
id00948,Android,2332,1
id00949,Other,7184,0
id00950,iOS,12382,0
id00951,iOS,9267,0
id00952,iOS,10441,0
id00953,iOS,9869,0
id00954,Other,0,0
id00955,iOS,8869,1
id00956,iOS,11277,0
id00957,Android,952,1
id00958,Other,4719,0
id00959,Android,5834,1
id00960,Android,530,1
id00961,Android,2369,0
id00962,iOS,8436,1
id00963,Android,3416,0
id00964,Android,4813,1
id00965,iOS,11906,0
id00966,iOS,9719,0
id00967,Other,3817,0
id00968,iOS,7971,0
id00969,iOS,12578,0
id00970,iOS,9976,0
id00971,iOS,10142,0
id00972,Other,2984,1
id00973,iOS,9772,0
id00974,iOS,9337,0
id00975,Android,4719,1
id00976,Other,1849,1
id00977,Android,5337,1
id00978,Android,2310,0
id00979,Other,2903,0
id00980,Android,0,0
id00981,Android,1822,0
id00982,Android,0,1
id00983,Other,2595,0
id00984,Android,510,1
id00985,Android,826,1
id00986,Android,1141,1
id00987,Other,3985,0
id00988,Other,1662,0
id00989,Other,3844,0
id00990,Other,1436,0
id00991,Android,1060,1
id00992,Android,0,1
id00993,Android,0,1
id00994,Android,1028,1
id00995,Android,0,1
id00996,iOS,12313,0
id00997,iOS,8934,0
id00998,Android,0,1
id00999,iOS,10866,0
id01000,Other,4202,1
id01001,Other,2635,1
id01002,Android,2286,1
id01003,Other,1463,0
id01004,Android,2246,1
id01005,Other,2636,0
id01006,Other,1503,0
id01007,Android,5117,0
id01008,Android,606,1
id01009,Android,2736,1
id01010,Other,3319,0
id01011,Other,3603,0
id01012,Android,5080,1
id01013,iOS,10155,0
id01014,Other,4816,0
id01015,Other,6717,0
id01016,iOS,6588,1
id01017,Other,2320,0
id01018,Android,4752,1
id01019,Other,5214,0
id01020,iOS,8687,0
id01021,Android,5659,1
id01022,iOS,11229,0
id01023,Android,3435,1
id01024,Other,3512,0
id01025,Other,5833,1
id01026,Android,0,1
id01027,iOS,8624,0
id01028,Android,4602,1
id01029,iOS,7865,0
id01030,Other,3716,0
id01031,Other,1831,0
id01032,iOS,10661,0
id01033,Other,0,0
id01034,iOS,11609,0
id01035,Other,1461,0
id01036,Other,4431,1
id01037,Android,0,1
id01038,Android,1746,1
id01039,iOS,7326,0
id01040,Android,5880,1
id01041,Other,3587,1
id01042,Android,392,1
id01043,Android,3121,0
id01044,iOS,9435,0
id01045,iOS,8989,1
id01046,Android,4670,1
id01047,iOS,10308,0
id01048,Other,748,1
id01049,Android,2339,1
id01050,Other,4990,0
id01051,Other,2965,1
id01052,Android,3650,1
id01053,Other,529,0
id01054,iOS,8468,0
id01055,Android,0,1
id01056,iOS,8219,0
id01057,iOS,9294,0
id01058,iOS,7767,0
id01059,Android,5108,1
id01060,Android,1453,1
id01061,Other,6067,0
id01062,Android,2489,0
id01063,Android,4660,1
id01064,Other,376,0
id01065,iOS,6790,0
id01066,iOS,8986,1
id01067,iOS,10233,0
id01068,Android,3373,1
id01069,Other,7680,1
id01070,Android,1250,1
id01071,Android,2599,0
id01072,Android,1970,1
id01073,Android,5469,1
id01074,Android,0,1
id01075,Android,1521,1
id01076,Android,1792,1
id01077,Android,0,0
id01078,Android,1155,0
id01079,Other,1767,0
id01080,Android,0,0
id01081,Android,51,1
id01082,iOS,9443,1
id01083,iOS,9009,1
id01084,Other,1389,0
id01085,iOS,12727,0
id01086,Other,159,0
id01087,iOS,10220,0
id01088,iOS,11895,0
id01089,Android,3918,1
id01090,Other,198,0
id01091,Android,0,1
id01092,iOS,10816,0
id01093,iOS,9191,1
id01094,iOS,6825,0
id01095,iOS,7216,0
id01096,Android,3256,0
id01097,Other,5376,0
id01098,Android,1888,1
id01099,iOS,13366,0
id01100,iOS,8842,0
id01101,iOS,12754,0
id01102,Android,760,1
id01103,Android,4833,0
id01104,Android,2241,0
id01105,Android,5032,0
id01106,iOS,10766,0
id01107,Other,0,1
id01108,iOS,9597,1
id01109,Android,3067,1
id01110,Android,0,0
id01111,Android,4171,1
id01112,Other,6460,1
id01113,Other,2599,0
id01114,Android,2124,0
id01115,Other,1832,1
id01116,Android,2730,0
id01117,Android,1352,0
id01118,Android,568,1
id01119,Android,424,1
id01120,Other,4158,0
id01121,Other,2564,1
id01122,iOS,9395,0
id01123,Android,3279,0
id01124,iOS,14611,0
id01125,Android,0,1
id01126,Android,0,1
id01127,Android,1236,1
id01128,Other,6644,0
id01129,Android,2668,1
id01130,Other,4372,1
id01131,Android,4517,1
id01132,iOS,10748,0
id01133,Other,1309,0
id01134,Other,2702,0
id01135,Android,1338,1
id01136,Android,1390,1
id01137,Other,1744,0
id01138,Other,5256,1
id01139,Other,3240,0
id01140,Other,0,0
id01141,iOS,11582,0
id01142,Android,4178,1
id01143,iOS,8206,1
id01144,Other,2993,0
id01145,Android,997,1
id01146,Android,3064,1
id01147,Other,2452,0
id01148,Other,5917,1
id01149,iOS,11819,0
