Id,Age,Gender,Purchased
id188,<25,Male,No
id189,<25,Male,No
id190,<25,Female,Yes
id191,<25,Female,No
id192,25+,Male,No
id193,<25,Female,No
id194,<25,Male,No
id195,<25,Female,No
id196,<25,Female,Yes
id197,25+,Female,No
id198,<25,Male,No
id199,25+,Male,No
id200,25+,Male,Yes
id201,<25,Male,No
id202,25+,Male,No
id203,25+,Female,No
id204,<25,Female,Yes
id205,<25,Female,No
id206,<25,Male,No
id207,<25,Female,Yes
id208,<25,Male,No
id209,<25,Female,No
id210,<25,Female,No
id211,<25,Female,No
id212,<25,Female,Yes
id213,<25,Female,No
id214,<25,Male,Yes
id215,<25,Male,Yes
id216,25+,Female,Yes
id217,25+,Male,No
id218,<25,Female,No
id219,<25,Female,No
id220,<25,Male,No
id221,25+,Male,No
id222,25+,Female,No
id223,<25,Female,No
id224,25+,Male,No
id225,<25,Male,No
id226,<25,Female,No
id227,<25,Female,Yes
id228,<25,Male,Yes
id229,<25,Female,No
id230,25+,Female,No
id231,<25,Female,Yes
id232,<25,Female,No
id233,25+,Male,No
id234,25+,Female,No
id235,<25,Female,No
id236,<25,Male,No
id237,25+,Male,No
id238,<25,Female,No
id239,25+,Female,No
id240,25+,Male,No
id241,<25,Male,No
id242,<25,Male,Yes
id243,25+,Male,No
id244,<25,Male,No
id245,<25,Female,No
id246,<25,Male,Yes
id247,<25,Male,Yes
id248,25+,Female,No
id249,<25,Female,No
id250,25+,Female,No
id251,<25,Female,No
id252,<25,Male,No
id253,<25,Male,No
id254,<25,Male,No
id255,25+,Male,No
id256,<25,Male,No
id257,25+,Male,No
id258,<25,Male,No
id259,25+,Female,No
id260,<25,Male,No
id261,25+,Male,No
id262,<25,Female,No
id263,<25,Female,No
id264,<25,Male,No
id265,<25,Male,No
id266,<25,Male,No
id267,25+,Female,Yes
id268,<25,Male,No
id269,<25,Male,No
id270,<25,Female,No
id271,<25,Female,No
id272,25+,Male,No
id273,25+,Female,Yes
id274,<25,Female,No
id275,25+,Female,No
id276,<25,Male,No
id277,<25,Female,No
id278,<25,Male,No
id279,25+,Male,Yes
id280,<25,Male,No
id281,<25,Female,No
id282,<25,Male,No
id283,<25,Male,No
id284,<25,Female,No
id285,25+,Female,No
id286,<25,Male,No
id287,25+,Female,No
id288,<25,Male,No
id289,<25,Male,No
id290,<25,Female,No
id291,25+,Male,No
id292,25+,Male,No
id293,<25,Female,No
id294,<25,Female,No
id295,<25,Female,Yes
id296,<25,Male,No
id297,<25,Female,No
id298,<25,Female,No
id299,<25,Female,No
id300,25+,Male,No
id301,<25,Male,No
id302,<25,Male,Yes
id303,<25,Female,No
id304,25+,Male,No
id305,<25,Female,Yes
id306,<25,Female,No
id307,<25,Female,No
id308,<25,Female,No
id309,<25,Male,No
id310,<25,Male,No
id311,<25,Female,No
id312,<25,Male,Yes
id313,<25,Male,No
id314,25+,Male,No
id315,25+,Male,No
id316,<25,Male,No
id317,25+,Male,No
id318,25+,Male,No
id319,25+,Male,No
id320,<25,Male,No
id321,<25,Male,No
id322,25+,Male,No
id323,<25,Female,No
id324,<25,Male,No
id325,25+,Female,No
id326,<25,Female,No
id327,<25,Female,No
id328,25+,Male,Yes
id329,<25,Female,No
id330,25+,Male,No
id331,<25,Male,Yes
id332,<25,Female,No
id333,25+,Male,No
id334,<25,Female,Yes
id335,<25,Female,No
id336,<25,Female,No
id337,<25,Male,No
id338,<25,Male,Yes
id339,25+,Male,Yes
id340,25+,Female,Yes
id341,25+,Female,No
id342,25+,Female,No
id343,<25,Female,No
id344,<25,Female,No
id345,25+,Female,No
id346,<25,Female,No
id347,<25,Female,No
id348,<25,Male,No
id349,<25,Male,No
id350,25+,Female,No
id351,<25,Male,No
id352,<25,Male,Yes
id353,25+,Female,Yes
id354,25+,Male,No
id355,<25,Female,No
id356,<25,Male,No
id357,<25,Male,No
id358,25+,Female,No
id359,<25,Male,Yes
id360,<25,Female,Yes
id361,25+,Male,No
id362,25+,Female,No
id363,<25,Male,No
id364,<25,Female,No
id365,25+,Female,No
id366,<25,Male,No
id367,<25,Female,No
id368,<25,Female,No
id369,<25,Male,No
id370,<25,Male,No
id371,<25,Male,No
id372,<25,Male,No
id373,<25,Male,No
id374,<25,Female,No
id375,<25,Female,Yes
id376,<25,Male,No
id377,25+,Female,No
id378,<25,Male,No
id379,<25,Male,Yes
id380,<25,Female,No
id381,<25,Male,No
id382,<25,Male,No
id383,<25,Male,No
id384,<25,Female,No
id385,<25,Female,Yes
id386,<25,Male,No
id387,<25,Male,No
id388,<25,Female,No
id389,<25,Male,No
id390,25+,Male,Yes
id391,<25,Male,No
id392,<25,Male,No
id393,<25,Male,No
id394,<25,Male,No
id395,25+,Male,No
id396,25+,Male,Yes
id397,<25,Male,No
id398,<25,Male,Yes
id399,<25,Male,No
id400,<25,Male,No
id401,<25,Male,No
id402,25+,Female,No
id403,<25,Female,Yes
id404,<25,Male,No
id405,<25,Female,No
id406,25+,Male,No
id407,25+,Female,No
id408,<25,Male,No
id409,<25,Male,Yes
id410,<25,Female,No
id411,<25,Female,No
id412,<25,Male,No
id413,25+,Female,No
id414,<25,Male,No
id415,25+,Male,No
id416,25+,Female,No
id417,<25,Male,No
id418,<25,Male,Yes
id419,<25,Female,No
id420,<25,Female,No
id421,<25,Female,No
id422,<25,Female,Yes
id423,<25,Male,No
id424,<25,Female,No
id425,<25,Female,No
id426,<25,Male,No
id427,<25,Male,No
id428,<25,Female,Yes
id429,<25,Male,Yes
id430,<25,Female,Yes
id431,25+,Female,No
id432,<25,Male,No
id433,25+,Male,No
id434,<25,Female,Yes
id435,25+,Female,No
id436,<25,Female,No
id437,<25,Male,No
id438,<25,Female,No
id439,<25,Female,No
id440,<25,Male,No
id441,<25,Female,No
id442,<25,Female,Yes
id443,<25,Male,Yes
id444,<25,Female,No
id445,<25,Female,No
id446,<25,Female,No
id447,<25,Male,No
id448,25+,Female,No
id449,<25,Female,No
id450,25+,Male,Yes
id451,<25,Female,No
id452,25+,Male,No
id453,<25,Male,No
id454,<25,Male,Yes
id455,<25,Male,No
id456,<25,Male,No
id457,25+,Male,No
id458,<25,Female,Yes
id459,<25,Female,No
id460,25+,Male,No
id461,<25,Male,Yes
id462,25+,Male,No
id463,<25,Male,No
id464,<25,Female,No
id465,<25,Female,No
id466,25+,Male,No
id467,<25,Male,No
id468,25+,Female,No
id469,<25,Female,No
id470,<25,Female,No
id471,<25,Female,No
id472,<25,Female,Yes
id473,<25,Male,No
id474,25+,Male,No
id475,25+,Female,No
id476,<25,Male,No
id477,25+,Female,No
id478,<25,Female,No
id479,25+,Female,No
id480,<25,Male,No
id481,<25,Female,No
id482,<25,Female,No
id483,25+,Female,No
id484,<25,Male,No
id485,<25,Female,No
id486,<25,Male,Yes
id487,<25,Male,Yes
id488,<25,Female,No
id489,<25,Male,No
id490,<25,Male,No
id491,<25,Female,No
id492,25+,Female,No
id493,<25,Female,Yes
id494,<25,Female,No
id495,<25,Male,No
id496,<25,Female,No
id497,25+,Male,No
id498,<25,Male,No
id499,<25,Male,Yes
id500,<25,Female,No
id501,<25,Male,No
id502,<25,Female,No
id503,<25,Female,Yes
id504,<25,Female,Yes
id505,<25,Female,Yes
id506,<25,Female,Yes
id507,<25,Female,No
id508,25+,Male,No
id509,25+,Male,No
id510,<25,Male,No
id511,25+,Female,No
id512,25+,Female,No
id513,25+,Male,No
id514,<25,Female,No
id515,<25,Female,No
id516,<25,Female,No
id517,<25,Female,No
id518,<25,Female,No
id519,<25,Male,No
id520,<25,Male,No
id521,<25,Female,No
id522,<25,Male,No
id523,<25,Female,No
id524,<25,Male,No
id525,<25,Male,No
id526,<25,Male,No
id527,25+,Female,No
id528,<25,Male,No
id529,<25,Male,No
id530,<25,Male,No
id531,25+,Female,No
id532,25+,Male,No
id533,<25,Female,Yes
id534,<25,Male,No
id535,25+,Male,No
id536,25+,Female,No
id537,<25,Male,No
id538,25+,Female,No
id539,<25,Female,Yes
id540,<25,Male,No
id541,<25,Female,No
id542,<25,Male,Yes
id543,<25,Male,No
id544,25+,Male,No
id545,25+,Male,Yes
id546,<25,Female,Yes
id547,<25,Male,Yes
id548,25+,Male,Yes
id549,<25,Male,No
id550,25+,Male,Yes
id551,25+,Male,No
id552,<25,Female,No
id553,25+,Female,No
id554,<25,Male,No
id555,<25,Female,No
id556,<25,Male,No
id557,<25,Male,No
id558,<25,Female,Yes
id559,<25,Male,No
id560,<25,Female,Yes
id561,<25,Female,No
id562,<25,Male,No
id563,<25,Male,No
id564,<25,Male,No
id565,<25,Female,No
id566,<25,Female,Yes
id567,<25,Male,No
id568,25+,Male,No
id569,<25,Female,No
id570,<25,Male,No
id571,<25,Female,No
id572,<25,Female,No
id573,<25,Female,No
id574,<25,Male,No
id575,<25,Male,No
id576,25+,Female,No
id577,<25,Female,No
id578,<25,Male,No
id579,25+,Male,No
id580,<25,Female,No
id581,<25,Female,No
id582,<25,Female,No
id583,<25,Female,No
id584,<25,Female,No
id585,25+,Female,Yes
id586,<25,Male,No
id587,<25,Male,Yes
id588,<25,Female,No
id589,<25,Male,No
id590,<25,Female,No
id591,<25,Female,No
id592,<25,Female,No
id593,<25,Male,No
id594,25+,Male,No
id595,<25,Male,Yes
id596,<25,Male,No
id597,25+,Male,No
id598,<25,Male,Yes
id599,25+,Male,No
id600,<25,Female,No
id601,<25,Female,Yes
id602,25+,Female,No
id603,<25,Female,Yes
id604,<25,Female,No
id605,25+,Male,No
id606,<25,Female,No
id607,<25,Female,No
id608,<25,Male,No
id609,<25,Male,No
id610,25+,Male,No
id611,<25,Female,No
id612,25+,Male,No
id613,<25,Female,No
id614,<25,Male,No
id615,<25,Female,No
id616,25+,Male,No
id617,<25,Male,No
id618,<25,Male,No
id619,<25,Male,No
id620,<25,Female,No
id621,<25,Male,No
id622,<25,Male,No
id623,<25,Female,Yes
id624,<25,Female,No
id625,<25,Male,No
id626,<25,Male,Yes
id627,25+,Female,No
id628,<25,Male,No
id629,<25,Female,No
id630,<25,Female,No
id631,<25,Female,No
id632,<25,Female,No
id633,<25,Female,No
id634,<25,Male,No
id635,<25,Female,No
id636,<25,Male,No
id637,<25,Male,No
id638,<25,Male,No
id639,<25,Male,Yes
id640,<25,Male,No
id641,<25,Female,No
id642,25+,Male,No
id643,<25,Female,No
id644,<25,Female,No
id645,<25,Male,No
id646,<25,Female,No
id647,25+,Female,No
id648,<25,Female,No
id649,<25,Female,No
id650,<25,Female,No
id651,25+,Female,No
id652,<25,Female,Yes
id653,<25,Male,No
id654,<25,Female,No
id655,<25,Male,No
id656,<25,Male,No
id657,25+,Male,No
id658,<25,Female,No
id659,<25,Male,No
id660,<25,Female,No
id661,<25,Male,No
id662,<25,Male,No
id663,<25,Female,Yes
id664,<25,Female,No
id665,<25,Female,No
id666,<25,Male,No
id667,<25,Male,No
id668,25+,Male,No
id669,25+,Female,No
id670,<25,Male,No
id671,25+,Male,No
id672,<25,Female,No
id673,<25,Male,Yes
id674,<25,Female,No
id675,<25,Female,No
id676,<25,Male,No
id677,25+,Male,No
id678,<25,Female,No
id679,<25,Male,No
id680,<25,Female,No
id681,<25,Female,Yes
id682,<25,Female,Yes
id683,<25,Male,No
id684,<25,Male,No
id685,<25,Female,No
id686,25+,Female,No
id687,<25,Female,No
id688,<25,Female,No
id689,25+,Female,No
id690,<25,Female,No
id691,<25,Female,Yes
id692,<25,Female,Yes
id693,<25,Female,No
id694,25+,Female,Yes
id695,<25,Male,No
id696,<25,Female,No
id697,<25,Male,Yes
id698,<25,Male,No
id699,<25,Male,No
id700,<25,Female,No
id701,<25,Female,No
id702,<25,Female,No
id703,<25,Female,Yes
id704,<25,Male,No
id705,<25,Female,No
id706,<25,Male,No
id707,<25,Male,Yes
id708,<25,Male,No
id709,<25,Male,No
id710,<25,Male,No
id711,<25,Male,No
id712,<25,Male,Yes
id713,<25,Male,No
id714,<25,Male,No
id715,<25,Male,No
id716,25+,Female,Yes
id717,25+,Female,No
id718,<25,Female,No
id719,<25,Female,Yes
id720,<25,Female,No
id721,25+,Female,Yes
id722,<25,Female,No
id723,25+,Female,No
id724,<25,Male,No
id725,<25,Female,No
id726,25+,Male,No
id727,<25,Female,No
id728,25+,Female,No
id729,25+,Female,No
id730,<25,Male,No
id731,<25,Male,No
id732,<25,Female,Yes
id733,<25,Male,No
id734,25+,Female,No
id735,<25,Female,No
id736,<25,Male,No
id737,25+,Male,No
id738,<25,Female,No
id739,<25,Female,No
id740,<25,Male,No
id741,<25,Male,No
id742,<25,Male,No
id743,<25,Male,No
id744,<25,Female,No
id745,25+,Male,No
id746,<25,Female,No
id747,25+,Female,No
id748,<25,Male,Yes
id749,<25,Female,No
id750,<25,Male,No
id751,<25,Male,No
id752,<25,Female,No
id753,<25,Male,Yes
id754,25+,Male,No
id755,<25,Male,No
id756,<25,Male,No
id757,<25,Female,Yes
id758,<25,Female,No
id759,<25,Male,No
id760,<25,Male,No
id761,<25,Male,No
id762,25+,Female,No
id763,<25,Male,No
id764,<25,Male,Yes
id765,<25,Male,No
id766,<25,Female,No
id767,<25,Male,No
id768,25+,Male,No
id769,<25,Male,No
id770,<25,Male,No
id771,<25,Male,Yes
id772,<25,Female,No
id773,25+,Female,Yes
id774,<25,Female,No
id775,<25,Female,No
id776,25+,Male,No
id777,<25,Male,No
id778,<25,Male,No
id779,<25,Male,Yes
id780,<25,Female,No
id781,<25,Male,No
id782,25+,Female,No
id783,<25,Female,Yes
id784,<25,Female,No
id785,<25,Female,No
id786,<25,Male,No
id787,<25,Male,Yes
id788,25+,Female,No
id789,<25,Male,No
id790,25+,Male,Yes
id791,<25,Female,No
id792,25+,Male,No
id793,<25,Female,Yes
id794,<25,Male,No
id795,<25,Male,No
id796,<25,Female,No
id797,<25,Female,No
id798,25+,Male,Yes
id799,<25,Female,Yes
id800,<25,Female,No
id801,<25,Female,No
id802,25+,Female,No
id803,<25,Female,No
id804,25+,Male,No
id805,25+,Male,No
id806,<25,Male,No
id807,<25,Female,No
id808,25+,Male,No
id809,<25,Female,No
id810,<25,Male,No
id811,<25,Male,No
id812,<25,Female,No
id813,<25,Female,Yes
id814,<25,Male,No
id815,<25,Female,No
id816,<25,Female,No
id817,<25,Female,No
id818,<25,Female,No
id819,<25,Male,No
id820,25+,Female,No
id821,<25,Female,No
id822,<25,Male,No
id823,25+,Female,Yes
id824,<25,Female,No
id825,<25,Male,Yes
id826,25+,Female,No
id827,<25,Male,No
id828,<25,Male,No
id829,<25,Female,No
id830,<25,Male,No
id831,<25,Female,No
id832,<25,Male,No
id833,25+,Female,No
id834,<25,Male,No
id835,<25,Male,No
id836,25+,Female,No
id837,<25,Male,No
id838,<25,Male,No
id839,<25,Female,No
id840,<25,Male,No
id841,<25,Female,No
id842,25+,Female,Yes
id843,<25,Female,Yes
id844,25+,Male,No
id845,25+,Male,Yes
id846,<25,Female,No
id847,25+,Female,No
id848,<25,Male,Yes
id849,<25,Female,No
id850,25+,Male,Yes
id851,<25,Female,No
id852,25+,Male,No
id853,<25,Female,No
id854,<25,Female,No
id855,25+,Female,No
id856,<25,Female,No
id857,<25,Male,No
id858,<25,Female,No
id859,<25,Male,No
id860,<25,Female,No
id861,<25,Female,Yes
id862,25+,Male,No
id863,<25,Male,No
id864,<25,Male,No
id865,<25,Female,Yes
id866,<25,Male,Yes
id867,<25,Female,No
id868,<25,Female,No
id869,<25,Male,No
id870,25+,Male,No
id871,<25,Male,No
id872,<25,Female,Yes
id873,<25,Female,No
id874,<25,Female,No
id875,<25,Male,No
id876,<25,Male,No
id877,25+,Female,No
id878,<25,Female,No
id879,25+,Female,No
id880,25+,Male,No
id881,<25,Female,No
id882,<25,Male,No
id883,<25,Male,No
id884,<25,Female,No
id885,25+,Female,No
id886,<25,Female,No
id887,<25,Male,No
id888,<25,Male,Yes
id889,<25,Female,No
id890,<25,Male,Yes
id891,25+,Male,No
id892,<25,Female,Yes
id893,25+,Female,No
id894,<25,Female,No
id895,<25,Female,Yes
id896,25+,Female,No
id897,25+,Female,Yes
id898,<25,Male,No
id899,<25,Male,No
id900,25+,Female,No
id901,<25,Male,No
id902,<25,Female,No
id903,<25,Female,No
id904,<25,Male,No
id905,<25,Male,No
id906,<25,Male,No
id907,<25,Male,No
id908,<25,Male,No
id909,<25,Male,No
id910,<25,Female,No
id911,25+,Female,No
id912,<25,Female,No
id913,25+,Male,No
id914,<25,Male,No
id915,<25,Male,No
id916,<25,Female,Yes
id917,<25,Male,No
id918,25+,Female,No
id919,<25,Female,No
id920,25+,Female,No
id921,<25,Female,No
id922,<25,Female,No
id923,<25,Male,No
id924,<25,Male,No
id925,25+,Male,No
id926,<25,Male,No
id927,<25,Female,No
id928,<25,Female,No
id929,<25,Female,Yes
id930,<25,Male,No
id931,<25,Male,No
id932,<25,Male,No
id933,<25,Male,No
id934,<25,Female,No
id935,<25,Male,No
id936,25+,Male,No
id937,<25,Female,No
id938,<25,Female,No
id939,25+,Male,No
id940,<25,Female,No
id941,25+,Male,No
id942,25+,Male,No
id943,<25,Male,No
id944,<25,Male,Yes
id945,<25,Female,No
id946,25+,Male,Yes
id947,25+,Female,No
id948,<25,Female,No
id949,<25,Female,No
id950,<25,Female,No
id951,<25,Male,No
id952,<25,Female,No
id953,<25,Male,No
id954,25+,Male,No
id955,<25,Female,Yes
id956,25+,Male,No
id957,<25,Female,No
id958,25+,Female,No
id959,<25,Male,Yes
id960,<25,Male,No
id961,<25,Male,No
id962,<25,Female,Yes
id963,<25,Female,No
id964,<25,Male,No
id965,<25,Female,Yes
id966,25+,Female,No
id967,<25,Female,Yes
id968,25+,Female,No
id969,25+,Male,No
id970,<25,Female,Yes
id971,<25,Female,Yes
id972,<25,Male,No
id973,25+,Female,No
id974,<25,Female,Yes
id975,<25,Male,No
id976,<25,Female,No
id977,<25,Male,No
id978,25+,Male,Yes
id979,<25,Female,No
id980,25+,Male,No
id981,<25,Female,No
id982,25+,Female,No
id983,<25,Female,No
id984,<25,Female,No
id985,<25,Male,No
id986,25+,Male,Yes
id987,<25,Female,No
id988,<25,Female,No
id989,<25,Female,Yes
id990,25+,Male,No
id991,<25,Female,No
id992,<25,Male,No
id993,<25,Female,No
id994,<25,Female,No
id995,<25,Female,No
id996,<25,Male,No
id997,<25,Female,No
id998,<25,Female,No
id999,<25,Female,No
id1000,<25,Male,No
id1001,<25,Male,Yes
id1002,<25,Female,No
id1003,25+,Male,No
id1004,<25,Female,No
id1005,<25,Male,No
id1006,<25,Female,No
id1007,25+,Female,No
id1008,25+,Female,No
id1009,<25,Male,No
id1010,<25,Female,No
id1011,<25,Male,No
id1012,<25,Female,Yes
id1013,25+,Male,No
id1014,25+,Male,No
id1015,25+,Female,No
id1016,<25,Male,No
id1017,<25,Female,No
id1018,25+,Female,No
id1019,<25,Female,No
id1020,<25,Female,No
id1021,<25,Male,No
id1022,<25,Female,No
id1023,25+,Female,No
id1024,<25,Male,No
id1025,<25,Male,No
id1026,<25,Male,Yes
id1027,<25,Female,No
id1028,25+,Male,No
id1029,<25,Male,No
id1030,<25,Female,No
id1031,<25,Female,No
id1032,<25,Male,No
id1033,<25,Female,No
id1034,<25,Female,No
id1035,<25,Male,No
id1036,<25,Female,Yes
id1037,<25,Male,No
id1038,<25,Female,Yes
id1039,<25,Female,No
id1040,<25,Male,No
id1041,25+,Male,No
id1042,<25,Female,No
id1043,<25,Male,No
id1044,<25,Male,No
id1045,<25,Male,No
id1046,<25,Male,No
id1047,<25,Female,No
id1048,25+,Male,No
id1049,<25,Male,No
id1050,25+,Male,No
id1051,25+,Female,No
id1052,<25,Female,No
id1053,<25,Male,No
id1054,<25,Male,No
id1055,<25,Male,No
id1056,<25,Male,No
id1057,<25,Male,No
id1058,<25,Female,No
id1059,<25,Female,No
id1060,<25,Male,No
id1061,<25,Female,No
id1062,25+,Male,No
id1063,25+,Male,No
id1064,<25,Female,No
id1065,<25,Female,Yes
id1066,<25,Female,No
id1067,<25,Male,No
id1068,<25,Female,Yes
id1069,<25,Female,No
id1070,25+,Male,No
id1071,<25,Male,No
id1072,25+,Male,No
id1073,<25,Male,Yes
id1074,<25,Male,No
id1075,<25,Female,No
id1076,<25,Male,No
id1077,<25,Male,Yes
id1078,<25,Male,No
id1079,<25,Male,No
id1080,25+,Male,Yes
id1081,<25,Male,No
id1082,25+,Male,Yes
id1083,25+,Female,No
id1084,<25,Male,No
id1085,<25,Male,No
id1086,25+,Male,No
id1087,<25,Female,Yes
id1088,25+,Female,No
id1089,<25,Female,No
id1090,<25,Male,No
id1091,<25,Male,No
id1092,<25,Female,No
id1093,<25,Female,No
id1094,<25,Female,No
id1095,25+,Female,No
id1096,<25,Male,No
id1097,<25,Male,No
id1098,<25,Male,No
id1099,<25,Male,No
id1100,<25,Male,No
id1101,<25,Male,No
id1102,<25,Male,No
id1103,<25,Male,No
id1104,25+,Male,No
id1105,<25,Female,No
id1106,<25,Male,No
id1107,25+,Female,No
id1108,<25,Female,No
id1109,<25,Male,Yes
id1110,25+,Male,Yes
id1111,<25,Male,No
id1112,25+,Female,No
id1113,<25,Male,No
id1114,<25,Male,No
id1115,25+,Female,No
id1116,<25,Female,No
id1117,<25,Female,No
id1118,<25,Female,No
id1119,<25,Female,No
id1120,<25,Male,Yes
id1121,<25,Female,No
id1122,25+,Female,No
id1123,<25,Female,No
id1124,<25,Female,Yes
id1125,<25,Male,No
id1126,<25,Male,No
id1127,<25,Female,No
id1128,<25,Female,No
id1129,<25,Male,No
id1130,<25,Male,No
id1131,25+,Male,No
id1132,<25,Male,No
id1133,<25,Female,Yes
id1134,<25,Female,No
id1135,<25,Male,Yes
id1136,<25,Male,No
id1137,<25,Male,No
id1138,<25,Female,Yes
id1139,<25,Male,Yes
id1140,25+,Male,No
id1141,<25,Female,No
id1142,<25,Male,Yes
id1143,25+,Male,No
id1144,<25,Female,No
id1145,<25,Female,No
id1146,25+,Female,No
id1147,<25,Female,Yes
id1148,<25,Male,Yes
id1149,<25,Female,No
id1150,<25,Female,No
id1151,<25,Male,No
id1152,<25,Female,No
id1153,25+,Male,No
id1154,<25,Female,No
id1155,<25,Male,No
id1156,<25,Female,Yes
id1157,<25,Male,No
id1158,25+,Male,No
id1159,<25,Male,Yes
id1160,<25,Male,No
id1161,<25,Female,No
id1162,<25,Male,No
id1163,<25,Male,No
id1164,<25,Female,No
id1165,25+,Male,No
id1166,<25,Male,No
id1167,<25,Female,No
id1168,<25,Male,No
id1169,<25,Male,No
id1170,<25,Male,No
id1171,<25,Female,No
id1172,25+,Male,No
id1173,<25,Female,No
id1174,<25,Female,No
id1175,<25,Male,Yes
id1176,<25,Male,No
id1177,25+,Male,No
id1178,25+,Male,No
id1179,<25,Male,No
id1180,<25,Male,No
id1181,<25,Male,No
id1182,<25,Female,No
id1183,25+,Female,No
id1184,<25,Female,No
id1185,25+,Male,Yes
id1186,<25,Male,No
id1187,<25,Male,Yes
id1188,<25,Female,No
id1189,25+,Female,No
id1190,<25,Male,No
id1191,<25,Female,No
id1192,25+,Male,No
id1193,<25,Male,No
id1194,<25,Female,No
id1195,25+,Male,No
id1196,25+,Male,No
id1197,25+,Female,No
id1198,<25,Male,No
id1199,<25,Male,Yes
id1200,<25,Female,No
id1201,25+,Male,No
id1202,<25,Male,No
id1203,<25,Female,Yes
id1204,25+,Male,No
id1205,<25,Female,No
id1206,<25,Female,No
id1207,<25,Female,No
id1208,<25,Female,No
id1209,<25,Female,Yes
id1210,<25,Female,No
id1211,<25,Male,No
id1212,25+,Male,No
id1213,<25,Male,No
id1214,<25,Female,No
