Payments,Costs,Profit,Age,Gender,AgeGroup
7750,8100,-350,18,male,18-24
9000,7350,1650,20,male,18-24
38800,16850,21950,18,female,18-24
6300,6200,100,19,male,18-24
45550,20150,25400,21,female,18-24
11950,8050,3900,19,male,18-24
44050,11700,32350,18,female,18-24
33000,15900,17100,19,female,18-24
13150,7450,5700,18,male,18-24
11300,8000,3300,18,male,18-24
12300,8750,3550,18,male,18-24
39000,19900,19100,19,female,18-24
20300,14500,5800,29,male,25-39
9950,8250,1700,18,male,18-24
8450,6700,1750,19,male,18-24
19950,11300,8650,25,male,25-39
8350,7550,800,19,male,18-24
9350,6950,2400,20,male,18-24
36600,14600,22000,19,female,18-24
13000,8900,4100,18,male,18-24
22250,13800,8450,34,male,25-39
11350,8350,3000,18,male,18-24
12200,8200,4000,18,male,18-24
12100,7500,4600,18,male,18-24
21250,13000,8250,26,male,25-39
13550,7400,6150,19,male,18-24
42400,13700,28700,18,female,18-24
10900,7150,3750,20,male,18-24
43700,15600,28100,21,female,18-24
22450,11500,10950,32,Female,25-39
8900,7850,1050,19,male,18-24
46550,14250,32300,18,female,18-24
44650,18000,26650,18,female,18-24
5550,7500,-1950,18,male,18-24
34550,13900,20650,18,female,18-24
55200,19800,35400,19,female,18-24
4900,8350,-3450,18,male,18-24
121200,41400,79800,22,male,18-24
113150,27000,86150,23,male,18-24
107050,45900,61150,21,male,18-24
8700,8250,450,18,male,18-24
9900,9350,550,18,male,18-24
51150,21700,29450,18,female,18-24
20150,12050,8100,37,male,25-39
20500,12850,7650,25,female,25-39
29200,13950,15250,29,male,25-39
15650,10950,4700,25,male,25-39
9650,11200,-1550,18,male,18-24
49150,20900,28250,22,female,18-24
11650,8500,3150,20,male,18-24
33950,17550,16400,18,female,18-24
32100,13950,18150,18,female,18-24
52150,14950,37200,19,female,18-24
12400,8950,3450,18,male,18-24
12100,8250,3850,19,male,18-24
55050,17950,37100,22,female,18-24
29000,16000,13000,19,female,18-24
49250,16800,32450,19,female,18-24
16100,12450,3650,38,male,25-39
21300,11800,9500,26,female,25-39
20250,7200,13050,25,female,25-39
13800,10450,3350,32,Female,25-39
30750,16050,14700,18,female,18-24
18350,16000,2350,29,male,25-39
6800,7400,-600,18,male,18-24
12300,8350,3950,19,male,18-24
25300,10400,14900,35,Female,25-39
55400,14200,41200,22,female,18-24
20200,15650,4550,28,female,25-39
20550,13250,7300,29,FEMALE,25-39
17100,11350,5750,28,male,25-39
53350,24650,28700,22,female,18-24
11800,8450,3350,19,male,18-24
22850,9000,13850,18,female,18-24
20950,11650,9300,32,male,25-39
20200,11950,8250,27,male,25-39
22350,12000,10350,35,Female,25-39
18850,12150,6700,27,male,25-39
34850,14550,20300,18,female,18-24
20850,15900,4950,18,female,18-24
40950,15850,25100,18,female,18-24
41000,20500,20500,18,female,18-24
10450,8400,2050,18,male,18-24
24200,10400,13800,37,Female,25-39
10950,7000,3950,19,male,18-24
11800,7800,4000,18,male,18-24
47050,17450,29600,21,female,18-24
19050,10450,8600,30,FEMALE,25-39
8400,5850,2550,18,male,18-24
16350,8900,7450,26,male,25-39
8600,8650,-50,20,male,18-24
7000,8400,-1400,19,male,18-24
27500,12800,14700,38,Female,25-39
25950,13700,12250,38,Female,25-39
35800,12200,23600,22,female,18-24
52050,17000,35050,19,female,18-24
11300,6150,5150,19,male,18-24
8550,8250,300,19,male,18-24
19950,11100,8850,25,female,25-39
45600,16300,29300,19,female,18-24
41600,22600,19000,22,female,18-24
23250,14000,9250,32,male,25-39
46050,18700,27350,18,female,18-24
19050,13750,5300,35,male,25-39
12350,10600,1750,19,male,18-24
9600,8300,1300,18,male,18-24
40250,15200,25050,19,female,18-24
17200,10900,6300,33,Female,25-39
12000,6750,5250,18,male,18-24
9650,7850,1800,20,male,18-24
25800,14100,11700,36,Female,25-39
10250,9200,1050,18,male,18-24
21900,11550,10350,30,male,25-39
28950,16450,12500,19,female,18-24
10400,6100,4300,18,male,18-24
8500,7500,1000,18,male,18-24
22950,12950,10000,26,female,25-39
42100,14750,27350,19,female,18-24
9450,7150,2300,20,male,18-24
22400,19350,3050,18,female,18-24
63550,23150,40400,21,female,18-24
9900,7100,2800,19,male,18-24
9000,8350,650,18,male,18-24
21050,12500,8550,29,FEMALE,25-39
10450,9200,1250,18,male,18-24
12200,7950,4250,18,male,18-24
9450,9450,0,18,male,18-24
9750,10500,-750,18,male,18-24
45300,17350,27950,19,female,18-24
34150,25450,8700,21,female,18-24
28300,12300,16000,34,Female,25-39
15150,13600,1550,28,male,25-39
6200,8400,-2200,19,male,18-24
12750,8600,4150,25,male,25-39
37750,15150,22600,18,female,18-24
8300,7850,450,18,male,18-24
19000,13200,5800,26,female,25-39
13150,10550,2600,18,male,18-24
8850,8050,800,18,male,18-24
133450,31400,102050,21,male,18-24
118150,36600,81550,21,male,18-24
16500,9950,6550,31,male,25-39
31850,12450,19400,18,female,18-24
47150,16450,30700,19,female,18-24
37700,14250,23450,18,female,18-24
10600,8450,2150,18,male,18-24
8900,5700,3200,20,male,18-24
12850,8650,4200,18,male,18-24
45250,15300,29950,19,female,18-24
26200,11200,15000,27,female,25-39
13750,10500,3250,27,male,25-39
19500,9450,10050,29,FEMALE,25-39
10000,8100,1900,19,male,18-24
46400,27600,18800,24,female,18-24
47800,21950,25850,21,female,18-24
53100,11300,41800,18,female,18-24
111800,40300,71500,21,male,18-24
9700,7000,2700,19,male,18-24
9650,9900,-250,42,male,40+
8100,8650,-550,20,male,18-24
7850,7850,0,20,male,18-24
9200,8400,800,18,male,18-24
11900,7700,4200,18,male,18-24
8500,8950,-450,18,male,18-24
19450,13100,6350,34,Female,25-39
20700,11700,9000,29,FEMALE,25-39
41800,13000,28800,19,female,18-24
51700,21000,30700,22,female,18-24
102750,36500,66250,21,male,18-24
8400,8550,-150,19,male,18-24
40700,13600,27100,19,female,18-24
48050,16150,31900,18,female,18-24
10150,9000,1150,18,male,18-24
14100,8350,5750,19,male,18-24
10750,7650,3100,18,male,18-24
10100,6300,3800,19,male,18-24
27700,12250,15450,30,Female,25-39
8950,5950,3000,18,male,18-24
17000,13250,3750,27,male,25-39
46950,11600,35350,19,female,18-24
11900,8300,3600,20,male,18-24
39400,13800,25600,18,female,18-24
9050,9600,-550,18,male,18-24
12500,7250,5250,18,male,18-24
12950,8650,4300,20,male,18-24
122750,40600,82150,21,male,18-24
8300,7850,450,18,male,18-24
26050,10900,15150,31,Female,25-39
23250,14100,9150,31,male,25-39
9550,9000,550,19,male,18-24
8750,7950,800,20,male,18-24
13300,7750,5550,18,male,18-24
10450,9250,1200,20,male,18-24
8250,8350,-100,18,male,18-24
9200,7400,1800,18,male,18-24
11550,8000,3550,18,male,18-24
27650,10650,17000,36,Female,25-39
54850,21250,33600,21,female,18-24
32800,14550,18250,19,female,18-24
8800,6800,2000,18,male,18-24
10400,8350,2050,18,male,18-24
11150,9300,1850,18,male,18-24
33150,16400,16750,19,female,18-24
50900,15300,35600,18,female,18-24
127700,41650,86050,21,male,18-24
107300,34300,73000,23,male,18-24
8900,7700,1200,18,male,18-24
7500,7300,200,20,male,18-24
34450,17150,17300,18,female,18-24
26750,13050,13700,36,male,25-39
20050,13150,6900,33,male,25-39
6450,8600,-2150,19,male,18-24
7650,9100,-1450,18,male,18-24
7100,7900,-800,19,male,18-24
51950,25250,26700,22,female,18-24
7150,8050,-900,18,male,18-24
37600,11600,26000,18,female,18-24
11100,8500,2600,18,male,18-24
7700,7400,300,20,male,18-24
23650,19750,3900,18,female,18-24
9500,6700,2800,20,male,18-24
9000,7200,1800,20,male,18-24
10400,8050,2350,19,male,18-24
54550,12450,42100,18,female,18-24
20300,15050,5250,36,male,25-39
9450,8250,1200,19,male,18-24
9150,9500,-350,40,male,40+
55100,19750,35350,21,female,18-24
51650,20750,30900,22,female,18-24
9300,7200,2100,18,male,18-24
13850,6350,7500,19,male,18-24
17300,12600,4700,37,Female,25-39
20000,9850,10150,31,Female,25-39
119550,43000,76550,21,male,18-24
9750,8800,950,19,male,18-24
18200,13950,4250,36,Female,25-39
18700,14500,4200,32,Female,25-39
14050,13350,700,33,Female,25-39
11500,8550,2950,20,male,18-24
45700,22850,22850,22,female,18-24
8100,8150,-50,20,male,18-24
57600,17350,40250,21,female,18-24
22900,11350,11550,27,female,25-39
16450,15250,1200,25,female,25-39
12100,7400,4700,18,male,18-24
12250,8550,3700,19,male,18-24
42700,18300,24400,18,female,18-24
10900,6900,4000,19,male,18-24
9650,7950,1700,18,male,18-24
31900,20300,11600,18,female,18-24
9400,7950,1450,18,male,18-24
8900,7550,1350,18,male,18-24
12200,8900,3300,18,male,18-24
50500,15600,34900,21,female,18-24
31350,16150,15200,19,female,18-24
14550,10950,3600,29,FEMALE,25-39
20200,14500,5700,34,Female,25-39
54950,22300,32650,22,female,18-24
18450,11800,6650,37,Female,25-39
8850,7500,1350,19,male,18-24
40200,18500,21700,21,female,18-24
22650,12050,10600,38,Female,25-39
10850,11750,-900,40,female,40+
9300,8600,700,18,male,18-24
38100,17350,20750,19,female,18-24
39300,11900,27400,18,female,18-24
12950,8700,4250,20,male,18-24
9650,10400,-750,46,female,40+
54000,12500,41500,18,female,18-24
34100,7100,27000,19,female,18-24
41200,14550,26650,18,female,18-24
9550,9350,200,18,male,18-24
26050,11400,14650,37,male,25-39
7400,8000,-600,18,male,18-24
9950,6600,3350,18,male,18-24
10250,6200,4050,20,male,18-24
16750,8550,8200,20,male,18-24
17100,16500,600,25,male,25-39
116550,44300,72250,21,male,18-24
110550,44950,65600,24,male,18-24
17000,12200,4800,27,female,25-39
20850,10000,10850,28,female,25-39
13650,8250,5400,18,male,18-24
10150,7700,2450,18,male,18-24
22050,11950,10100,30,FEMALE,25-39
8650,8050,600,18,male,18-24
39300,7650,31650,19,female,18-24
25600,14600,11000,18,female,18-24
11100,8300,2800,18,male,18-24
16700,14750,1950,31,Female,25-39
16700,13850,2850,29,male,25-39
8050,9500,-1450,19,male,18-24
49000,16800,32200,18,female,18-24
45100,16800,28300,19,female,18-24
43850,16450,27400,19,female,18-24
10400,7850,2550,19,male,18-24
119600,32400,87200,22,male,18-24
41450,10400,31050,19,female,18-24
44100,16200,27900,19,female,18-24
14000,15600,-1600,36,male,25-39
17300,11900,5400,33,Female,25-39
47000,18300,28700,21,female,18-24
110850,38850,72000,21,male,18-24
39600,19350,20250,18,female,18-24
7350,5350,2000,18,male,18-24
9600,8150,1450,18,male,18-24
10200,7500,2700,20,male,18-24
16750,11250,5500,28,female,25-39
23000,10750,12250,27,male,25-39
57400,22850,34550,22,female,18-24
9550,5600,3950,20,male,18-24
131750,41100,90650,21,male,18-24
15900,7000,8900,18,male,18-24
15150,9900,5250,27,female,25-39
39550,17750,21800,24,female,18-24
28100,15850,12250,18,female,18-24
36150,13950,22200,19,female,18-24
19100,10500,8600,34,Female,25-39
10200,7500,2700,20,male,18-24
39250,13650,25600,19,female,18-24
9150,7500,1650,19,male,18-24
39000,14250,24750,18,female,18-24
18600,11050,7550,26,female,25-39
46750,16500,30250,18,female,18-24
55550,27050,28500,22,female,18-24
39850,14600,25250,20,female,18-24
16550,15300,1250,27,male,25-39
108200,38200,70000,21,male,18-24
11600,8400,3200,19,male,18-24
50400,19000,31400,24,female,18-24
40300,14900,25400,18,female,18-24
44150,13750,30400,23,female,18-24
6350,8900,-2550,19,male,18-24
45250,13950,31300,18,female,18-24
6850,9050,-2200,19,male,18-24
11350,7900,3450,18,male,18-24
43600,17650,25950,19,female,18-24
9050,8650,400,18,male,18-24
27000,11550,15450,29,male,25-39
20950,9350,11600,27,male,25-39
10100,9550,550,19,male,18-24
9550,8100,1450,19,male,18-24
43550,18000,25550,19,female,18-24
7100,5900,1200,18,male,18-24
112500,42150,70350,21,male,18-24
18500,12100,6400,25,male,25-39
22500,10350,12150,31,male,25-39
9950,7450,2500,33,Female,25-39
21650,13600,8050,32,Female,25-39
10950,8400,2550,18,male,18-24
42950,14000,28950,19,female,18-24
9100,8850,250,19,male,18-24
24650,7550,17100,34,male,25-39
9000,11050,-2050,19,male,18-24
19500,10900,8600,38,Female,25-39
24700,13750,10950,27,female,25-39
8150,8900,-750,18,male,18-24
8950,7000,1950,20,male,18-24
18600,11400,7200,35,male,25-39
6950,9400,-2450,20,male,18-24
11200,7650,3550,18,male,18-24
39250,15400,23850,19,female,18-24
49600,13550,36050,18,female,18-24
20300,12750,7550,29,FEMALE,25-39
9700,6900,2800,18,male,18-24
10600,10250,350,40,female,40+
60750,14250,46500,18,female,18-24
8650,7300,1350,18,male,18-24
15000,7100,7900,18,male,18-24
9950,7500,2450,19,male,18-24
8900,9300,-400,19,male,18-24
20350,12700,7650,27,female,25-39
9750,8050,1700,18,male,18-24
14150,7700,6450,20,male,18-24
12150,10850,1300,28,FEMALE,25-39
22550,13550,9000,35,Female,25-39
18350,14650,3700,30,male,25-39
20750,14850,5900,32,Female,25-39
38750,12400,26350,19,female,18-24
120550,36900,83650,21,male,18-24
6650,7850,-1200,19,male,18-24
22250,7450,14800,35,male,25-39
51650,19150,32500,20,female,18-24
7900,9200,-1300,19,male,18-24
40950,10150,30800,20,female,18-24
38650,11500,27150,18,female,18-24
53600,20600,33000,24,female,18-24
16550,11100,5450,31,Female,25-39
10400,8850,1550,18,male,18-24
56150,12750,43400,18,female,18-24
13350,7100,6250,18,male,18-24
22100,12300,9800,27,male,25-39
51550,21650,29900,18,female,18-24
9000,8650,350,20,male,18-24
9900,9250,650,19,male,18-24
12000,8250,3750,18,male,18-24
12350,7700,4650,20,male,18-24
126750,40350,86400,21,male,18-24
65150,19500,45650,22,female,18-24
11550,9950,1600,46,female,40+
8450,8000,450,20,male,18-24
51600,15250,36350,21,female,18-24
12500,9550,2950,19,male,18-24
16050,12600,3450,26,male,25-39
19850,13000,6850,32,male,25-39
18050,14100,3950,33,male,25-39
12850,8100,4750,18,male,18-24
19550,12900,6650,35,male,25-39
9700,8050,1650,18,male,18-24
10300,8250,2050,19,male,18-24
11500,8650,2850,18,male,18-24
33700,11500,22200,19,female,18-24
44050,14950,29100,19,female,18-24
28100,13200,14900,30,male,25-39
13000,14400,-1400,30,male,25-39
40800,19150,21650,18,female,18-24
14000,11750,2250,30,male,25-39
7500,8700,-1200,18,male,18-24
25900,10000,15900,38,Female,25-39
55650,17950,37700,21,female,18-24
38600,14300,24300,18,female,18-24
10400,8700,1700,18,male,18-24
12850,6400,6450,20,male,18-24
30400,17000,13400,18,female,18-24
39000,25000,14000,24,female,18-24
36750,12400,24350,18,female,18-24
19150,15300,3850,33,Female,25-39
48250,14950,33300,22,female,18-24
10650,6900,3750,18,male,18-24
42350,21000,21350,19,female,18-24
42900,15850,27050,18,female,18-24
108700,37450,71250,21,male,18-24
46650,19250,27400,20,female,18-24
106450,46900,59550,24,male,18-24
7200,8550,-1350,18,male,18-24
20800,11250,9550,37,male,25-39
39350,9500,29850,18,female,18-24
45050,20100,24950,24,female,18-24
8550,7650,900,18,male,18-24
25650,11750,13900,29,FEMALE,25-39
7200,9100,-1900,19,male,18-24
12050,8600,3450,20,male,18-24
10700,10100,600,18,male,18-24
45850,13000,32850,18,female,18-24
10700,8550,2150,18,male,18-24
48050,16250,31800,18,female,18-24
11300,9000,2300,19,male,18-24
13000,9950,3050,18,male,18-24
9750,6550,3200,20,male,18-24
42200,18550,23650,18,female,18-24
20250,12350,7900,27,male,25-39
43600,19600,24000,18,female,18-24
8150,8350,-200,19,male,18-24
27750,10150,17600,28,FEMALE,25-39
42600,17050,25550,19,female,18-24
18300,11700,6600,29,male,25-39
28450,12250,16200,18,female,18-24
44200,14200,30000,18,female,18-24
25950,12350,13600,27,male,25-39
30950,17300,13650,19,female,18-24
9300,8600,700,18,male,18-24
37650,24100,13550,21,female,18-24
49250,19600,29650,24,female,18-24
32000,14950,17050,19,female,18-24
10750,7550,3200,19,male,18-24
41200,14800,26400,23,female,18-24
9350,6900,2450,19,male,18-24
23400,10600,12800,26,male,25-39
15850,8400,7450,27,female,25-39
118350,36950,81400,22,male,18-24
47200,13600,33600,18,female,18-24
10400,14650,-4250,30,FEMALE,25-39
50050,19850,30200,23,female,18-24
131400,43700,87700,23,male,18-24
9950,9200,750,42,female,40+
10750,8050,2700,20,male,18-24
41650,16150,25500,19,female,18-24
123450,39750,83700,24,male,18-24
9850,8450,1400,18,male,18-24
22150,10250,11900,32,Female,25-39
56350,23800,32550,23,female,18-24
20200,13950,6250,32,male,25-39
7400,8750,-1350,19,male,18-24
7350,14350,-7000,28,FEMALE,25-39
19700,12400,7300,28,male,25-39
6050,5800,250,18,male,18-24
13950,8250,5700,18,male,18-24
8400,7200,1200,19,male,18-24
7750,9200,-1450,18,male,18-24
6500,8050,-1550,18,male,18-24
13050,8100,4950,18,male,18-24
22300,12100,10200,33,Female,25-39
29400,15700,13700,19,female,18-24
40150,15400,24750,18,female,18-24
10500,7950,2550,18,male,18-24
40600,26050,14550,21,female,18-24
9100,7450,1650,18,male,18-24
15800,8500,7300,18,male,18-24
53900,15900,38000,18,female,18-24
18400,15550,2850,32,Female,25-39
9500,5650,3850,20,male,18-24
7050,9250,-2200,19,male,18-24
19750,12200,7550,25,male,25-39
11800,6800,5000,20,male,18-24
29850,18100,11750,18,female,18-24
18650,13800,4850,35,Female,25-39
140400,47400,93000,21,male,18-24
11650,7200,4450,18,male,18-24
11850,6450,5400,18,male,18-24
12700,8850,3850,18,male,18-24
9650,9000,650,19,male,18-24
34100,12100,22000,19,female,18-24
17650,11650,6000,26,male,25-39
10650,6450,4200,18,male,18-24
123950,45150,78800,21,male,18-24
27150,11150,16000,38,male,25-39
7950,8400,-450,19,male,18-24
9200,8550,650,18,male,18-24
9800,8350,1450,18,male,18-24
13150,6250,6900,20,male,18-24
41950,21600,20350,19,female,18-24
18850,15050,3800,32,Female,25-39
107850,38350,69500,22,male,18-24
18900,9750,9150,28,FEMALE,25-39
18350,14200,4150,33,male,25-39
11900,8350,3550,19,male,18-24
11600,8150,3450,19,male,18-24
35700,13100,22600,19,female,18-24
51150,20900,30250,22,female,18-24
40900,18400,22500,21,female,18-24
11050,7700,3350,20,male,18-24
12200,6550,5650,18,male,18-24
11750,6450,5300,18,male,18-24
23500,8600,14900,29,FEMALE,25-39
43350,18750,24600,18,female,18-24
8050,6200,1850,19,male,18-24
29650,12150,17500,25,female,25-39
46700,12800,33900,18,female,18-24
124700,45950,78750,21,male,18-24
17050,10900,6150,32,Female,25-39
43900,19100,24800,19,female,18-24
10550,11400,-850,40,female,40+
10750,8050,2700,18,male,18-24
101550,39900,61650,21,male,18-24
20050,12600,7450,27,male,25-39
9350,7100,2250,18,male,18-24
56400,14600,41800,19,female,18-24
14400,12150,2250,28,male,25-39
22300,11700,10600,34,male,25-39
10850,8900,1950,18,male,18-24
23000,11200,11800,33,Female,25-39
11150,8200,2950,19,male,18-24
29400,18950,10450,19,female,18-24
11000,8800,2200,18,male,18-24
44100,20850,23250,22,female,18-24
10800,7600,3200,19,male,18-24
8950,8750,200,18,male,18-24
21600,13450,8150,25,female,25-39
9350,7250,2100,19,male,18-24
12600,7550,5050,18,male,18-24
62550,15850,46700,22,female,18-24
5650,7750,-2100,20,male,18-24
113800,41350,72450,23,male,18-24
11250,7450,3800,20,male,18-24
31250,15450,15800,18,female,18-24
10700,11300,-600,42,female,40+
9450,9350,100,20,male,18-24
11050,6550,4500,18,male,18-24
13950,8600,5350,19,male,18-24
18850,12500,6350,31,male,25-39
111650,39600,72050,22,male,18-24
19700,14350,5350,19,female,18-24
20850,12150,8700,18,female,18-24
46900,16350,30550,19,female,18-24
120650,33400,87250,23,male,18-24
12500,7500,5000,18,male,18-24
19750,8850,10900,36,Female,25-39
11150,7300,3850,19,male,18-24
105200,40200,65000,21,male,18-24
10800,5250,5550,18,male,18-24
10350,9350,1000,19,male,18-24
48700,16150,32550,18,female,18-24
51350,15250,36100,21,female,18-24
8400,7900,500,18,male,18-24
50450,17850,32600,18,female,18-24
21650,11400,10250,38,Female,25-39
17850,9350,8500,36,male,25-39
50350,15450,34900,20,female,18-24
12900,12250,650,37,Female,25-39
12550,7150,5400,18,male,18-24
42250,18000,24250,18,female,18-24
32850,15950,16900,21,female,18-24
17400,8100,9300,31,Female,25-39
64450,20300,44150,22,female,18-24
12600,7500,5100,18,male,18-24
19800,12400,7400,34,male,25-39
17100,14450,2650,37,male,25-39
56050,12700,43350,18,female,18-24
50850,21150,29700,21,female,18-24
42500,18600,23900,18,female,18-24
14000,7500,6500,19,male,18-24
25450,11550,13900,27,female,25-39
47950,16200,31750,18,female,18-24
11050,8700,2350,18,male,18-24
37800,16400,21400,19,female,18-24
12150,6900,5250,18,male,18-24
21100,18150,2950,18,female,18-24
111450,35900,75550,21,male,18-24
16850,12950,3900,29,FEMALE,25-39
41050,16300,24750,18,female,18-24
9800,8550,1250,18,male,18-24
41950,7900,34050,19,female,18-24
50250,13450,36800,19,female,18-24
14300,8250,6050,19,male,18-24
42250,18900,23350,19,female,18-24
48250,12050,36200,18,female,18-24
13050,7350,5700,19,male,18-24
10300,6100,4200,19,male,18-24
37500,11750,25750,18,female,18-24
125200,40650,84550,21,male,18-24
37300,15350,21950,19,female,18-24
41850,20400,21450,18,female,18-24
20750,10350,10400,30,male,25-39
26500,12150,14350,25,male,25-39
15550,12650,2900,28,female,25-39
19850,10700,9150,39,Female,25-39
20850,10100,10750,27,female,25-39
57100,19500,37600,22,female,18-24
12150,8800,3350,19,male,18-24
23500,11000,12500,28,male,25-39
23900,13100,10800,25,female,25-39
22350,10950,11400,32,male,25-39
44600,20500,24100,24,female,18-24
10450,8050,2400,18,male,18-24
47150,7650,39500,19,female,18-24
49200,18250,30950,18,female,18-24
20700,12800,7900,25,male,25-39
12750,7850,4900,18,male,18-24
10100,8200,1900,18,male,18-24
9050,7500,1550,18,male,18-24
8900,8650,250,18,male,18-24
22000,8700,13300,25,female,25-39
25250,10450,14800,35,Female,25-39
37200,16600,20600,18,female,18-24
22100,10750,11350,32,Female,25-39
49550,14400,35150,19,female,18-24
17900,12850,5050,26,female,25-39
15900,13400,2500,30,FEMALE,25-39
25100,17750,7350,18,female,18-24
12850,8900,3950,20,male,18-24
38150,16250,21900,18,female,18-24
9050,10650,-1600,40,female,40+
37650,12750,24900,19,female,18-24
8700,8250,450,19,male,18-24
11300,10400,900,18,male,18-24
9850,7000,2850,18,male,18-24
109650,39500,70150,21,male,18-24
20900,7200,13700,26,male,25-39
16700,12350,4350,34,male,25-39
53550,22850,30700,22,female,18-24
51850,14250,37600,21,female,18-24
50500,13800,36700,18,female,18-24
19500,10850,8650,38,Female,25-39
10300,8750,1550,18,male,18-24
10100,7700,2400,19,male,18-24
10950,8250,2700,18,male,18-24
28100,24000,4100,19,female,18-24
22200,14550,7650,26,female,25-39
56100,17900,38200,18,female,18-24
8850,7850,1000,18,male,18-24
12000,6900,5100,19,male,18-24
22050,13400,8650,26,female,25-39
12550,8650,3900,20,male,18-24
40400,14300,26100,18,female,18-24
25300,11950,13350,35,Female,25-39
10150,7750,2400,19,male,18-24
9550,9000,550,19,male,18-24
126450,46300,80150,23,male,18-24
38250,11700,26550,19,female,18-24
42150,15650,26500,18,female,18-24
5000,7100,-2100,19,male,18-24
10500,7400,3100,20,male,18-24
18450,10900,7550,30,FEMALE,25-39
9950,8600,1350,19,male,18-24
21850,11550,10300,27,female,25-39
11050,7200,3850,18,male,18-24
6700,7600,-900,18,male,18-24
13800,7500,6300,19,male,18-24
20250,8600,11650,32,male,25-39
23950,13450,10500,30,male,25-39
22150,9300,12850,28,male,25-39
