name,contry_origin,domain,price_category,founded,presence_world,presence_russia,presence_regions
1b.ru,Россия,Парфюмерия и Косметика,Ниже среднего,,4.0,4,Балаково; Саратов; Энгельс
1С Интерес,Россия,Хобби и увлечения,Средний,2003.0,,40 и 3 франчайзинговых,Москва; Санкт-Петербург; Волжский; Воронеж; Казань; Калуга; Краснодар; Красноярск; Курган; Курск; Нижний Новгород; Новосибирск; Омск; Ростов-на-Дону; Самара; Стерлитамак; Сургут; Тюмень; Уфа; Якутск; Ярославль
1С:БухОбслуживание,Россия,Услуги для бизнеса (b2b),Средний,1991.0,687.0,20 и 917 франчайзинговых,
1хСтавка,Россия,Ставки и лотереи,Средний,2009.0,,500,Москва; Санкт-Петербург; Армавир; Артем; Архангельск; Астрахань; Балаково; Балашиха; Барнаул; Белгород; Белогорск; Бийск; Биробиджан; Благовещенск; Борисоглебск; Брянск; Великий Новгород; Видное; Владивосток; Владимир; Волгоград; Волжский; Воронеж; Всеволожск; Выборг; Гатчина; Геленджик; Глазов; Губкин; Дербент; Дмитров; Долгопрудный; Дятьково; Егорьевск; Екатеринбург; Железногорск; Жигулевск; Зеленоград; Иваново; Ижевск; Йошкар-Ола; Казань; Калининград; Камышин; Кемерово; Киров; Клинцы; Коломна; Колпино; Королев; Кострома; Красногорск; Краснодар; Красноярск; Курск; Липецк; Люберцы; Магадан; Магнитогорск; Майкоп; Махачкала; Можайск; Мончегорск; Мурманск; Мытищи; Набережные Челны; Нальчик; Находка; Нижневартовск; Нижний Новгород; Новокуйбышевск; Новомосковск; Новосибирск; Ногинск; Норильск; Одинцово; Омск; Орел; Орехово-Зуево; Павловский Посад; Пенза; Первоуральск; Пермь; Петрозаводск; Петропавловск-Камчатский; Подольск; Реутов; Самара; Саранск; Саратов; Симферополь ; Смоленск; Сочи; Ставрополь; Старый Оскол; Сызрань; Тверь; Тольятти; Томск; Тула; Тюмень; Улан-Удэ; Ульяновск; Уссурийск; Уфа; Ухта; Хабаровск; Химки; Челябинск; Черкесск; Чита; Щелково; Элиста; Энгельс; Южно-Сахалинск; Якутск; Ярославль
21Shop,Россия,Одежда,Средний,2001.0,13.0,12,Москва; Санкт-Петербург; Вологда; Петропавловск-Камчатский; Рязань; Тверь
220 вольт,Россия,Ремонт и строительство,Средний,2003.0,,6 и 236 франчайзинговых,Москва; Санкт-Петербург; Альметьевск; Анапа; Архангельск; Астрахань; Балаково; Барнаул; Белгород; Березники; Великие Луки; Великий Новгород; Владимир; Вологда; Екатеринбург; Зеленогорск; Иваново; Ижевск; Иркутск; Казань; Калуга; Красногорск; Магнитогорск; Мурманск; Набережные Челны; Нефтекамск; Нижний Новгород; Новосибирск; Новый Уренгой; Обнинск; Орехово-Зуево; Пермь; Подольск; Псков; Пятигорск; Ростов-на-Дону; Рязань; Салават; Самара; Саратов; Северодвинск; Сергиев Посад; Старый Оскол; Стерлитамак; Сыктывкар; Тобольск; Томск; Тула; Тюмень; Улан-Удэ; Уссурийск; Уфа; Челябинск; Череповец; Чита; Якутск; Ярославль
24 Градуса,Россия,Вино и алкогольные напитки,Средний,2013.0,6.0,6 и 5 франчайзинговых,Владимир; Омск; Севастополь; Тольятти
2scoop,Россия,Спорт,Средний,2014.0,,17,Москва; Белгород; Брянск; Великие Луки; Владимир; Калуга; Курск; Орел; Смоленск; Тверь; Тула
3-15,Россия,Аксессуары,Выше среднего,1998.0,,58,Москва; Санкт-Петербург; Волгоград; Воронеж; Екатеринбург; Казань; Краснодар; Красноярск; Нижний Новгород; Новосибирск; Омск; Ростов-на-Дону; Самара; Сочи; Сургут; Тольятти; Уфа; Челябинск
32ok,Россия,"Здоровье, лечение, профилактика",Средний,2002.0,4.0,4 и 2 франчайзинговых,Санкт-Петербург; Брянск; Челябинск
33 комода,Россия,Мебель,Дисконт; Ниже среднего,2002.0,,20,Асбест; Белорецк; Воткинск; Екатеринбург; Каменск-Уральский; Магнитогорск; Набережные Челны; Нижнекамск; Нижний Тагил; Первоуральск; Серов; Тюмень
33 Курицы,Россия,Продукты питания,Средний,2010.0,,212,Анапа; Армавир; Батайск; Волгоград; Волгодонск; Волжский; Геленджик; Ессентуки; Камышин; Кисловодск; Краснодар; Майкоп; Минеральные Воды; Невинномысск; Новороссийск; Новочеркасск; Новошахтинск; Пятигорск; Ростов-на-Дону; Сочи; Ставрополь; Таганрог; Туапсе; Шахты
33 Пингвина,Россия,"Кафе, ресторан",Средний; Выше среднего,2004.0,850.0,50 и 800 франчайзинговых,Москва; Санкт-Петербург; Ангарск; Архангельск; Астрахань; Барнаул; Бийск; Благовещенск; Братск; Владивосток; Дзержинск; Егорьевск; Екатеринбург; Иваново; Ижевск; Иркутск; Казань; Кемерово; Киров; Краснодар; Красноярск; Кызыл; Магнитогорск; Миасс; Мурманск; Нальчик; Нижневартовск; Новокузнецк; Новосибирск; Ноябрьск; Омск; Оренбург; Орск; Пермь; Петропавловск-Камчатский; Ростов-на-Дону; Северодвинск; Сургут; Сызрань; Тамбов; Тверь; Тобольск; Тольятти; Томск; Тюмень; Улан-Удэ; Ульяновск; Уссурийск; Уфа; Ухта; Хабаровск; Чебоксары; Чита; Южно-Сахалинск; Якутск
"36,6",Россия,Аптека,Ниже среднего; Средний; Выше среднего,1991.0,,239,Москва; Санкт-Петербург; Балашиха; Белгород; Бронницы; Волгоград; Волжский; Воронеж; Воскресенск; Дмитров; Долгопрудный; Домодедово; Екатеринбург; Звенигород; Зеленоград; Истра; Казань; Киров; Клин; Котельники; Красногорск; Краснодар; Липецк; Люберцы; Магнитогорск; Мурманск; Мытищи; Наро-Фоминск; Нефтекамск; Нижний Новгород; Новосибирск; Одинцово; Орехово-Зуево; Павловский Посад; Пермь; Реутов; Ростов-на-Дону; Салават; Самара; Саратов; Серпухов; Стерлитамак; Ступино; Тольятти; Троицк; Тюмень; Уфа; Химки; Чехов; Щербинка; Энгельс; Ярославль
"36,7",Россия,Аптека,Средний,1998.0,24.0,24,Нижний Новгород; Саров
4hands,Россия,Красота,Средний,2008.0,82.0,82 и 17 франчайзинговых,Москва; Санкт-Петербург; Барнаул; Владивосток; Казань; Липецк; Новосибирск; Норильск; Севастополь; Сочи; Старый Оскол; Томск
5 звезд,Россия,Развлечения,Выше среднего,1999.0,,11,Москва; Волгоград; Кострома; Курск; Пенза; Рязань; Самара; Щелково
5 кармаNов,Россия,Одежда,Выше среднего,2002.0,,67,Москва; Волгоград; Воронеж; Екатеринбург; Иваново; Казань; Калуга; Краснодар; Курск; Нижний Новгород; Ростов-на-Дону; Рязань; Самара; Старый Оскол; Тамбов; Тольятти; Тула; Тюмень; Ульяновск; Чебоксары; Челябинск; Ярославль
585*Золотой,Россия,Ювелирные магазины,Ниже среднего; Средний,2000.0,,300 и 390 франчайзинговых,Москва; Санкт-Петербург; Абакан; Альметьевск; Анапа; Арзамас; Армавир; Архангельск; Астрахань; Ачинск; Балаково; Балашов; Барнаул; Батайск; Белгород; Березники; Бийск; Борисоглебск; Брянск; Великий Новгород; Владикавказ; Владимир; Волгоград; Волгодонск; Волжский; Вологда; Воронеж; Воткинск; Гатчина; Геленджик; Глазов; Дербент; Екатеринбург; Елец; Ессентуки; Железногорск; Иваново; Ижевск; Иркутск; Искитим; Ишим; Йошкар-Ола; Казань; Калининград; Калуга; Каменск-Уральский; Камышин; Кемерово; Кингисепп; Киселевск; Кисловодск; Когалым; Колпино; Краснодар; Красноярск; Курган; Курск; Кызыл; Лангепас; Ленинск-Кузнецкий; Липецк; Лянтор; Магнитогорск; Майкоп; Междуреченск; Минеральные Воды; Мончегорск; Мурманск; Надым; Нальчик; Невинномысск; Нефтеюганск; Нижневартовск; Нижний Новгород; Нижний Тагил; Новокузнецк; Новомосковск; Новороссийск; Новосибирск; Новоуральск; Новочеркасск; Новошахтинск; Новый Уренгой; Норильск; Ноябрьск; Нягань; Октябрьский; Омск; Орел; Оренбург; Орск; Пенза; Пермь; Петрозаводск; Прокопьевск; Псков; Пятигорск; Ростов-на-Дону; Рубцовск; Рыбинск; Рязань; Салехард; Саранск; Сарапул; Саратов; Северодвинск; Северск; Серов; Смоленск; Сосновый Бор; Сочи; Ставрополь; Стерлитамак; Сургут; Сыктывкар; Таганрог; Тамбов; Тверь; Тобольск; Томск; Туапсе; Тула; Тюмень; Улан-Удэ; Ульяновск; Уфа; Чайковский; Чебоксары; Челябинск; Череповец; Черкесск; Чита; Шахты; Элиста; Энгельс; Ярославль
585GOLD,Россия,Ювелирные магазины,Средний,2000.0,,53,Санкт-Петербург; Гатчина; Колпино
5lb,Россия,Спорт,Средний,2009.0,50.0,50,Москва; Железнодорожный; Королев; Красногорск; Одинцово; Химки
7 Красок,Россия,Красота,Средний,2003.0,,28,Москва; Санкт-Петербург; Красногорск
8-я Оптика,Россия,Оптика,Средний,2002.0,,8,Москва
A&G,Россия,Одежда,Средний; Выше среднего,2012.0,,7 и 2 франчайзинговых,Стерлитамак; Уфа
Acoola,Россия,Товары и услуги для детей,Средний,2010.0,274.0,200 и 74 франчайзинговых,Москва; Санкт-Петербург; Архангельск; Астрахань; Барнаул; Белгород; Брянск; Великий Новгород; Владимир; Волжский; Воронеж; Екатеринбург; Зеленоград; Ижевск; Иркутск; Казань; Калуга; Киров; Кострома; Красногорск; Краснодар; Красноярск; Курск; Липецк; Люберцы; Мурманск; Мытищи; Набережные Челны; Нижний Новгород; Новокузнецк; Новосибирск; Новый Уренгой; Норильск; Одинцово; Омск; Пенза; Пермь; Петрозаводск; Реутов; Ростов-на-Дону; Рыбинск; Рязань; Самара; Саранск; Саратов; Смоленск; Сургут; Сыктывкар; Таганрог; Тамбов; Тольятти; Томск; Тула; Тюмень; Улан-Удэ; Ульяновск; Уфа; Челябинск; Щелково; Электрогорск; Ярославль
Adidas,Германия,Одежда,Средний,1920.0,,850,Москва; Санкт-Петербург; Астрахань; Великий Новгород; Волгоград; Екатеринбург; Казань; Кемерово; Краснодар; Красноярск; Новосибирск; Омск; Петропавловск-Камчатский; Ростов-на-Дону; Самара; Уфа; Челябинск
Aero,Россия,Мебель,Средний,1999.0,41.0,41,Москва; Санкт-Петербург; Иваново; Краснодар; Нижний Новгород; Обнинск; Тверь; Уфа; Череповец; Ярославль
AIST,Россия,Авто и товары для авто,Средний,1996.0,,4,Москва; Санкт-Петербург
Akhmadullina Dreams,Россия,Одежда,Средний,2001.0,13.0,13,Москва
Albione,Италия,Одежда,Выше среднего,1911.0,,26,Москва; Санкт-Петербург; Тюмень
Alcozer & J,Италия,Аксессуары,Люкс / Премиум,1994.0,150.0,3 и 4 франчайзинговых,Москва; Санкт-Петербург; Белгород; Краснодар; Ростов-на-Дону; Уфа; Хабаровск
Aldo,Канада,Обувь,Средний,1972.0,1600.0,3,Москва
Aldo Coppola,Италия,Красота,Люкс / Премиум,1965.0,150.0,6 и 7 франчайзинговых,Москва; Владивосток; Краснодар; Махачкала; Новосибирск; Пермь; Ростов-на-Дону
Alena Akhmadullina,Россия,Одежда,Люкс / Премиум,2001.0,5.0,5,Москва
Alena Goretskaya,Беларусь,Одежда,Люкс / Премиум,2009.0,,15,Москва; Санкт-Петербург; Астрахань; Брянск; Волгоград; Киров; Краснодар; Ростов-на-Дону; Самара
ALEX FITNESS,Россия,Спорт,Средний,2011.0,59.0,57,Москва; Санкт-Петербург; Березники; Волгоград; Воронеж; Иваново; Казань; Краснодар; Набережные Челны; Новосибирск; Омск; Оренбург; Пенза; Пермь; Ростов-на-Дону; Рязань; Самара; Саратов; Тольятти; Уфа; Череповец; Энгельс; Ярославль
Alexander Bogdanov,Россия,Одежда,Люкс / Премиум,1988.0,,11 и 10 франчайзинговых,Москва; Санкт-Петербург; Воронеж; Дмитров; Екатеринбург; Казань; Нижний Новгород; Новосибирск; Омск; Пермь; Ростов-на-Дону; Самара; Уфа
Alexander Terekhov,Россия,Одежда,Люкс / Премиум,2007.0,,5,Москва
Alibra School,Россия,Услуги населению,Средний,2000.0,,1 и 24 франчайзинговых,Москва; Санкт-Петербург; Екатеринбург; Казань
Aloha,Россия,"Туризм, путешествия",Средний,2010.0,,20,Москва; Санкт-Петербург; Калининград
Alpenroad,Россия,Вендинг,Средний,2016.0,2.0,2 и 28 франчайзинговых,Санкт-Петербург; Барнаул; Белгород; Воронеж; Ижевск; Казань; Калуга; Киров; Коломна; Красноярск; Курск; Мурманск; Новосибирск; Пенза; Пермь; Ростов-на-Дону; Рязань; Старый Оскол; Чебоксары; Челябинск
Altair VR,Россия,Развлечения,Средний,2010.0,24.0,1 и 15 франчайзинговых,Москва; Белгород; Грозный; Иркутск; Комсомольск-на-Амуре; Краснодар; Нижний Новгород; Новосибирск; Оренбург; Пермь; Реутов; Севастополь; Ставрополь; Тюмень; Уфа; Хабаровск; Челябинск
Alwero,Польша,Все для дома,Люкс / Премиум,1999.0,15.0,12,Иркутск; Московский; Мурманск; Омск; Саратов; Сочи
Amore + Fiori,Россия,Цветы и растения,Средний; Выше среднего,2015.0,2.0,2 и 40 франчайзинговых,Москва; Санкт-Петербург; Белгород; Великий Новгород; Владивосток; Воронеж; Екатеринбург; Иваново; Иркутск; Йошкар-Ола; Калининград; Кисловодск; Красноярск; Магнитогорск; Набережные Челны; Орел; Ростов-на-Дону; Рязань; Самара; Саратов; Севастополь; Тюмень; Ульяновск; Уфа; Южно-Сахалинск; Якутск; Ярославль
Amorem,Россия,Аксессуары,Средний,2012.0,2.0,2 и 8 франчайзинговых,Москва; Санкт-Петербург; Калининград; Нижний Новгород; Новосибирск; Ростов-на-Дону; Уфа; Хабаровск; Челябинск
AN-2,Россия,Одежда,Средний,1996.0,,11,Москва
Anabel Arto,Украина,Одежда,Средний,,11.0,7 и 11 франчайзинговых,Москва; Краснодар; Новороссийск; Ростов-на-Дону
ANDERSSEN,Россия,Мебель,Средний; Выше среднего,2000.0,,41,
Andgilo Savallini,Россия,Обувь,Средний,2003.0,,7,Москва; Мытищи
ANDREA,Россия,Мебель,Выше среднего; Люкс / Премиум,1998.0,82.0,82,Москва; Санкт-Петербург; Анапа; Астрахань; Балаково; Благовещенск; Братск; Брянск; Владимир; Волгоград; Воронеж; Губкин; Дербент; Екатеринбург; Иваново; Ижевск; Иркутск; Казань; Кемерово; Керчь ; Ковров; Краснодар; Красноярск; Курган; Липецк; Махачкала; Мытищи; Набережные Челны; Нефтекамск; Нижневартовск; Нижний Новгород; Новокузнецк; Новосибирск; Октябрьский; Омск; Оренбург; Пенза; Пермь; Подольск; Псков; Пятигорск; Ростов-на-Дону; Рязань; Самара; Саранск; Саратов; Смоленск; Сочи; Старый Оскол; Сургут; Сызрань; Сыктывкар; Таганрог; Тамбов; Тольятти; Тула; Тюмень; Ульяновск; Уфа; Хабаровск; Ханты-Мансийск; Химки; Челябинск; Череповец; Чита; Энгельс; Ярославль
ANEX Tour,Россия,"Туризм, путешествия",Средний,1996.0,,42,Москва; Санкт-Петербург; Архангельск; Астрахань; Барнаул; Белгород; Благовещенск; Владивосток; Волгоград; Воронеж; Екатеринбург; Иркутск; Казань; Калининград; Калуга; Кемерово; Краснодар; Красноярск; Минеральные Воды; Мурманск; Нижневартовск; Нижнекамск; Нижний Новгород; Новокузнецк; Новосибирск; Омск; Оренбург; Пермь; Ростов-на-Дону; Самара; Сочи; Ставрополь; Сургут; Сыктывкар; Томск; Тюмень; Ульяновск; Уфа; Хабаровск; Ханты-Мансийск; Челябинск; Южно-Сахалинск
ANNA VERDI,Италия,Одежда,Выше среднего; Люкс / Премиум,2003.0,16.0,16,Москва; Санкт-Петербург; Архангельск; Владивосток; Екатеринбург; Ижевск; Магадан; Нижний Тагил; Оренбург; Петрозаводск; Сургут; Тюмень; Хабаровск
ANNAlizza,Россия,Одежда,Средний,2006.0,5.0,5,Ижевск; Самара; Чебоксары; Челябинск
ANSALIGY,Россия,Парфюмерия и Косметика,Средний,2015.0,4.0,2 и 2 франчайзинговых,Москва
ANTA SPORTS,Китай,Спорт,Средний,1991.0,,19,Москва; Абакан; Архангельск; Владикавказ; Екатеринбург; Казань; Киров; Нальчик; Нижний Новгород; Омск; Сочи; Сыктывкар; Хабаровск; Чебоксары; Челябинск
ANTIGA,Россия,Одежда,Ниже среднего; Средний,1998.0,13.0,13,Москва; Брянск; Воронеж; Лобня; Мытищи; Реутов; Саратов; Тверь; Тула
Arabeski,Россия,Ювелирные магазины,Ниже среднего,2010.0,4.0,4,Санкт-Петербург
Ardoni,Россия,Мебель,Средний; Выше среднего; Люкс / Премиум,1996.0,130.0,125,Москва; Санкт-Петербург; Анапа; Арзамас; Астрахань; Балаково; Барнаул; Белгород; Биробиджан; Брянск; Владикавказ; Владимир; Волгоград; Вологда; Воронеж; Дзержинск; Димитровград; Екатеринбург; Елец; Иваново; Ижевск; Иркутск; Казань; Калуга; Кемерово; Керчь ; Краснодар; Курган; Липецк; Магнитогорск; Махачкала; Набережные Челны; Нальчик; Нижний Новгород; Новокузнецк; Новороссийск; Новосибирск; Новоуральск; Омск; Оренбург; Пенза; Пермь; Петропавловск-Камчатский; Прокопьевск; Пятигорск; Рязань; Самара; Саранск; Саратов; Сочи; Ставрополь; Стерлитамак; Сургут; Сызрань; Тамбов; Тверь; Тольятти; Тула; Тюмень; Ульяновск; Уссурийск; Уфа; Хабаровск; Чебоксары; Челябинск; Череповец; Элиста; Ярославль
Arena,Россия,Спорт,Ниже среднего; Средний,1972.0,40.0,40,Москва; Санкт-Петербург; Астрахань; Белгород; Вологда; Воронеж; Екатеринбург; Иваново; Ижевск; Казань; Кемерово; Липецк; Миасс; Набережные Челны; Новосибирск; Ростов-на-Дону; Рязань; Самара; Севастополь; Сочи; Сургут; Тольятти; Томск; Тула; Тюмень; Ульяновск; Чебоксары; Челябинск; Ярославль
Arena Space,Россия,Развлечения,Средний,2016.0,,4 и 1 франчайзинговых,Москва; Санкт-Петербург
Aristo,Россия,Мебель,Средний,2003.0,200.0,180,Москва; Санкт-Петербург; Астрахань; Барнаул; Белгород; Белебей; Благовещенск; Борисоглебск; Брянск; Владивосток; Владикавказ; Владимир; Вологда; Воронеж; Воскресенск; Геленджик; Дзержинск; Дубна; Екатеринбург; Елец; Зеленоград; Иваново; Ижевск; Иркутск; Истра; Калининград; Калуга; Кемерово; Киров; Красногорск; Краснодар; Красноярск; Курган; Липецк; Миасс; Муром; Нальчик; Нижневартовск; Нижний Новгород; Нижний Тагил; Новомосковск; Новороссийск; Новосибирск; Новый Уренгой; Обнинск; Одинцово; Омск; Оренбург; Орехово-Зуево; Орск; Пенза; Первоуральск; Петропавловск-Камчатский; Пятигорск; Реутов; Ростов-на-Дону; Рыбинск; Рязань; Саранск; Саров; Севастополь; Серов; Симферополь ; Смоленск; Сочи; Ставрополь; Старый Оскол; Сургут; Сызрань; Сыктывкар; Таганрог; Тамбов; Тверь; Томск; Туапсе; Тюмень; Ульяновск; Уссурийск; Уфа; Фрязино; Хабаровск; Ханты-Мансийск; Химки; Чебоксары; Челябинск; Чехов; Чита; Южно-Сахалинск; Ярославль
Armani Exchange,Италия,Одежда,Средний; Выше среднего,1975.0,260.0,10,Москва; Владивосток; Екатеринбург; Казань; Краснодар
Armani Jeans,Италия,Одежда,Средний,1982.0,,15,Москва; Санкт-Петербург; Краснодар; Новороссийск; Ростов-на-Дону; Сочи
ARNY PRAHT,Россия,Аксессуары,Средний,1920.0,7.0,5,Москва; Санкт-Петербург; Набережные Челны
Art de Vivre,Европа,Все для дома,Средний; Выше среднего; Люкс / Премиум,1995.0,,45 и 24 франчайзинговых,Москва; Санкт-Петербург; Екатеринбург; Казань; Краснодар; Красноярск; Нижний Новгород; Новосибирск; Ростов-на-Дону; Саратов; Тюмень; Уфа; Челябинск
Artel,Россия,Товары и услуги для детей,Средний; Выше среднего; Люкс / Премиум,1999.0,9.0,4 и 5 франчайзинговых,Москва; Мытищи; Нижний Новгород; Новомосковск; Севастополь; Челябинск; Южно-Сахалинск
ArtFamily,Россия,Товары и услуги для детей,Средний,2014.0,,15 и 15 франчайзинговых,Санкт-Петербург; Владивосток; Владимир; Воронеж; Звенигород; Краснодар; Нальчик; Обнинск; Ростов-на-Дону; Самара; Сочи; Тверь
Arya home,Турция,Все для дома,Средний; Выше среднего; Люкс / Премиум,1992.0,74.0,54 и 20 франчайзинговых,Москва; Санкт-Петербург; Архангельск; Благовещенск; Владивосток; Владикавказ; Екатеринбург; Зеленоград; Иваново; Иркутск; Казань; Ковров; Кострома; Краснодар; Нальчик; Новокузнецк; Новороссийск; Новосибирск; Оренбург; Петрозаводск; Ростов-на-Дону; Рязань; Самара; Саратов; Сургут; Тюмень; Хабаровск; Челябинск; Ярославль
ASH,Италия,Обувь,Выше среднего,2000.0,,7,Москва
Ashanti,Россия,"Чай, кофе, аксессуары",Средний,2014.0,,6,Москва
ASKENT,Россия,Аксессуары,Средний,1993.0,62.0,5 и 57 франчайзинговых,Санкт-Петербург; Альметьевск; Архангельск; Астрахань; Барнаул; Белгород; Бийск; Волгоград; Волжский; Воронеж; Екатеринбург; Иркутск; Казань; Краснодар; Курск; Липецк; Набережные Челны; Нижневартовск; Нижний Новгород; Оренбург; Пенза; Петрозаводск; Подольск; Рязань; Самара; Саранск; Саратов; Северодвинск; Сочи; Стерлитамак; Сургут; Тверь; Тольятти; Томск; Тула; Тюмень; Улан-Удэ; Ульяновск; Челябинск; Энгельс; Южно-Сахалинск; Ярославль
ATAMI,Япония,Парфюмерия и Косметика,Средний; Выше среднего,2007.0,,6,Москва
ATLANTIC,Польша,Одежда,Ниже среднего; Средний; Выше среднего,1993.0,262.0,,Москва; Санкт-Петербург; Абакан; Архангельск; Астрахань; Барнаул; Белгород; Благовещенск; Брянск; Владивосток; Волгоград; Вологда; Воронеж; Екатеринбург; Ижевск; Краснодар; Красноярск; Новороссийск; Оренбург; Ростов-на-Дону; Рязань; Самара; Саратов; Северодвинск; Смоленск; Сочи; Ставрополь; Сыктывкар; Таганрог; Тамбов; Тверь; Тольятти; Тула; Улан-Удэ; Ульяновск; Уссурийск; Ухта; Хабаровск; Чебоксары; Челябинск; Череповец; Энгельс; Якутск
Aubade,Франция,Одежда,Средний; Выше среднего,1958.0,,5,Москва
Auntie Annes,США,"Кафе, ресторан",Средний,1988.0,1800.0,,Москва; Петропавловск-Камчатский; Саратов
Aura of BOHEMIA,Россия,Все для дома,Средний; Выше среднего; Люкс / Премиум,1996.0,,33,Санкт-Петербург; Анапа; Волгоград; Воронеж; Екатеринбург; Казань; Краснодар; Нижний Новгород; Новороссийск; Новосибирск; Омск; Ростов-на-Дону; Самара; Саратов; Сочи; Ставрополь; Тюмень; Уфа; Челябинск
Aurum,Россия,Услуги населению,Средний,2005.0,,21,Санкт-Петербург
Avelon,Россия,Одежда,Средний,1989.0,,21,Абакан; Барнаул; Кемерово; Красноярск; Новосибирск; Прокопьевск; Томск; Тюмень; Якутск
AZUMA,Россия,Парфюмерия и Косметика,Средний,2018.0,,22,Москва; Копейск; Челябинск
BABOCHKA,Россия,Одежда,Выше среднего; Люкс / Премиум,1988.0,,14,Санкт-Петербург
BABOR,Германия,Красота,Люкс / Премиум,1999.0,3.0,3 и 18 франчайзинговых,Москва; Санкт-Петербург; Владимир; Калуга; Королев; Кострома; Краснодар; Наро-Фоминск; Обнинск; Пермь; Самара; Сыктывкар; Троицк; Челябинск; Чита; Энгельс
BabyDance,Россия,Товары и услуги для детей,Средний,2011.0,,24,Уфа
Baden,Россия,Обувь,Средний,2001.0,,49,Москва; Санкт-Петербург; Альметьевск; Владивосток; Волгоград; Домодедово; Екатеринбург; Ижевск; Иркутск; Казань; Калининград; Королев; Курск; Мытищи; Набережные Челны; Нижнекамск; Новокузнецк; Новосибирск; Одинцово; Оренбург; Павловский Посад; Пушкино; Самара; Саратов; Ступино; Ульяновск; Уфа; Хабаровск
Baggins Coffee,Россия,"Кафе, ресторан",Средний,2015.0,4.0,4 и 110 франчайзинговых,Москва; Санкт-Петербург; Воронеж; Кингисепп
BAHROMA,Россия,"Кафе, ресторан",Средний,1997.0,,9,Санкт-Петербург
Baldinini,Италия,Обувь,Средний; Выше среднего,1910.0,,12,Москва; Волгоград; Казань; Ростов-на-Дону; Самара
Bambini-Club,Россия,Товары и услуги для детей,Средний,2011.0,60.0,2 и 58 франчайзинговых,Москва; Санкт-Петербург; Астрахань; Благовещенск; Брянск; Воронеж; Грозный; Екатеринбург; Кемерово; Кингисепп; Красногорск; Краснодар; Нижний Новгород; Новокузнецк; Новосибирск; Ростов-на-Дону; Самара; Ставрополь; Сыктывкар; Тюмень; Уфа; Челябинск; Чита
Bambinizon,Россия,Товары и услуги для детей,Средний,2012.0,2.0,2 и 10 франчайзинговых,Москва; Санкт-Петербург; Анапа; Владивосток; Иркутск; Красноярск; Курск; Новороссийск; Ростов-на-Дону; Сочи
Banana Republic,США,Одежда,Средний,1978.0,,4,Москва
